chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"Should the Moon be in the 7th from Venus while Mercury is in the 7th from the Moon and the 8th lord is in the 5th (from the ascendant), there will be marriage in the l0th year followed by another in the 22nd year and yet another in the 33rd year.","BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",yoga,Three Marriages Yoga,"[{""components"": [""Moon is placed in the 7th house relative to Venus's position"", ""Mercury is placed in the 7th house relative to the Moon's position"", ""The lord of the 8th house is placed in the 5th house""]}]",['relationships'],['Romantic & Marriage'],['marriage_spouse']
"If the 6th, 7th and 8th are in their order occupied by Mars, Rahu and Saturn, the native's wife will not live (long).","BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",dosha,Spouse Longevity Dosha,"[{""placement_1"": {""planet_name"": ""Mars"", ""house"": 6}, ""placement_2"": {""planet_name"": ""Rahu"", ""house"": 7}, ""placement_3"": {""planet_name"": ""Saturn"", ""house"": 8}}]","['health_risks_longevity', 'relationships']","['Longevity & Risks', 'Romantic & Marriage']","['marriage_spouse', 'lifespan_overview', 'risk_periods']"
"If the 8th lord is in an angle, long life is indicated.","BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",lordship,,"[{""lord_of_house"": 8, ""placed_in_house"": 1}, {""lord_of_house"": 8, ""placed_in_house"": 4}, {""lord_of_house"": 8, ""placed_in_house"": 7}, {""lord_of_house"": 8, ""placed_in_house"": 10}]",['health_risks_longevity'],['Longevity & Risks'],['lifespan_overview']
"Should the 8th lord join the ascendant lord or a malefic and be in the 8th itself, the native will be short-lived.","BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",yoga,Short Life Yoga,"[{""lord_of_house"": 8, ""placed_in_house"": 8, ""planet_names"": [""8th Lord"", ""1st Lord""], ""house"": 8}, {""lord_of_house"": 8, ""placed_in_house"": 8, ""planet_names"": [""8th Lord"", ""Malefic""], ""house"": 8}]",['health_risks_longevity'],['Longevity & Risks'],"['lifespan_overview', 'risk_periods']"
Similarly consider Saturn and 10th lord in the matter of longevity. Notes: short life will come to pass if: Saturn joins a malefic/ascendant lord in the 8th house or The 10th lord is in the 8th along with a malefic planet/ascendant lord.,"BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",yoga,Short Life Yoga via Saturn or 10th Lord,"[{""planet_names"": [""Saturn"", ""Malefic""], ""house"": 8}, {""planet_names"": [""Saturn"", ""1st Lord""], ""house"": 8}, {""planet_names"": [""10th Lord"", ""Malefic""], ""house"": 8}, {""planet_names"": [""10th Lord"", ""1st Lord""], ""house"": 8}]",['health_risks_longevity'],['Longevity & Risks'],"['lifespan_overview', 'risk_periods']"
There will be long life if the 6th lord is in the 12th.,"BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 12}]",['health_risks_longevity'],['Longevity & Risks'],['lifespan_overview']
There will be long life... if the 6th lord is in the 6th as the 12th lord is in the 12th.,"BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",yoga,Long Life Yoga (Viparita Raja Yoga),"[{""components"": [""The lord of the 6th house is placed in the 6th house"", ""The lord of the 12th house is placed in the 12th house""]}]","['health_risks_longevity', 'yogas']","['Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'raja_yogas']"
There will be long life... if the 6th lord and 12th lord are in the ascendant and the 8th.,"BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",yoga,Long Life Yoga,"[{""components"": [""The lord of the 6th house is placed in the 1st house"", ""The lord of the 12th house is placed in the 8th house""]}]",['health_risks_longevity'],['Longevity & Risks'],['lifespan_overview']
"If the lords of the 5th, 8th and ascendant are in own navamsas, own Rasis or in friendly signs, the native will enjoy a long span of life.","BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",yoga,Long Life Yoga (Planetary Dignity),"[{""components"": [""The lord of the 1st house is in its own sign, own Navamsa, or a friendly sign"", ""The lord of the 5th house is in its own sign, own Navamsa, or a friendly sign"", ""The lord of the 8th house is in its own sign, own Navamsa, or a friendly sign""]}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['lifespan_overview', 'vitality_energy_levels']"
"Should the lords of the ascendant, 8th and 10th and Saturn are all disposed severally in an angle, in a trine or in the 11th, the subject will live long.","BPHS1, Chapter 17 - EFFECTS OF THE 8th HOUSE",yoga,Long Life Yoga (Key Planets in Good Houses),"[{""components"": [""The lord of the 1st house is in house 1, 4, 7, 10, 5, 9, or 11"", ""The lord of the 8th house is in house 1, 4, 7, 10, 5, 9, or 11"", ""The lord of the 10th house is in house 1, 4, 7, 10, 5, 9, or 11"", ""Saturn is in house 1, 4, 7, 10, 5, 9, or 11""]}]","['career_public_life', 'health_risks_longevity']","['Career Dynamics', 'Longevity & Risks']","['lifespan_overview', 'career_stability_longevity']"
