chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"Asraya yogas are Rajju, Musala and Nala yogas. Dala yogas are Maala and Sarpa. The twenty Akriti yogas are : Geda, Sakata, Sringataka, Vihanga, Hala, Vajra, Yava, Kamala, Vaapi, yupa, Sara, Sakthi, Danda, Nauka, Koota, Chatra, Dhanushi {or Chapa), Ardhachandra, Chakra and Samudrayogas. The seven Sankhya yogas are Vallaki, Daama, paasa, Kedara, Soola, Yugaand Gola yogas. Thus these are 32 in total.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['classification', 'definition']"
All the planets in movable signs cause Rajju yoga.,"BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Rajju Yoga,"[{""unstructured"": {""text"": ""All planets are placed in movable signs.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
All the planets in fixed signs cause Musala yoga.,"BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Musala Yoga,"[{""unstructured"": {""text"": ""All planets are placed in fixed signs.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
All the planets in dual signs cause Nala yoga.,"BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Nala Yoga,"[{""unstructured"": {""text"": ""All planets are placed in dual signs.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
If 3 angles are occupied by benefics Maala yoga is produced.,"BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Maala Yoga,"[{""unstructured"": {""text"": ""Three out of the four Kendra houses (1, 4, 7, 10) are occupied by benefic planets.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
If 3 angles are occupied by malefics... Bhujanga or Sarpa yoga will be caused.,"BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Sarpa Yoga,"[{""unstructured"": {""text"": ""Three out of the four Kendra houses (1, 4, 7, 10) are occupied by malefic planets.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
"If all the planets occupy two successive angles, Gada yoga is formed.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Gada Yoga,"[{""unstructured"": {""text"": ""All planets are placed in houses 1 and 4.""}}, {""unstructured"": {""text"": ""All planets are placed in houses 4 and 7.""}}, {""unstructured"": {""text"": ""All planets are placed in houses 7 and 10.""}}, {""unstructured"": {""text"": ""All planets are placed in houses 10 and 1.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
Sakata yoga occurs when all the planets are disposed in the ascendant and the 7th house.,"BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Sakata Yoga,"[{""unstructured"": {""text"": ""All planets are placed in houses 1 and 7.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
"If all confine to the 4th and the 10th, then Vihaga yoga occurs.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Vihaga Yoga,"[{""unstructured"": {""text"": ""All planets are placed in houses 4 and 10.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
"All planets in the ascendant, 5th and 9th cause Sringataka yoga.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Sringataka Yoga,"[{""unstructured"": {""text"": ""All planets are placed in houses 1, 5, and 9.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
"All planets are in the 2nd, 6th and the 10th or in the 3rd, 7th and 11th or in the 4th, 8th and 12th cause Hala yoga.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 1)",yoga,Hala Yoga,"[{""unstructured"": {""text"": ""All planets are placed in houses 2, 6, and 10.""}}, {""unstructured"": {""text"": ""All planets are placed in houses 3, 7, and 11.""}}, {""unstructured"": {""text"": ""All planets are placed in houses 4, 8, and 12.""}}]",['Foundational Concepts'],['Astrological Principles'],['definition']
