Fact_ID,Concept_Group,Concept_Name,Sanskrit_Name,Keywords,Description,Karaka_Planets_JSON,Related_Houses_JSON,Source_Name,Source_Type,Source_Reference,Last_Updated
6113bc0fdd57572b,houses,2nd House,Dhana Bhava,accumulated wealth,,,,Gemini AI,AI,Page 8,2025-08-31T10:04:12.241583
02c4c4ed4c43250d,houses,11th House,Labha Bhava,income flow,,,,Gemini AI,AI,Page 8,2025-08-31T10:04:12.241583
9845937e96f7b7c1,houses,9th House,,"['dharma', 'philosophy', 'higher truth']",The domain of philosophical understanding and higher knowledge,,,Gemini AI,AI,Page 13,2025-08-31T10:04:12.241583
c3490735b7fe36db,houses,5th House,,"['innate wisdom', 'past lives', 'purva punya', 'creativity', 'expressive power']","The house of purva punya (past life credit), bestowing innate wisdom; the wellspring of innate creativity and expressive power",,,Gemini AI,AI,Page 13,2025-08-31T10:04:12.241583
5a1301a0f7be4941,houses,12th House,,"['spiritual pursuits', 'enlightenment', 'liberation']",The house of liberation,,,Gemini AI,AI,Page 13,2025-08-31T10:04:12.241583
e6b38147b3778a12,houses,3rd House,,"['practiced abilities', 'writing', 'manual arts', 'communication']",Governs practiced abilities like writing and manual arts,,,Gemini AI,AI,Page 13,2025-08-31T10:04:12.241583
1c846565e8b3548f,houses,5th House,Purva Punya Bhava,"['children', 'creativity', 'past life credit']",,,,Gemini AI,AI,Page 17,2025-08-31T10:04:12.241583
6113bc0fdd57572b,houses,2nd House,Kutumba Bhava,"['immediate family', 'harmony', 'shared resources']",,,,Gemini AI,AI,Page 18,2025-08-31T10:04:12.241583
97a33d7f3b752bf5,houses,4th House,Sukha Bhava,"['home', 'land', 'mother']",,,,Gemini AI,AI,Page 18,2025-08-31T10:04:12.241583
2f0231636296366e,houses,4th House,,"['happiness', 'domestic environment']",The house of happiness and the domestic environment.,,,Gemini AI,AI,Page 20,2025-08-31T10:04:12.241583
95b8991afed6ace7,houses,2nd House,,"['immediate family', 'kutumba']",Governs the immediate family unit (kutumba).,,,Gemini AI,AI,Page 20,2025-08-31T10:04:12.241583
f39116b310cf10a1,houses,8th House,Ayu Bhava,['longevity'],,,,Gemini AI,AI,Page 22,2025-08-31T10:04:12.241583
50ed373d55fa589f,houses,12th House,Moksha Bhava,"['liberation', 'moksha', 'spiritual enlightenment']",,,,Gemini AI,AI,Page 25,2025-08-31T10:48:08.120034
6113bc0fdd57572b,houses,2nd House,,"['early learning', 'speech']",,,,Gemini AI,AI,Page 11,2025-08-31T11:02:18.535708
97a33d7f3b752bf5,houses,4th House,,"['formal schooling', 'knowledge absorption', 'learning environment']",,,,Gemini AI,AI,Page 11,2025-08-31T11:02:18.535708
1c846565e8b3548f,houses,5th House,,"['innate intelligence', 'application of knowledge']",,,,Gemini AI,AI,Page 11,2025-08-31T11:02:18.535708
1fea442b8d9da068,houses,9th House,,"['higher education', 'university studies']",,,,Gemini AI,AI,Page 11,2025-08-31T11:02:18.535708
