chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"O Brahmin, the 3rd and 8th are the two houses of longevity. The 3rd house is also a house of longevity as it is the 8th from the 8th.","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",house_group_definition,,"[{""group_name"": ""Longevity Houses"", ""houses"": [3, 8]}]","['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Longevity & Risks']","['lifespan_overview', 'general_principle']"
"The houses related to death are the 12th from each of these [longevity houses], i.e. the 2nd and 7th are Maraka houses. The 2nd house-12th from the 3rd-and the 7th house-12th from the 8th-are two principle Maraka houses.","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",house_group_definition,,"[{""group_name"": ""Maraka Houses"", ""houses"": [2, 7]}]","['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Longevity & Risks']","['lifespan_overview', 'general_principle']"
"Out of the two (i.e 2nd and 7th) the 2nd is a powerful Maraka house (as against the 7th). The 2nd house acquires an additional qualification of being in the 7th from the 8th house. Thus, the 2nd is 12th from the 3rd, and 7th from the 8th.","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",house_profile,,"[{""house"": 2, ""state"": ""Powerful Maraka""}]","['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Longevity & Risks']","['lifespan_overview', 'general_principle']"
"The lords of the 2nd and the 7th, malefics in the 2nd and the 7th and malefics accompanying the 2nd and the 7th lords are all known as Marakas.","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",dosha,Maraka Agent,"[{""type"": ""lordship"", ""lord_of_house"": 2}, {""type"": ""lordship"", ""lord_of_house"": 7}, {""type"": ""placement"", ""house"": 2, ""planet_nature"": ""malefic""}, {""type"": ""placement"", ""house"": 7, ""planet_nature"": ""malefic""}, {""type"": ""conjunction"", ""planet_names"": [""lord_of_house_2"", ""malefic""]}, {""type"": ""conjunction"", ""planet_names"": [""lord_of_house_7"", ""malefic""]}]",['health_risks_longevity'],['Longevity & Risks'],"['lifespan_overview', 'risk_periods']"
"The major and sub periods of these planets [Marakas] will bring death on the native depending on whether he has a long life, medium life or short life.","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",dasha,,"[{""condition"": ""Dasha of Maraka planet brings death""}]","['health_risks_longevity', 'timing_windows']","['Dashas & Sub-Dashas', 'Longevity & Risks']","['lifespan_overview', 'risk_periods', 'vimshottari_dasha']"
The Dasa of a benefic planet related to the 12th lord may also inflict death.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",dasha,,"[{""condition"": ""Dasha of a benefic planet related to the 12th lord causes death""}]","['health_risks_longevity', 'timing_windows']","['Dashas & Sub-Dashas', 'Longevity & Risks']","['lifespan_overview', 'risk_periods', 'vimshottari_dasha']"
End may descend on the native in the 8th lord's Dasa.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",dasha,,"[{""mahadasha_lord"": ""lord_of_house_8""}]","['health_risks_longevity', 'timing_windows']","['Dashas & Sub-Dashas', 'Longevity & Risks']","['lifespan_overview', 'risk_periods', 'vimshottari_dasha']"
The Dasa of a planet which is an exclusive malefic (i.e. first-rate malefic) may also cause death.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",dasha,,"[{""condition"": ""Dasha of a first-rate malefic causes death""}]","['health_risks_longevity', 'timing_windows']","['Dashas & Sub-Dashas', 'Longevity & Risks']","['lifespan_overview', 'risk_periods', 'vimshottari_dasha']"
"The dasa of a malefic will not cause death in the Antardasa (sub period) of a benefic planet, although the former, is related to the latter, but in the sub period of a malefic planet though not related.","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",dasha,,"[{""mahadasha_lord"": ""malefic"", ""antardasha_lord"": ""benefic"", ""condition"": ""Death does not occur""}, {""mahadasha_lord"": ""malefic"", ""antardasha_lord"": ""malefic"", ""condition"": ""Death can occur""}]","['health_risks_longevity', 'timing_windows']","['Dashas & Sub-Dashas', 'Longevity & Risks']","['lifespan_overview', 'risk_periods', 'vimshottari_dasha']"
"Should Saturn be ill-disposed and be related to a maraka planet, he will be the first to kill in preference to other planets.","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 1)",planet_profile,,"[{""planet_name"": ""Saturn"", ""state"": ""ill-disposed"", ""condition"": ""related to a maraka planet""}]","['doshas', 'health_risks_longevity']","['Longevity & Risks', 'Malefic Influences']","['lifespan_overview', 'risk_periods', 'saturn_affliction']"
