chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
MOTIONAL STRENGTHF OR SUN AND MOON : The Sun'sC heshtaB ala( or motionals trength)w ill correspond to his AyanaB ela. The Moon'sP akshaB ala will itself be her CheshtaB ala.,"BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",shadbala,,"[{""planet_name"": ""Sun"", ""condition"": ""Cheshta Bala is equal to Ayana Bala.""}, {""planet_name"": ""Moon"", ""condition"": ""Cheshta Bala is equal to Paksha Bala.""}]","['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Physical Health']","['vitality_energy_levels', 'general_principle']"
DRIG BALA (ASPECTUAL ST'RENGTH): Reduce one fourth of the Drishti Pindai f a planeth asm alefica spectso n it and add a fourth if it is aspectedb y a benefic. Supera dd the entirea specto f Mercury and Jupitert o get the net strengtho f a planet.,"BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",shadbala,,"[{""condition"": ""Reduce one-fourth of Drishti Pinda for malefic aspects.""}, {""condition"": ""Add one-fourth of Drishti Pinda for benefic aspects.""}, {""condition"": ""Add the entire aspectual strength of Mercury to the planet's strength.""}, {""condition"": ""Add the entire aspectual strength of Jupiter to the planet's strength.""}]","['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Physical Health']","['vitality_energy_levels', 'general_principle']"
"PLANETARY l4tAR : Shouldt here be a war between the starry planets( i.e. between2 planetsf rom Mars to Saturn,i n a givenh oroscope)t,h e differenceb etweenth e Shadbalaso f the two shouldb e addedt o the victor'ss hadbalaa nd deductedf rom the Shadbalao f the vanquished.","BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",shadbala,,"[{""condition"": ""The difference in Shadbala between the two warring planets is added to the victor's Shadbala.""}, {""condition"": ""The difference in Shadbala between the two warring planets is deducted from the vanquished planet's Shadbala.""}]","['Foundational Concepts', 'health_risks_longevity', 'relationships']","['Astrological Principles', 'Physical Health', 'Public Interaction']","['vitality_energy_levels', 'disputes_conflicts', 'general_principle']"
"PLANETARY MOTTONS( MARS TO SATURN) : Eight kinds of motionsa re attributedt o planets.T hesea reV akra (retrogression)A, nuvakra( entering the previous sign in retro- gradem otion), Vikala (devoido f Motion or in stationaryp osit- ion), Manda (somewhast lower motion than usual), Mandatara (slowert han the previousm entionedm otion), Sama (somewhat increasingin motion as againsMt anda),C hara( fastert han Sama) and Atichara (entering next sign in acceleratedm otion)' The strengthsa llotted due to such8 motionsa re : 60, 30, 15, 30, 15' 7.5,4 5 and 30.","BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",avastha,,"[{""state"": ""Vakra (retrogression)"", ""strength_value"": 60}, {""state"": ""Anuvakra (entering previous sign in retrograde)"", ""strength_value"": 30}, {""state"": ""Vikala (stationary)"", ""strength_value"": 15}, {""state"": ""Manda (slower than usual)"", ""strength_value"": 30}, {""state"": ""Mandatara (slower than Manda)"", ""strength_value"": 15}, {""state"": ""Sama (somewhat increasing)"", ""strength_value"": 7.5}, {""state"": ""Chara (faster than Sama)"", ""strength_value"": 45}, {""state"": ""Atichara (accelerated, entering next sign)"", ""strength_value"": 30}]","['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Physical Health']","['vitality_energy_levels', 'general_principle']"
"MOTIONAL STRENGTHF OR MARS ETC' : Add togetherthemeanandtruelongitudesofaplanetanddividethe ori, by to,o. Reducest his sum from the Seeghrocha(o r apogee) of the planet.' The resultantp roduct will indicatet he cheshta Kendra(or Seeghrak endra)o f the planetf rom l2 signs'T he Rasi' degreesa nd minutess o arrivedb e convertedin to degreesm, inutes etc. and divided by 3 which will denote the motionals trengtho f the planet.","BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",shadbala,,"[{""condition"": ""Cheshta Kendra divided by 3 equals Cheshta Bala. Cheshta Kendra is derived from the planet's mean longitude, true longitude, and Seeghrocha.""}]","['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Physical Health']","['vitality_energy_levels', 'general_principle']"
"Thus therea re six sourceso fstrengthc alledS thaana nata OigUata,K aalabala,D rigbala, Cheshta Bala and Naisargika Bala.","BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",unstructured,,"[{""text"": ""The six sources of planetary strength are Sthaana Bala, Dig Bala, Kaala Bala, Drig Bala, Cheshta Bala, and Naisargika Bala.""}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'general_principle']"
"BHAV.4 BALAS: Deductt he 7th house( longitudeo f descen- dant) from the bhavai f the bhava happenst o be in Virgo, Gemini,L ibra,A quariuso r the firsth alf of SagittariusIf. Aries, Taurus,L eo or first half of Capricorn or the secondh alf of Sagittariuhsa ppent o be the bhavad, eductt he 4th house( Nadir) from it. Shouldt he Bhavab e in Cancero r in Scorpio deduct from it the asccndant.A nd deduct the lOth house( meridian) from the bhavah appeningt o fall in Capricorn secondh alf or Pisces. Convertt he product so obtained( in the respectiveca se) into degreese tc.a nd divideb y 3 to get the strengtho f the bhava. If the balancein the processo f deductingt he Nadir, Meridian, ascendanot r descendanetx ceeds6 signs,d educti t againf rom l2 signsb eforec onvertingi nto degreesa nd dividing by 3. The producta fter division should be increasedb y a fourth if the bhavai n qucstionh asa benefica spect on it. Arid a malefic's aspectw ill entail one fourth reduction. If Jupiter or Mercury aspecta bhava,a dd that planet'sa spcctual strcngth also. And .thens uleradd the strengtha cquiredb y the lord of that Bhava. This will be the net strengtho f that Bhava.","BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",house_profile,,"[{""sign"": [""Virgo"", ""Gemini"", ""Libra"", ""Aquarius"", ""Sagittarius""], ""condition"": ""For a Bhava in these signs (or first half of Sagittarius), its directional strength is calculated by deducting the 7th house longitude from the Bhava longitude.""}, {""sign"": [""Aries"", ""Taurus"", ""Leo"", ""Capricorn"", ""Sagittarius""], ""condition"": ""For a Bhava in these signs (or first half of Capricorn/second half of Sagittarius), its directional strength is calculated by deducting the 4th house longitude from the Bhava longitude.""}, {""sign"": [""Cancer"", ""Scorpio""], ""condition"": ""For a Bhava in these signs, its directional strength is calculated by deducting the 1st house (Ascendant) longitude from the Bhava longitude.""}, {""sign"": [""Capricorn"", ""Pisces""], ""condition"": ""For a Bhava in these signs (or second half of Capricorn), its directional strength is calculated by deducting the 10th house longitude from the Bhava longitude.""}, {""condition"": ""The final directional strength value is the result of the subtraction, converted to degrees and divided by 3.""}, {""condition"": ""Increase the Bhava Bala by one-fourth for a benefic aspect.""}, {""condition"": ""Decrease the Bhava Bala by one-fourth for a malefic aspect.""}, {""aspected_by_planet"": ""Jupiter"", ""condition"": ""Add Jupiter's full aspectual strength (Drig Bala) to the Bhava Bala.""}, {""aspected_by_planet"": ""Mercury"", ""condition"": ""Add Mercury's full aspectual strength (Drig Bala) to the Bhava Bala.""}, {""condition"": ""Add the total strength (Shadbala) of the Bhava lord to the Bhava Bala to get the net strength.""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
"SPECIAL RULES: The bhavaso ccupiedb y Jupiter and Mercuri will eachg et an addition of I rupa whild cach of the bhavao ccupiedb y Saturn,M. ars and the Suns ufferI rupa reduction.","BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",house_profile,,"[{""planet_in_house"": ""Jupiter"", ""condition"": ""Add 1 Rupa to the Bhava Bala.""}, {""planet_in_house"": ""Mercury"", ""condition"": ""Add 1 Rupa to the Bhava Bala.""}, {""planet_in_house"": ""Saturn"", ""condition"": ""Reduce Bhava Bala by 1 Rupa.""}, {""planet_in_house"": ""Mars"", ""condition"": ""Reduce Bhava Bala by 1 Rupa.""}, {""planet_in_house"": ""Sun"", ""condition"": ""Reduce Bhava Bala by 1 Rupa.""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
"15 virupasw ill havet o be addedt o the bhavasf all- ing in SeershodayRaa sisi f birth happensto be in day time, to the bhavasf alling in dual (or common)R asisi f birth happensto be in twilight and to the bhavasfa lling in PrishtodayaR asis if birth be in night.","BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",house_profile,,"[{""condition"": ""If birth is in daytime, add 15 Virupas to Bhavas falling in Seershodaya Rasis.""}, {""condition"": ""If birth is in twilight, add 15 Virupas to Bhavas falling in dual (common) Rasis.""}, {""condition"": ""If birth is in nighttime, add 15 Virupas to Bhavas falling in Prishtodaya Rasis.""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
"SHADBALA REQU{;:EMENZ,S. ' 390,3 60, 300, 42C,390,330a nd 300V irupasa ret he ShadbalaP indasn eeded for the Sune tc. (upto Saturn) to bc considereds trong. If the strengthe xceedst,h e planeti s deemedt o be very strong. The minimum Shadbala requirementso f the planetsa rea s under'i . The Sun : 6.5 Rupas The Moon: 6.0 Rupas . Mars : 5.0 Rupas MercurY : 7'0 RuPas Jupiter : 6.5 Rupas Venus : 5.5 Rupas Saturn - 5.0 Rapas. If a planeth as the requireds hadbalai,t will prove favour- able to the nativeb y virtue of its strength. However, Saturn's extermes trengthw ill give long life as wcll as miseries.","BPHS1, Chapter 27 - EVALUATION OF STRENGTHS (Part 5)",shadbala,,"[{""planet_name"": ""Sun"", ""value_rupas"": 6.5}, {""planet_name"": ""Moon"", ""value_rupas"": 6}, {""planet_name"": ""Mars"", ""value_rupas"": 5}, {""planet_name"": ""Mercury"", ""value_rupas"": 7}, {""planet_name"": ""Jupiter"", ""value_rupas"": 6.5}, {""planet_name"": ""Venus"", ""value_rupas"": 5.5}, {""planet_name"": ""Saturn"", ""value_rupas"": 5}, {""planet_name"": ""Saturn"", ""condition"": ""Extreme strength gives long life and miseries.""}]","['Foundational Concepts', 'doshas', 'health_risks_longevity']","['Astrological Principles', 'Longevity & Risks', 'Malefic Influences', 'Physical Health']","['vitality_energy_levels', 'general_principle', 'lifespan_overview', 'saturn_affliction']"
