fact_id,raw_text,source_page,source_name,last_updated,schema_type,topic,theme,theme_group,sub_theme,astrological_trigger_json,ai_summary
d5addb8d419d3fcafe37cbedc97fe432d43f87306603be01f4c41d9da1c6310f,## 10th House (Karma Bhāva) - Standardized Text,p5,GeminiAI-Add,2025-09-24T20:54:05.662618,house_profile,,career_public_life,Other,other,"{""type"": ""house_profile"", ""house"": 10, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": null, ""classifications"": [], ""karakas"": [], ""significations"": []}","This section discusses the 10th House, also known as Karma Bhāva. (Additional Context: The 10th house is often associated with career, public image, and reputation.  A strong 10th house can indicate success in these areas.)"
a00d8fb4aad3ad9115ae8b3c7066622067d6c739ec7a8b2ee7fc5e7d21be0a52,## 11th House (Labha Bhāva) - Standardized Text,p5,GeminiAI-Add,2025-09-24T20:54:05.663011,house_profile,,"career_public_life,relationships,wealth_assets_resources","Income & Earnings,Prominence & Governance,Public Interaction,Social & Family Relations","friendships_social_circle,income_primary,income_secondary_sources,networking_influence,social_influence_presence,speculative_gains_losses","{""type"": ""house_profile"", ""house"": 11, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": null, ""classifications"": [], ""karakas"": [], ""significations"": []}",This section discusses the 11th House (Labha Bhāva).
72bd414c3ed2df76c21e5cee169e1ea6b44e576b0d9b5a2e93772ad042a62d01,## 5th House (Putra Bhāva) - Standardized Text,p3,GeminiAI-Add,2025-09-24T20:54:05.663338,house_profile,,relationships,Social & Family Relations,children_relations,"{""type"": ""house_profile"", ""house"": 5, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": null, ""classifications"": null, ""karakas"": null, ""significations"": null}",This section discusses the 5th House (Putra Bhāva).
7fe43ab2eb9aa32ab8b03c80a132f4568e4312620365acf3ae69c00b6ef25052,## 6th House (Ari Bhāva or Shatru Bhāva) - Standardized Text,p3,GeminiAI-Add,2025-09-24T20:54:49.437424,house_profile,,"career_public_life,health_risks_longevity,home_property_vehicles,relationships","Physical Health,Profession & Field,Public Interaction,Residence & Property","debts_liabilities,disputes_conflicts,general_health,service_employment","{""type"": ""house_profile"", ""house"": 6, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": null, ""classifications"": ""Ari Bh\u0101va"", ""karakas"": null, ""significations"": null}","This section describes the 6th house, also known as Ari Bhāva or Shatru Bhāva. (Additional Context: The 6th house traditionally signifies obstacles, enemies, debts, diseases, and service.  Its analysis can reveal potential challenges and areas where one may face conflict or need to overcome difficulties.  It also represents maternal relatives, and pets.)"
30342f8d8eeba2c9f60687af4824b776fbdd52151d898dae5c2347d960e04750,## 6th House (Ari Bhāva or Shatru Bhāva) - Standardized Text,p3,GeminiAI-Add,2025-09-24T20:54:49.437453,house_profile,,"career_public_life,health_risks_longevity,home_property_vehicles,relationships","Physical Health,Profession & Field,Public Interaction,Residence & Property","debts_liabilities,disputes_conflicts,general_health,service_employment","{""type"": ""house_profile"", ""house"": 6, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": null, ""classifications"": ""Shatru Bh\u0101va"", ""karakas"": null, ""significations"": null}","This section describes the 6th house, also known as Ari Bhāva or Shatru Bhāva. (Additional Context: The 6th house traditionally signifies obstacles, enemies, debts, diseases, and service.  Its analysis can reveal potential challenges and areas where one may face conflict or need to overcome difficulties.  It also represents maternal relatives, and pets.)"
044e28e6402e18eca29fc832b09dccd4e9f3d97869de38945f8990c3381899cb,"10. Aspects to the 10th House (Karma Bhava): An aspect to the 10th House determines career, public status, and actions. All planetary aspects to the 10th house are potent. Saturn's aspect gives a slow but steady rise; the Sun's aspect gives authority; Mars' aspect gives ambition.",p21,GeminiAI-Add,2025-09-24T20:54:49.299877,aspect,,career_public_life,Career Dynamics,career_stability_longevity,"{""type"": ""aspect"", ""source_planet"": ""saturn"", ""target_house"": 10, ""relative_aspect_number"": null, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": [""potent""]}","Planetary aspects to the 10th House influence career and public image. Saturn's aspect signifies a gradual rise, the Sun's aspect grants authority, and Mars' aspect fuels ambition."
da5402ffbe404a236d6116fc0999ca916cdbfc9871e301836e1f3e6863e5adeb,"10. Aspects to the 10th House (Karma Bhava): An aspect to the 10th House determines career, public status, and actions. All planetary aspects to the 10th house are potent. Saturn's aspect gives a slow but steady rise; the Sun's aspect gives authority; Mars' aspect gives ambition.",p21,GeminiAI-Add,2025-09-24T20:54:49.299901,aspect,,career_public_life,Career Dynamics,career_stability_longevity,"{""type"": ""aspect"", ""source_planet"": ""sun"", ""target_house"": 10, ""relative_aspect_number"": null, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": [""potent""]}","Planetary aspects to the 10th House influence career and public image. Saturn's aspect signifies a gradual rise, the Sun's aspect grants authority, and Mars' aspect fuels ambition."
a4787b7cb7bcdfceffc3c86d8cb4ccf83eaa27c7088e9240248a6a481ebdb674,"10. Aspects to the 10th House (Karma Bhava): An aspect to the 10th House determines career, public status, and actions. All planetary aspects to the 10th house are potent. Saturn's aspect gives a slow but steady rise; the Sun's aspect gives authority; Mars' aspect gives ambition.",p21,GeminiAI-Add,2025-09-24T20:54:49.299910,aspect,,career_public_life,Career Dynamics,career_stability_longevity,"{""type"": ""aspect"", ""source_planet"": ""mars"", ""target_house"": 10, ""relative_aspect_number"": null, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": [""potent""]}","Planetary aspects to the 10th House influence career and public image. Saturn's aspect signifies a gradual rise, the Sun's aspect grants authority, and Mars' aspect fuels ambition."
756b9c68a4ae49286ffe9146733b55fff72f8a71e234f9265b0138ecabdcf42b,"10. Aspects to the 10th House (Karma Bhava): An aspect to the 10th House determines career, public status, and actions. All planetary aspects to the 10th house are potent. Saturn's aspect gives a slow but steady rise; the Sun's aspect gives authority; Mars' aspect gives ambition.",p21,GeminiAI-Add,2025-09-24T20:54:52.154505,planet_profile,,career_public_life,"Career Dynamics,Prominence & Governance","authority_leadership,career_stability_longevity","{""type"": ""planet_profile"", ""planet_name"": null, ""house"": null, ""aspects_house"": 10, ""karaka_for"": ""career"", ""state"": null, ""sign"": null, ""friends"": null, ""enemies"": null, ""neutral_to"": null}","Planetary aspects to the 10th House (Karma Bhava) significantly influence career, public status, and actions. Saturn's aspect to the 10th house leads to a slow and steady career rise. The Sun's aspect grants authority, while Mars' aspect fosters ambition. (Additional Context: While the text highlights the impact of Saturn, Sun, and Mars aspects on the 10th house, the effects of other planetary aspects are not mentioned.  A complete analysis would consider the influences of all planets aspecting the 10th house, including benefics like Jupiter and Venus, and malefics like Rahu and Ketu.  The sign occupying the 10th house and its lord's placement would further refine the interpretation.)"
280e20d9903b3e2d72122af67d46ab46d9b66f37ca071a229cc26d7f55ffcb1d,"10. Aspects to the 10th House (Karma Bhava): An aspect to the 10th House determines career, public status, and actions. All planetary aspects to the 10th house are potent. Saturn's aspect gives a slow but steady rise; the Sun's aspect gives authority; Mars' aspect gives ambition.",p21,GeminiAI-Add,2025-09-24T20:54:52.154543,planet_profile,,career_public_life,"Career Dynamics,Prominence & Governance","authority_leadership,career_stability_longevity","{""type"": ""planet_profile"", ""planet_name"": null, ""house"": null, ""aspects_house"": 10, ""karaka_for"": ""public_status"", ""state"": null, ""sign"": null, ""friends"": null, ""enemies"": null, ""neutral_to"": null}","Planetary aspects to the 10th House (Karma Bhava) significantly influence career, public status, and actions. Saturn's aspect to the 10th house leads to a slow and steady career rise. The Sun's aspect grants authority, while Mars' aspect fosters ambition. (Additional Context: While the text highlights the impact of Saturn, Sun, and Mars aspects on the 10th house, the effects of other planetary aspects are not mentioned.  A complete analysis would consider the influences of all planets aspecting the 10th house, including benefics like Jupiter and Venus, and malefics like Rahu and Ketu.  The sign occupying the 10th house and its lord's placement would further refine the interpretation.)"
