chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"The word Hora is derived from Ahoratra after dropping the initial and last syllables. Thus Hora (ascendant) remains in between Ahoratra (i.e. day and night) and after knowing Hora, the good and bad effects of a native be known. Sri Vishnu, the invisible, is Time personified. His limbs are the 12 Rasis commencing from Aries.","BPHS1, Chapter 2 - Signs (Part 1)",prose,,,['Foundational Concepts'],['Astrological Principles'],"['Astrological Principles', 'definition']"
"The 12 signs of the zodiac in order are : Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Capricorn, Aquarius and Pisces.","BPHS1, Chapter 2 - Signs (Part 1)",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['Astrological Principles', 'classification']"
"The time personified has his limbs as under with reference to the 12 signs respectively : Head, face, arms, heart, stomach, hip, space below navel, privities, thighs, knees, ankles and feet. For an individual, the ascending sign will denote head, 2nd sign face and so on and so forth.","BPHS1, Chapter 2 - Signs (Part 1)",house_profile,,"[{""house"": 1, ""significations"": [""Head""]}, {""house"": 2, ""significations"": [""Face""]}, {""house"": 3, ""significations"": [""Arms""]}, {""house"": 4, ""significations"": [""Heart""]}, {""house"": 5, ""significations"": [""Stomach""]}, {""house"": 6, ""significations"": [""Hip""]}, {""house"": 7, ""significations"": [""Space below navel""]}, {""house"": 8, ""significations"": [""Privities""]}, {""house"": 9, ""significations"": [""Thighs""]}, {""house"": 10, ""significations"": [""Knees""]}, {""house"": 11, ""significations"": [""Ankles""]}, {""house"": 12, ""significations"": [""Feet""]}]","['Foundational Concepts', 'core_self_vitality', 'health_risks_longevity']","['Astrological Principles', 'Identity & Personality', 'Physical Health']","['Astrological Principles', 'definition', 'general_health', 'physical_appearance']"
"The limbs related to malefics will suffer defects and adversities while the ones related to benefics will be beautiful, strong and immune to danger.","BPHS1, Chapter 2 - Signs (Part 1)",placement,,"[{""planet_nature"": ""malefic"", ""effect"": ""defects and adversities on the corresponding body part""}, {""planet_nature"": ""benefic"", ""effect"": ""beauty, strength, and immunity for the corresponding body part""}]","['core_self_vitality', 'health_risks_longevity']","['Identity & Personality', 'Physical Health']","['general_health', 'physical_appearance', 'vitality_energy_levels', 'accidents_injuries']"
"Movable, Fixed and Dual are the names given to the 12 signs in order. Movable are Aries, Cancer, Libra and Capricorn. The signs Taurus, Leo, Scorpio and Aquarius are fixed or immovable. Gemini, Virgo, Sagittarius and Pisces are dual or common.","BPHS1, Chapter 2 - Signs (Part 1)",sign_trait,,"[{""sign"": ""Aries"", ""modality"": ""Movable""}, {""sign"": ""Cancer"", ""modality"": ""Movable""}, {""sign"": ""Libra"", ""modality"": ""Movable""}, {""sign"": ""Capricorn"", ""modality"": ""Movable""}, {""sign"": ""Taurus"", ""modality"": ""Fixed""}, {""sign"": ""Leo"", ""modality"": ""Fixed""}, {""sign"": ""Scorpio"", ""modality"": ""Fixed""}, {""sign"": ""Aquarius"", ""modality"": ""Fixed""}, {""sign"": ""Gemini"", ""modality"": ""Dual""}, {""sign"": ""Virgo"", ""modality"": ""Dual""}, {""sign"": ""Sagittarius"", ""modality"": ""Dual""}, {""sign"": ""Pisces"", ""modality"": ""Dual""}]",['Foundational Concepts'],['Astrological Principles'],"['Astrological Principles', 'classification']"
"These are again known as malefic and benefic, successively. Similarly these are male and female. Aries, Gemini, Leo, Libra, Sagittarius and Aquarius are male signs. These are also known as malefic or cruel signs. Taurus, Cancer, Virgo, Scorpio, Capricorn and Pisces are female signs. These are benefic or gentle signs.","BPHS1, Chapter 2 - Signs (Part 1)",sign_trait,,"[{""sign"": ""Aries"", ""gender"": ""Male"", ""nature"": ""Malefic""}, {""sign"": ""Gemini"", ""gender"": ""Male"", ""nature"": ""Malefic""}, {""sign"": ""Leo"", ""gender"": ""Male"", ""nature"": ""Malefic""}, {""sign"": ""Libra"", ""gender"": ""Male"", ""nature"": ""Malefic""}, {""sign"": ""Sagittarius"", ""gender"": ""Male"", ""nature"": ""Malefic""}, {""sign"": ""Aquarius"", ""gender"": ""Male"", ""nature"": ""Malefic""}, {""sign"": ""Taurus"", ""gender"": ""Female"", ""nature"": ""Benefic""}, {""sign"": ""Cancer"", ""gender"": ""Female"", ""nature"": ""Benefic""}, {""sign"": ""Virgo"", ""gender"": ""Female"", ""nature"": ""Benefic""}, {""sign"": ""Scorpio"", ""gender"": ""Female"", ""nature"": ""Benefic""}, {""sign"": ""Capricorn"", ""gender"": ""Female"", ""nature"": ""Benefic""}, {""sign"": ""Pisces"", ""gender"": ""Female"", ""nature"": ""Benefic""}]",['Foundational Concepts'],['Astrological Principles'],"['Astrological Principles', 'classification']"
"Aries, Leo and Sagittarius are bilious. Taurus, Virgo and Capricorn are windy. Gemini, Libra and Aquarius are mixed while the rest are phlegmatic.","BPHS1, Chapter 2 - Signs (Part 1)",sign_trait,,"[{""sign"": ""Aries"", ""temperament"": ""Bilious""}, {""sign"": ""Leo"", ""temperament"": ""Bilious""}, {""sign"": ""Sagittarius"", ""temperament"": ""Bilious""}, {""sign"": ""Taurus"", ""temperament"": ""Windy""}, {""sign"": ""Virgo"", ""temperament"": ""Windy""}, {""sign"": ""Capricorn"", ""temperament"": ""Windy""}, {""sign"": ""Gemini"", ""temperament"": ""Mixed""}, {""sign"": ""Libra"", ""temperament"": ""Mixed""}, {""sign"": ""Aquarius"", ""temperament"": ""Mixed""}, {""sign"": ""Cancer"", ""temperament"": ""Phlegmatic""}, {""sign"": ""Scorpio"", ""temperament"": ""Phlegmatic""}, {""sign"": ""Pisces"", ""temperament"": ""Phlegmatic""}]","['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Physical Health']","['Astrological Principles', 'classification', 'general_health']"
"If, for example, a phlegmatic sign happens to be the 6th house and is occupied by an afflicted planet with phlegmatic temperament, tuberculosis, severe cough and other pulmonary disorders will crop up. If a windy sign is afflicted by a windy planet, rheumatism, colic, paralysis etc. will trouble the native. When a bilious planet affects a bilious sign, one will be liable to premature grey hair, yellowish body, secretion of bile, jaundice etc. If a mixed sign gets affected by Mercury, the native will be predisposed to suffer many imbalances.","BPHS1, Chapter 2 - Signs (Part 1)",placement,,"[{""house"": 6, ""sign_temperament"": ""Phlegmatic"", ""planet_temperament"": ""Phlegmatic"", ""planet_state"": ""afflicted"", ""outcome"": ""tuberculosis, severe cough, pulmonary disorders""}, {""sign_temperament"": ""Windy"", ""planet_temperament"": ""Windy"", ""planet_state"": ""afflicted"", ""outcome"": ""rheumatism, colic, paralysis""}, {""sign_temperament"": ""Bilious"", ""planet_temperament"": ""Bilious"", ""planet_state"": ""afflicted"", ""outcome"": ""premature grey hair, yellowish body, secretion of bile, jaundice""}, {""sign_temperament"": ""Mixed"", ""planet_name"": ""Mercury"", ""planet_state"": ""afflicted"", ""outcome"": ""many imbalances""}]",['health_risks_longevity'],['Physical Health'],"['general_health', 'chronic_diseases']"
"The sign Aries is blood-red in complexion. It has a prominent (big) physique. It is a quadruped sign, and strong during night. It denotes courage. It resides in the east and is related to kings. It wanders in hills, and predominates in Rajogun. It rises with its back (a prishtodaya sign) and is fiery. Its ruler is Mars.","BPHS1, Chapter 2 - Signs (Part 1)",sign_trait,,"[{""sign"": ""Aries"", ""color"": ""blood-red"", ""physique"": ""prominent/big"", ""type"": ""quadruped"", ""strength_time"": ""night"", ""signification"": ""courage"", ""direction"": ""east"", ""association"": ""kings"", ""habitat"": ""hills"", ""guna"": ""Rajogun"", ""rising"": ""Prishtodaya"", ""element"": ""Fire"", ""ruler"": ""Mars""}]","['Foundational Concepts', 'core_self_vitality']","['Astrological Principles', 'Identity & Personality']","['Astrological Principles', 'classification', 'self_identity_character', 'physical_appearance']"
"Its complexion is white, and is lorded by Venus. It is long and is a quadruped sign. It has strength in night and resides in the south. It represents villages and businessmen. An earthy sign, Taurus rises with its back.","BPHS1, Chapter 2 - Signs (Part 1)",sign_trait,,"[{""sign"": ""Taurus"", ""color"": ""white"", ""ruler"": ""Venus"", ""physique"": ""long"", ""type"": ""quadruped"", ""strength_time"": ""night"", ""direction"": ""south"", ""association"": [""villages"", ""businessmen""], ""element"": ""Earth"", ""rising"": ""Prishtodaya""}]","['Foundational Concepts', 'career_public_life', 'core_self_vitality']","['Astrological Principles', 'Identity & Personality', 'Profession & Field']","['Astrological Principles', 'classification', 'self_identity_character', 'physical_appearance', 'finance_trade_commerce']"
