chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"The Sun is blood-red. The Moon is tawny. Mars who is not very tall is blood-red while Mercury's hue is akin to that of green grass. Tawny, variegated and dark are Jupiter, Venus and Saturn in their order.","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Sun"", ""state"": ""blood-red complexion""}, {""planet_name"": ""Moon"", ""state"": ""tawny complexion""}, {""planet_name"": ""Mars"", ""state"": ""blood-red complexion and not very tall""}, {""planet_name"": ""Mercury"", ""state"": ""green grass hue""}, {""planet_name"": ""Jupiter"", ""state"": ""tawny complexion""}, {""planet_name"": ""Venus"", ""state"": ""variegated complexion""}, {""planet_name"": ""Saturn"", ""state"": ""dark complexion""}]","['Foundational Concepts', 'core_self_vitality']","['Astrological Principles', 'Identity & Personality']","['physical_appearance', 'definition']"
"Fire (Agni), Water (Varuna), Subrahmanya (Lord Siva's son following Ganesa). Maha Vishnu, Indra, Sachi Devi (the consort of Lord Indra) and Brahma are the presiding deities of the 7 planets in their order.","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Sun"", ""state"": ""presiding deity is Agni (Fire)""}, {""planet_name"": ""Moon"", ""state"": ""presiding deity is Varuna (Water)""}, {""planet_name"": ""Mars"", ""state"": ""presiding deity is Subrahmanya""}, {""planet_name"": ""Mercury"", ""state"": ""presiding deity is Maha Vishnu""}, {""planet_name"": ""Jupiter"", ""state"": ""presiding deity is Indra""}, {""planet_name"": ""Venus"", ""state"": ""presiding deity is Sachi Devi""}, {""planet_name"": ""Saturn"", ""state"": ""presiding deity is Brahma""}]","['Foundational Concepts', 'core_self_vitality', 'travel_dharma_spirituality']","['Astrological Principles', 'Dharma & Spiritual Path', 'Purpose & Direction']","['definition', 'religious_alignment', 'spiritual_self_alignment']"
The 27 deities are Aswini Aswini Kumara Bharani Yama Krittika Agni Rohini Brahma Mrigasira Moon Arudra Siva Punarvasu Adiri Pusbyami Jupiter Aslesha Rahu Makha Sun Poorva Phalguni Aryama Uttara Phalguni Sun Hastha Viswa Karma Chitta Vayu Swati Indra Visakha Mitra Anuradha Indra Jyeshta Niruti Moola Varuna Poorvashadha Viswadeva Uttarashadha Brahma Sravana Vishnu Dhanishta Vasu Sathabishak Varuna Poorvabhadra Ajacharana Uttarabhadra Ahirbudhanya Revati Poosha,"BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",prose,,,"['Foundational Concepts', 'travel_dharma_spirituality']","['Astrological Principles', 'Dharma & Spiritual Path']","['definition', 'religious_alignment']"
"Mercury and Saturn are neuters. The Moon and Venus are females while the Sun, Mars and Jupiter are males.","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Mercury"", ""state"": ""neuter""}, {""planet_name"": ""Saturn"", ""state"": ""neuter""}, {""planet_name"": ""Moon"", ""state"": ""female""}, {""planet_name"": ""Venus"", ""state"": ""female""}, {""planet_name"": ""Sun"", ""state"": ""male""}, {""planet_name"": ""Mars"", ""state"": ""male""}, {""planet_name"": ""Jupiter"", ""state"": ""male""}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'classification']"
"The Pancha Bhootas, viz. fire, earth. ether, water and air are respectively governed by Mars, Mercury, Jupiter, Venus and Saturn.","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Mars"", ""state"": ""governs fire element""}, {""planet_name"": ""Mercury"", ""state"": ""governs earth element""}, {""planet_name"": ""Jupiter"", ""state"": ""governs ether element""}, {""planet_name"": ""Venus"", ""state"": ""governs water element""}, {""planet_name"": ""Saturn"", ""state"": ""governs air element""}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'classification']"
Jupiter and Venus are Brahmins. The Sun is a royal planet while the Moon and Mercury belong to commercial community. Saturn rules the Sudras (4th caste).,"BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Jupiter"", ""state"": ""Brahmin caste""}, {""planet_name"": ""Venus"", ""state"": ""Brahmin caste""}, {""planet_name"": ""Sun"", ""state"": ""Royal caste (Kshatriya)""}, {""planet_name"": ""Moon"", ""state"": ""Commercial caste (Vaishya)""}, {""planet_name"": ""Mercury"", ""state"": ""Commercial caste (Vaishya)""}, {""planet_name"": ""Saturn"", ""state"": ""Sudra caste""}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'classification']"
"Satwik planets are the luminaries and Jupiter, Venus and Mercury are Rajasik while Mars and Saturn are Tamasik planets.","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Sun"", ""state"": ""Satwik""}, {""planet_name"": ""Moon"", ""state"": ""Satwik""}, {""planet_name"": ""Jupiter"", ""state"": ""Satwik""}, {""planet_name"": ""Venus"", ""state"": ""Rajasik""}, {""planet_name"": ""Mercury"", ""state"": ""Rajasik""}, {""planet_name"": ""Mars"", ""state"": ""Tamasik""}, {""planet_name"": ""Saturn"", ""state"": ""Tamasik""}]","['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Mental & Emotional Health']","['definition', 'classification', 'psychological_balance']"
"The Sun's eyes are honey-coloured. He has a square body. He is of clean habits, bilious, intelligent and has limited hair (on his head).","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Sun"", ""state"": ""honey-coloured eyes, square body, clean habits, bilious, intelligent, limited hair""}]","['core_self_vitality', 'health_risks_longevity']","['Identity & Personality', 'Physical Health']","['physical_appearance', 'self_identity_character', 'general_health']"
"The Moon is very windy and phlegmatic. She is learned and has a round body. She has auspicious looks and sweet speech, is fickle minded and very lustful.","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Moon"", ""state"": ""windy and phlegmatic, learned, round body, auspicious looks, sweet speech, fickle minded, very lustful""}]","['core_self_vitality', 'health_risks_longevity', 'relationships']","['Identity & Personality', 'Physical Health', 'Romantic & Marriage']","['physical_appearance', 'self_identity_character', 'general_health', 'intimacy_sexuality']"
"Mars has blood-red eyes, is fickle-minded, liberal, bilious, given to anger and. has thin waist and thin physique.","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Mars"", ""state"": ""blood-red eyes, fickle-minded, liberal, bilious, given to anger, thin waist, thin physique""}]","['core_self_vitality', 'health_risks_longevity']","['Identity & Personality', 'Physical Health']","['physical_appearance', 'self_identity_character', 'general_health']"
Mercury is endowed with an attractive physique and the capacity to use words with many meanings. He is fond of jokes. He has a mix of all the three humours.,"BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Mercury"", ""state"": ""attractive physique, uses words with many meanings, fond of jokes, mix of all three humours""}]","['core_self_vitality', 'health_risks_longevity', 'learning_education_creativity']","['Identity & Personality', 'Physical Health', 'Skills & Creativity']","['physical_appearance', 'self_identity_character', 'writing_expression', 'intellectual_skills', 'general_health']"
"Jupiter has a big body, tawny hair and tawny eyes, is phlegmatic, intelligent and learned in all sastras","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Jupiter"", ""state"": ""big body, tawny hair, tawny eyes, phlegmatic, intelligent, learned in all sastras""}]","['core_self_vitality', 'health_risks_longevity', 'learning_education_creativity']","['Identity & Personality', 'Knowledge & Wisdom', 'Physical Health', 'Skills & Creativity']","['physical_appearance', 'self_identity_character', 'intellectual_skills', 'lifelong_learning', 'general_health']"
"Venus is charming, has a splendorous physique, is excellent or great in disposition, has charming eyes, is a poet, is phlegmatic and windy and has curly hair.","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Venus"", ""state"": ""charming, splendorous physique, excellent disposition, charming eyes, a poet, phlegmatic and windy, curly hair""}]","['core_self_vitality', 'health_risks_longevity', 'learning_education_creativity']","['Identity & Personality', 'Physical Health', 'Skills & Creativity']","['physical_appearance', 'self_identity_character', 'confidence_charisma', 'arts_performance', 'writing_expression', 'general_health']"
"Saturn has an emaciated and long physique, has tawny eyes, is windy in temperament, has big teeth, is indolent and lame and has coarse hair.","BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Saturn"", ""state"": ""emaciated and long physique, tawny eyes, windy temperament, big teeth, indolent, lame, coarse hair""}]","['core_self_vitality', 'health_risks_longevity']","['Identity & Personality', 'Physical Health']","['physical_appearance', 'self_identity_character', 'general_health']"
Rahu has smoky appearance with a blue-mix physique. He resides in forests and is horrible. He is windy in temperament and is intelligent. Ketu is akin to Rahu.,"BPHS1, Chapter 1 - PLANETARY CHARACTERS AND DESCRIPTION (Part 2)",planet_profile,,"[{""planet_name"": ""Rahu"", ""state"": ""smoky appearance, blue-mix physique, resides in forests, horrible, windy temperament, intelligent""}, {""planet_name"": ""Ketu"", ""state"": ""akin to Rahu""}]","['core_self_vitality', 'health_risks_longevity']","['Identity & Personality', 'Physical Health']","['physical_appearance', 'self_identity_character', 'general_health']"
