chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"Should Cancer ascend with Jupiter and the Moon there in while Venus and Mercury are in angles and others are in 3rd, 6th and 11th, the native will obtain limitless longevity.","BPHS1, Chapter 43 - LONGEVITY (Part 5)",yoga,Amitayu Yoga,"[{""placement"": [{""sign"": ""Cancer"", ""house"": 1}, {""planet_name"": ""Jupiter"", ""house"": 1, ""sign"": ""Cancer""}, {""planet_name"": ""Moon"", ""house"": 1, ""sign"": ""Cancer""}, {""planet_name"": ""Venus"", ""house"": [1, 4, 7, 10]}, {""planet_name"": ""Mercury"", ""house"": [1, 4, 7, 10]}, {""planet_name"": ""Other Planets"", ""house"": [3, 6, 11]}]}]","['health_risks_longevity', 'yogas']","['Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'other_strength_success_yogas']"
"One having benefics in angles/trines as malefics are in 3rd, 6th and 11th will obtain super-natural life span (one thousand years). The 8th house in this case should be one of benefic-owned signs.","BPHS1, Chapter 43 - LONGEVITY (Part 5)",yoga,Supernatural Longevity Yoga,"[{""placement"": [{""planet_name"": ""Benefic"", ""house"": [1, 4, 5, 7, 9, 10]}, {""planet_name"": ""Malefic"", ""house"": [3, 6, 11]}], ""house_profile"": {""house"": 8, ""sign"": [""Taurus"", ""Gemini"", ""Cancer"", ""Virgo"", ""Libra"", ""Sagittarius"", ""Pisces""]}}]","['health_risks_longevity', 'yogas']","['Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'other_strength_success_yogas']"
One born in Cancer ascendant will live till the end of the yuga if Jupiter is in an angle and be in Gopuramsa while Venus is in a trine and be in Paaravatamsa.,"BPHS1, Chapter 43 - LONGEVITY (Part 5)",yoga,End of Yuga Longevity Yoga,"[{""placement"": [{""sign"": ""Cancer"", ""house"": 1}, {""planet_name"": ""Jupiter"", ""house"": [1, 4, 7, 10]}, {""planet_name"": ""Venus"", ""house"": [1, 5, 9]}], ""varga"": [{""planet_name"": ""Jupiter"", ""varga_name"": ""Gopuramsa""}, {""planet_name"": ""Venus"", ""varga_name"": ""Paaravatamsa""}]}]","['health_risks_longevity', 'yogas']","['Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'other_strength_success_yogas']"
"Jupiter in Simhasanamsa being in the ascendant, Saturn in Devalokamsa and Mars in Paaravatamsa-if these are so, one will enjoy the life span as due to a sage.","BPHS1, Chapter 43 - LONGEVITY (Part 5)",yoga,Sage's Life Span Yoga,"[{""placement"": {""planet_name"": ""Jupiter"", ""house"": 1}, ""varga"": [{""planet_name"": ""Jupiter"", ""varga_name"": ""Simhasanamsa""}, {""planet_name"": ""Saturn"", ""varga_name"": ""Devalokamsa""}, {""planet_name"": ""Mars"", ""varga_name"": ""Paaravatamsa""}]}]","['health_risks_longevity', 'travel_dharma_spirituality', 'yogas']","['Dharma & Spiritual Path', 'Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'other_strength_success_yogas', 'spiritual_growth']"
"Good yogas increase the life span and bad yogas decrease the same (as arrived by mathematical means). Hence I tell you such yogas as to know of full, medium and short span combinations.","BPHS1, Chapter 43 - LONGEVITY (Part 5)",prose,,,"['Foundational Concepts', 'health_risks_longevity']","['Astrological Principles', 'Longevity & Risks']","['lifespan_overview', 'general_principle']"
"If an angle contains a benefic while the ascendant lord is conjunct or in aspect to a benefic or Jupiter in particular, the native will live a full span of life.","BPHS1, Chapter 43 - LONGEVITY (Part 5)",yoga,Full Life Span Yoga,"[{""placement"": {""planet_name"": ""Benefic"", ""house"": [1, 4, 7, 10]}, ""conjunction"": {""planet_names"": [""Ascendant Lord"", ""Benefic""]}}, {""placement"": {""planet_name"": ""Benefic"", ""house"": [1, 4, 7, 10]}, ""unstructured"": {""text"": ""Ascendant lord is aspected by a benefic (especially Jupiter).""}}]","['health_risks_longevity', 'yogas']","['Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'other_strength_success_yogas']"
"Should the ascendant lord be in an angle in conjunction with or in aspect to Jupiter and Venus, full life span will result.","BPHS1, Chapter 43 - LONGEVITY (Part 5)",yoga,Full Life Span Yoga,"[{""lordship"": {""lord_of_house"": 1, ""placed_in_house"": [1, 4, 7, 10]}, ""conjunction"": {""planet_names"": [""Ascendant Lord"", ""Jupiter"", ""Venus""]}}, {""lordship"": {""lord_of_house"": 1, ""placed_in_house"": [1, 4, 7, 10]}, ""unstructured"": {""text"": ""Ascendant lord is aspected by Jupiter and Venus.""}}]","['health_risks_longevity', 'yogas']","['Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'other_strength_success_yogas']"
"If at birth 3 planets are exalted, out of which the lords of ascendant and 8th are inclusive, as the 8th is devoid of a malefic in it, full life span will result.","BPHS1, Chapter 43 - LONGEVITY (Part 5)",yoga,Full Life Span Yoga,"[{""unstructured"": {""text"": ""Three planets are exalted, including the lords of the 1st and 8th houses.""}, ""house_profile"": {""house"": 8, ""planet_in_house"": ""None Malefic""}}]","['health_risks_longevity', 'yogas']","['Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'other_strength_success_yogas']"
"Long life is denoted if 3 planets are in the 8th, in exaltation, own/friendly divisions while the ascendant lord is strong.","BPHS1, Chapter 43 - LONGEVITY (Part 5)",yoga,Long Life Yoga,"[{""unstructured"": {""text"": ""Three planets are in the 8th house, each being in exaltation, own sign, or a friendly sign.""}, ""lordship"": {""lord_of_house"": 1, ""state"": ""Strong""}}]","['health_risks_longevity', 'yogas']","['Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'other_strength_success_yogas']"
"If Saturn or the ascendant lord is conjunct with any exalted planet, long life will result.","BPHS1, Chapter 43 - LONGEVITY (Part 5)",yoga,Long Life Yoga,"[{""conjunction"": {""planet_names"": [""Saturn"", ""Exalted Planet""]}}, {""conjunction"": {""planet_names"": [""Ascendant Lord"", ""Exalted Planet""]}}]","['health_risks_longevity', 'yogas']","['Longevity & Risks', 'Strength & Success Yogas']","['lifespan_overview', 'other_strength_success_yogas']"
