chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"I now explain the use of these sixteen divisions. The physique from the ascendant, wealth from Hora, happiness through coborn from decanate, fortunes from Chaturthamsa, sons and grandsons from sapthamsa, spouse from Navamsa, power (and position) from Dasamsa, parents from Dvadasamsa, benefits and adversities through conveyances from Shodasamsa, worship from Vimsamsa, learning from Chathur Vimsamsa. strength and weakness from Bhamsa, evil effects from Trimsamsa, auspicious and inauspicious effects from Khavedamsa, and all indications from both Akshavedamsa and Shashtiamsa: these are the considerations to be made through the respective Vargas or divisions.","BPHS1, Chapter 5",varga,,"[{""varga"": ""D1"", ""varga_name"": ""Rasi"", ""domain"": [""physique""]}, {""varga"": ""D2"", ""varga_name"": ""Hora"", ""domain"": [""wealth""]}, {""varga"": ""D3"", ""varga_name"": ""Drekkana"", ""domain"": [""happiness through coborn""]}, {""varga"": ""D4"", ""varga_name"": ""Chaturthamsa"", ""domain"": [""fortunes""]}, {""varga"": ""D7"", ""varga_name"": ""Saptamsa"", ""domain"": [""sons and grandsons""]}, {""varga"": ""D9"", ""varga_name"": ""Navamsa"", ""domain"": [""spouse""]}, {""varga"": ""D10"", ""varga_name"": ""Dasamsa"", ""domain"": [""power"", ""position""]}, {""varga"": ""D12"", ""varga_name"": ""Dvadasamsa"", ""domain"": [""parents""]}, {""varga"": ""D16"", ""varga_name"": ""Shodasamsa"", ""domain"": [""benefits and adversities through conveyances""]}, {""varga"": ""D20"", ""varga_name"": ""Vimsamsa"", ""domain"": [""worship""]}, {""varga"": ""D24"", ""varga_name"": ""Siddhamsa"", ""domain"": [""learning""]}, {""varga"": ""D27"", ""varga_name"": ""Bhamsa"", ""domain"": [""strength and weakness""]}, {""varga"": ""D30"", ""varga_name"": ""Trimsamsa"", ""domain"": [""evil effects""]}, {""varga"": ""D40"", ""varga_name"": ""Khavedamsa"", ""domain"": [""auspicious and inauspicious effects""]}, {""varga"": ""D45"", ""varga_name"": ""Akshavedamsa"", ""domain"": [""all indications""]}, {""varga"": ""D60"", ""varga_name"": ""Shashtyamsa"", ""domain"": [""all indications""]}]","['Foundational Concepts', 'career_public_life', 'family_lineage', 'health_risks_longevity', 'home_property_vehicles', 'learning_education_creativity', 'relationships', 'travel_dharma_spirituality', 'wealth_assets_resources']","['Astrological Principles', 'Children & Descendants', 'Dharma & Spiritual Path', 'Formal Education', 'Income & Earnings', 'Physical Health', 'Prominence & Governance', 'Residence & Property', 'Romantic & Marriage', 'Social & Family Relations', 'Vehicles & Movables']","['definition', 'vitality_energy_levels', 'income_primary', 'siblings_relations', 'property_acquisition', 'childbearing_potential', 'marriage_spouse', 'authority_leadership', 'parental_relations', 'vehicle_ownership', 'spiritual_growth', 'higher_education', 'general_health']"
"The bhava whose lord is in a malefic Shashtiamsa will diminish, so say Garga and others.","BPHS1, Chapter 5",varga,,"[{""varga"": ""D60"", ""varga_name"": ""Shashtyamsa"", ""planet_name"": ""lord of a bhava"", ""sign"": ""malefic division""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
The bhava whose lord is in a benefic Shodasamsa (or Kalansa) will flourish.,"BPHS1, Chapter 5",varga,,"[{""varga"": ""D16"", ""varga_name"": ""Shodasamsa"", ""planet_name"": ""lord of a bhava"", ""sign"": ""benefic division""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
"Jupiter, the Sun and Mars give (pronounced) effects in the hora of the Sun. The Moon, Venus and Saturn do so when in Moon's hora. Mercury is effective in both the Horas.","BPHS1, Chapter 5",varga,,"[{""varga"": ""D2"", ""varga_name"": ""Hora"", ""planet_name"": ""Jupiter"", ""sign"": ""Sun's Hora""}, {""varga"": ""D2"", ""varga_name"": ""Hora"", ""planet_name"": ""Sun"", ""sign"": ""Sun's Hora""}, {""varga"": ""D2"", ""varga_name"": ""Hora"", ""planet_name"": ""Mars"", ""sign"": ""Sun's Hora""}, {""varga"": ""D2"", ""varga_name"": ""Hora"", ""planet_name"": ""Moon"", ""sign"": ""Moon's Hora""}, {""varga"": ""D2"", ""varga_name"": ""Hora"", ""planet_name"": ""Venus"", ""sign"": ""Moon's Hora""}, {""varga"": ""D2"", ""varga_name"": ""Hora"", ""planet_name"": ""Saturn"", ""sign"": ""Moon's Hora""}, {""varga"": ""D2"", ""varga_name"": ""Hora"", ""planet_name"": ""Mercury"", ""sign"": ""Sun's Hora""}, {""varga"": ""D2"", ""varga_name"": ""Hora"", ""planet_name"": ""Mercury"", ""sign"": ""Moon's Hora""}]","['Foundational Concepts', 'wealth_assets_resources']","['Astrological Principles', 'Financial Dynamics']","['general_principle', 'wealth_stability']"
In the case of an even Rasi the hora of the Moon will be powerful in effects while the Sun's hora in an odd sign will be so.,"BPHS1, Chapter 5",varga,,"[{""varga"": ""D2"", ""varga_name"": ""Hora"", ""sign"": ""Even"", ""domain"": [""Moon's Hora is powerful""]}, {""varga"": ""D2"", ""varga_name"": ""Hora"", ""sign"": ""Odd"", ""domain"": [""Sun's Hora is powerful""]}]","['Foundational Concepts', 'wealth_assets_resources']","['Astrological Principles', 'Financial Dynamics']","['general_principle', 'wealth_stability']"
"Full, medium and nil will be the effects respectively in the beginning, middle and the end of a hora. Similar applications be made for a decanate, Turyamsa, Navamsa etc.","BPHS1, Chapter 5",avastha,,"[{""planet_name"": ""any planet"", ""state"": ""beginning of a varga""}, {""planet_name"": ""any planet"", ""state"": ""middle of a varga""}, {""planet_name"": ""any planet"", ""state"": ""end of a varga""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
As for Trimsamsa effects the Sun is akin to Mars and the Moon is akin to Venus. The effects applicable to Rasi will apply to Trimsamsa.,"BPHS1, Chapter 5",varga,,"[{""varga"": ""D30"", ""varga_name"": ""Trimsamsa"", ""planet_name"": ""Sun"", ""domain"": [""Effects are akin to Mars""]}, {""varga"": ""D30"", ""varga_name"": ""Trimsamsa"", ""planet_name"": ""Moon"", ""domain"": [""Effects are akin to Venus""]}, {""varga"": ""D30"", ""varga_name"": ""Trimsamsa"", ""domain"": [""Effects applicable to Rasi apply to Trimsamsa""]}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
"The Shadvargas (six divisions) consist of Rasi, Hora, decanate, Navamsa, Dvadasamsa and Trimsamsa. The full strength, for each of the divisions respectively are 6, 2, 4, 5, 2 and 1. This is the Vimsopaka strength relating to Shadvarga division.","BPHS1, Chapter 5",varga_group_definition,,"[{""group_name"": ""Shadvarga"", ""varga_count"": 6, ""included_vargas"": [""Rasi"", ""Hora"", ""Drekkana"", ""Navamsa"", ""Dvadasamsa"", ""Trimsamsa""]}]",['Foundational Concepts'],['Astrological Principles'],['definition']
"Adding the Sapthamsamsa to the Shad Vargas, we get Sapta Varga, the Vimsopaka strength for which is : 5, 2, 3, 2.5, 4.5, 2 and 1. These are gross strengths while subtle ones should be understood by exact positions.","BPHS1, Chapter 5",varga_group_definition,,"[{""group_name"": ""Saptavarga"", ""varga_count"": 7, ""included_vargas"": [""Rasi"", ""Hora"", ""Drekkana"", ""Saptamsa"", ""Navamsa"", ""Dvadasamsa"", ""Trimsamsa""]}]",['Foundational Concepts'],['Astrological Principles'],['definition']
"Add Dasamsa, Shodasamsa and Shastiamsa to the said Saptha Varga Divisions, to get the scheme of Dasa Varga (10 divisions).","BPHS1, Chapter 5",varga_group_definition,,"[{""group_name"": ""Dasavarga"", ""varga_count"": 10, ""included_vargas"": [""Rasi"", ""Hora"", ""Drekkana"", ""Saptamsa"", ""Navamsa"", ""Dasamsa"", ""Dvadasamsa"", ""Shodasamsa"", ""Trimsamsa"", ""Shashtyamsa""]}]",['Foundational Concepts'],['Astrological Principles'],['definition']
