chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"If the 3 ascendants (i.e. natal ascendant, Hora Lagna and Ghatika Lagna) are occupied by planets in exaltation/own sign or if the natal ascendant, Drekkana ascendant and Navamsa ascendant have exalted planets, Raja yoga is formed.","BPHS1, Chapter 39 - RATAYOGAS (Part 2)",yoga,Raja Yoga,"[{""condition"": ""Planets in exaltation or own sign occupy the Natal Ascendant, Hora Lagna, and Ghatika Lagna.""}, {""condition"": ""Exalted planets occupy the Natal Ascendant, Drekkana Ascendant, and Navamsa Ascendant.""}]","['career_public_life', 'yogas']","['Prominence & Governance', 'Strength & Success Yogas']","['raja_yogas', 'authority_leadership', 'public_image_reputation']"
"If the Moon and a benefic are in the Arudha Lagna, as Jupiter is in the 2nd from natal ascendant and both the places are aspected by planets in exaltation or in own sign, there will be a Raja yoga.","BPHS1, Chapter 39 - RATAYOGAS (Part 2)",yoga,Raja Yoga,"[{""special_point"": {""point_name"": ""Arudha Lagna"", ""planet_in_point"": [""Moon"", ""Benefic""], ""aspected_by_planet_state"": [""Exaltation"", ""Own Sign""]}, ""placement"": {""planet_name"": ""Jupiter"", ""house"": 2}, ""house_profile"": {""house"": 2, ""aspected_by_planet_state"": [""Exaltation"", ""Own Sign""]}}]","['career_public_life', 'wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Prominence & Governance', 'Strength & Success Yogas']","['raja_yogas', 'authority_leadership', 'wealth_stability']"
"If the ascendant, 2nd and 4th are occupied by benefics while a malefic is in the 3rd, one will become a king or equal to a king.","BPHS1, Chapter 39 - RATAYOGAS (Part 2)",yoga,Raja Yoga,"[{""placement"": [{""planet_nature"": ""Benefic"", ""house"": 1}, {""planet_nature"": ""Benefic"", ""house"": 2}, {""planet_nature"": ""Benefic"", ""house"": 4}, {""planet_nature"": ""Malefic"", ""house"": 3}]}]","['career_public_life', 'yogas']","['Prominence & Governance', 'Strength & Success Yogas']","['raja_yogas', 'authority_leadership', 'public_image_reputation']"
"The native will be wealthy if one among the Moon, Jupiter, Venus and Mercury is exalted in the 2nd house.","BPHS1, Chapter 39 - RATAYOGAS (Part 2)",yoga,Dhana Yoga,"[{""placement"": {""planet_name"": ""Moon"", ""house"": 2, ""state"": ""Exaltation""}}, {""placement"": {""planet_name"": ""Jupiter"", ""house"": 2, ""state"": ""Exaltation""}}, {""placement"": {""planet_name"": ""Venus"", ""house"": 2, ""state"": ""Exaltation""}}, {""placement"": {""planet_name"": ""Mercury"", ""house"": 2, ""state"": ""Exaltation""}}]","['wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Income & Earnings', 'Strength & Success Yogas']","['dhana_yogas', 'income_primary', 'wealth_stability']"
"If the 6th, 8th and the 3rd are occupied by debilitated planets as the ascendant lord is exalted or is in (his other) own house and aspects the ascendant, there is a Raja yoga.","BPHS1, Chapter 39 - RATAYOGAS (Part 2)",yoga,Raja Yoga,"[{""placement"": [{""house"": 3, ""state"": ""Debilitation""}, {""house"": 6, ""state"": ""Debilitation""}, {""house"": 8, ""state"": ""Debilitation""}], ""lordship"": {""lord_of_house"": 1, ""state"": ""Exaltation""}, ""aspect"": {""source_planet_lord_of"": 1, ""target_house"": 1}}, {""placement"": [{""house"": 3, ""state"": ""Debilitation""}, {""house"": 6, ""state"": ""Debilitation""}, {""house"": 8, ""state"": ""Debilitation""}], ""lordship"": {""lord_of_house"": 1, ""state"": ""Own Sign""}, ""aspect"": {""source_planet_lord_of"": 1, ""target_house"": 1}}]","['career_public_life', 'core_self_vitality', 'yogas']","['Prominence & Governance', 'Purpose & Direction', 'Strength & Success Yogas']","['raja_yogas', 'authority_leadership', 'resilience_adaptability']"
"Again a Raja yoga is formed if the 6th, 8th and 12th lords are in fall or in inimical signs or in combustion as the ascendant lord placed in his (other) own sign or in exaltation sign aspects the ascendant.","BPHS1, Chapter 39 - RATAYOGAS (Part 2)",yoga,Raja Yoga,"[{""lordship_state"": [{""lord_of_house"": 6, ""state"": ""Debilitation""}, {""lord_of_house"": 8, ""state"": ""Debilitation""}, {""lord_of_house"": 12, ""state"": ""Debilitation""}], ""ascendant_lord_condition"": ""Ascendant lord in own sign or exaltation, aspecting the ascendant.""}, {""lordship_state"": [{""lord_of_house"": 6, ""state"": ""Inimical Sign""}, {""lord_of_house"": 8, ""state"": ""Inimical Sign""}, {""lord_of_house"": 12, ""state"": ""Inimical Sign""}], ""ascendant_lord_condition"": ""Ascendant lord in own sign or exaltation, aspecting the ascendant.""}, {""lordship_state"": [{""lord_of_house"": 6, ""state"": ""Combustion""}, {""lord_of_house"": 8, ""state"": ""Combustion""}, {""lord_of_house"": 12, ""state"": ""Combustion""}], ""ascendant_lord_condition"": ""Ascendant lord in own sign or exaltation, aspecting the ascendant.""}]","['career_public_life', 'core_self_vitality', 'yogas']","['Prominence & Governance', 'Purpose & Direction', 'Strength & Success Yogas']","['raja_yogas', 'authority_leadership', 'resilience_adaptability']"
"If the 10th lord, placed in his own house or in exaltation, aspects the ascendant, a Raja yoga is formed.","BPHS1, Chapter 39 - RATAYOGAS (Part 2)",yoga,Raja Yoga,"[{""lordship"": {""lord_of_house"": 10, ""state"": ""Own Sign""}, ""aspect"": {""source_planet_lord_of"": 10, ""target_house"": 1}}, {""lordship"": {""lord_of_house"": 10, ""state"": ""Exaltation""}, ""aspect"": {""source_planet_lord_of"": 10, ""target_house"": 1}}]","['career_public_life', 'yogas']","['Career Dynamics', 'Prominence & Governance', 'Strength & Success Yogas']","['raja_yogas', 'public_image_reputation', 'career_stability_longevity', 'authority_leadership']"
Similar is the case if benefics are in angles.,"BPHS1, Chapter 39 - RATAYOGAS (Part 2)",yoga,Raja Yoga,"[{""placement"": {""planet_nature"": ""Benefic"", ""house_group"": ""Kendra"", ""houses"": [1, 4, 7, 10]}}]","['health_risks_longevity', 'yogas']","['Physical Health', 'Strength & Success Yogas']","['raja_yogas', 'other_strength_success_yogas', 'general_health']"
"If the Atmakaraka is in a benefic's Rasi/Navamsa, the native will be wealthy.","BPHS1, Chapter 39 - RATAYOGAS (Part 2)",karaka,,"[{""varga"": {""varga"": ""D1"", ""planet_name"": ""Atmakaraka"", ""sign_ruler_nature"": ""Benefic""}}, {""varga"": {""varga"": ""D9"", ""varga_name"": ""Navamsa"", ""planet_name"": ""Atmakaraka"", ""sign_ruler_nature"": ""Benefic""}}]","['core_self_vitality', 'wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Purpose & Direction', 'Strength & Success Yogas']","['dhana_yogas', 'wealth_stability', 'spiritual_self_alignment']"
"If there are benefics in angles from Karakamsa Lagna, he will become a king.","BPHS1, Chapter 39 - RATAYOGAS (Part 2)",yoga,Raja Yoga,"[{""condition"": ""Benefic planets are placed in Kendra (1, 4, 7, 10) houses from the Karakamsa Lagna in the Navamsa chart.""}]","['career_public_life', 'travel_dharma_spirituality', 'yogas']","['Dharma & Spiritual Path', 'Prominence & Governance', 'Strength & Success Yogas']","['raja_yogas', 'authority_leadership', 'spiritual_growth']"
