chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"O Brahmin, I now tell you about the 3rd house. Should the 3rd house be conjunct or aspected by a benefic, the native will be endowed with co-born and be courageous.","BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",house_profile,,"[{""type"": ""conjunction"", ""planet_names"": [""benefic""], ""house"": 3}, {""type"": ""aspect"", ""source_planet"": ""benefic"", ""target_house"": 3}]","['core_self_vitality', 'relationships']","['Identity & Personality', 'Purpose & Direction', 'Social & Family Relations']","['siblings_relations', 'confidence_charisma', 'resilience_adaptability']"
If the 3rd lord along with Mars aspects the 3rd house the native will enjoy good results due to the 3rd house. Alternatively these two planets may be in the 3rd itself.,"BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",yoga,Third House Prosperity Yoga,"[{""condition"": ""joint_aspect"", ""lord_of_house"": 3, ""planet_name"": ""Mars"", ""target_house"": 3}, {""type"": ""conjunction"", ""planet_names"": [""lord_of_house_3"", ""Mars""], ""house"": 3}]","['family_lineage', 'relationships']","['Extended Family Dynamics', 'Social & Family Relations']","['siblings_relations', 'family_support_conflicts']"
Destruction at once of coborn will come to pass if the said 2 planets are together with a malefic or in a sign owned by a malefic.,"BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",dosha,Coborn Affliction Dosha,"[{""type"": ""conjunction"", ""planet_names"": [""lord_of_house_3"", ""Mars"", ""malefic""]}, {""type"": ""conjunction"", ""planet_names"": [""lord_of_house_3"", ""Mars""], ""sign_ruler"": ""malefic""}]","['health_risks_longevity', 'relationships']","['Longevity & Risks', 'Social & Family Relations']","['siblings_relations', 'risk_periods', 'sudden_endings']"
"FEMALE AND MALE COBORN: If the 3rd lord is a female planet or if the 3rd house be occupied by female planets, one will have sisters born after him. Similarly male planets and male signs denote younger brothers. Should it be of mixed nature, coborn of both sexes will be obtained. These effects be declared after assessing the strength and weakness of the concerned.","BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",house_profile,,"[{""condition"": ""3rd lord is a female planet"", ""outcome"": ""younger sisters""}, {""condition"": ""3rd house is occupied by female planets"", ""outcome"": ""younger sisters""}, {""condition"": ""3rd lord is a male planet"", ""outcome"": ""younger brothers""}, {""condition"": ""3rd house is occupied by male planets"", ""outcome"": ""younger brothers""}, {""condition"": ""3rd house is a male sign"", ""outcome"": ""younger brothers""}, {""condition"": ""Influences on the 3rd house are mixed"", ""outcome"": ""both brothers and sisters""}]","['Foundational Concepts', 'family_lineage', 'relationships']","['Astrological Principles', 'Children & Descendants', 'Social & Family Relations']","['siblings_relations', 'lineage_continuity', 'classification']"
"Should the 3rd lord and Mars be together in the 8th, destruction of coborn will result.","BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",lordship,,"[{""type"": ""conjunction"", ""planet_names"": [""lord_of_house_3"", ""Mars""], ""house"": 8}]","['health_risks_longevity', 'relationships']","['Longevity & Risks', 'Social & Family Relations']","['siblings_relations', 'sudden_endings', 'risk_periods']"
Happiness in this respect will come to pass if Mars or the 3rd lord is in an angle or in a trine or in exaltation/friendly divisions.,"BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",lordship,,"[{""planet_name"": ""Mars"", ""placement_type"": ""Kendra""}, {""planet_name"": ""Mars"", ""placement_type"": ""Trikona""}, {""planet_name"": ""Mars"", ""state"": ""exaltation""}, {""planet_name"": ""Mars"", ""varga_placement"": ""friendly""}, {""lord_of_house"": 3, ""placement_type"": ""Kendra""}, {""lord_of_house"": 3, ""placement_type"": ""Trikona""}, {""lord_of_house"": 3, ""state"": ""exaltation""}, {""lord_of_house"": 3, ""varga_placement"": ""friendly""}]","['family_lineage', 'relationships']","['Extended Family Dynamics', 'Social & Family Relations']","['siblings_relations', 'family_support_conflicts']"
"If Mercury is in the 3rd while the 3rd lord and Moon are together as the indicator (Mars) joins Saturn, the effects are : there occurred the birth of an elder sister and there will be younger brothers. Further the third brother will die.","BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",yoga,Specific Sibling Combination Yoga,"[{""placement"": {""planet_name"": ""Mercury"", ""house"": 3}, ""conjunction_1"": {""planet_names"": [""lord_of_house_3"", ""Moon""]}, ""conjunction_2"": {""planet_names"": [""Mars"", ""Saturn""]}}]","['family_lineage', 'health_risks_longevity', 'relationships']","['Children & Descendants', 'Longevity & Risks', 'Social & Family Relations']","['siblings_relations', 'risk_periods', 'lineage_continuity']"
"Should Mars and Rahu be conjunct while the 3rd lord is in his sign of debilitation, there will be loss of younger brothers/sisters while 3 elder brothers/sisters were attained by the native.","BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",yoga,Sibling Loss and Gain Yoga,"[{""conjunction"": {""planet_names"": [""Mars"", ""Rahu""]}, ""lordship"": {""lord_of_house"": 3, ""state"": ""debilitation""}}]","['health_risks_longevity', 'karma_past_life', 'relationships']","['Longevity & Risks', 'Past Life Patterns', 'Social & Family Relations']","['siblings_relations', 'risk_periods', 'karmic_debts_lessons']"
"If the 3rd lord is in an angle while the significator is exalted in a trine and be in the company of Jupiter, 12 will be the number of total coborn. Out of these 2 elders and the 3rd, 7th, 9th and 12th of younger coborn will be shortlived while six of the said twelve will be longlived.","BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",yoga,Numerous Siblings Yoga,"[{""lordship"": {""lord_of_house"": 3, ""placed_in_house_group"": ""Kendra""}, ""placement"": {""planet_name"": ""Mars"", ""state"": ""exaltation"", ""house_group"": ""Trikona""}, ""conjunction"": {""planet_names"": [""Mars"", ""Jupiter""]}}]","['family_lineage', 'health_risks_longevity', 'relationships']","['Children & Descendants', 'Longevity & Risks', 'Social & Family Relations']","['siblings_relations', 'childbearing_potential', 'lineage_continuity', 'lifespan_overview']"
There will be 7 coborn if the 12th lord (some texts read as the 11th lord) joins Mars and Jupiter while the 3rd is occupied by the Moon.,"BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",yoga,Seven Siblings Yoga,"[{""conjunction"": {""planet_names"": [""lord_of_house_12"", ""Mars"", ""Jupiter""]}, ""placement"": {""planet_name"": ""Moon"", ""house"": 3}}, {""conjunction"": {""planet_names"": [""lord_of_house_11"", ""Mars"", ""Jupiter""]}, ""placement"": {""planet_name"": ""Moon"", ""house"": 3}}]","['family_lineage', 'relationships']","['Children & Descendants', 'Social & Family Relations']","['siblings_relations', 'childbearing_potential', 'lineage_continuity']"
"If the Moon is lonely placed in the 3rd in aspect to male planets, there will be younger brothers while the aspect of Venus denotes younger sisters.","BPHS1, Chapter 12 - EFFECTS OF THE 3rd HOUSE",placement,,"[{""placement"": {""planet_name"": ""Moon"", ""house"": 3}, ""aspect"": {""planet_nature"": ""male"", ""target_house"": 3}}, {""placement"": {""planet_name"": ""Moon"", ""house"": 3}, ""aspect"": {""source_planet"": ""Venus"", ""target_house"": 3}}]","['family_lineage', 'relationships']","['Children & Descendants', 'Social & Family Relations']","['siblings_relations', 'lineage_continuity']"
