chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"The native will at the age of 32 lose his child if Rahu is in the 5th, the 5th lord is conjunct a malefic and Jupiter is in debilitation.","BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",dosha,Loss of child at age 32,"[{""placement"": {""planet_name"": ""Rahu"", ""house"": 5}, ""conjunction"": {""planet_names"": [""Lord of 5"", ""Malefic""]}, ""planet_profile"": {""planet_name"": ""Jupiter"", ""state"": ""debilitation""}}]","['family_lineage', 'health_risks_longevity', 'karma_past_life']","['Children & Descendants', 'Longevity & Risks', 'Past Life Patterns']","['childbearing_potential', 'karmic_debts_lessons', 'risk_periods']"
There will be loss of children at 33 and 36 if a malefic is in the 5th from Jupiter while another is in the 5th from the ascendant.,"BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",dosha,Loss of children at ages 33 and 36,"[{""unstructured"": {""text"": ""A malefic is in the 5th house from Jupiter""}, ""placement"": {""planet_name"": ""Malefic"", ""house"": 5}}]","['family_lineage', 'health_risks_longevity', 'karma_past_life']","['Children & Descendants', 'Longevity & Risks', 'Past Life Patterns']","['childbearing_potential', 'karmic_debts_lessons', 'risk_periods']"
"Should Mandi be in the ascendant while the ascendant lord is in fall, grief on account of loss of child at the age of 56 will come to pass.","BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",dosha,Loss of child at age 56,"[{""placement"": {""planet_name"": ""Mandi"", ""house"": 1}, ""planet_profile"": {""planet_name"": ""Lord of 1"", ""state"": ""debilitation""}}]","['family_lineage', 'health_risks_longevity', 'karma_past_life']","['Children & Descendants', 'Longevity & Risks', 'Past Life Patterns']","['childbearing_potential', 'karmic_debts_lessons', 'risk_periods']"
There will be 10 sons if the 4th and the 6th are occupied by malefics while the 5th lord is in deep exaltation joining the ascendant lord as Jupiter is with another benefic.,"BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",yoga,Yoga for 10 sons,"[{""placement"": [{""planet_name"": ""Malefic"", ""house"": 4}, {""planet_name"": ""Malefic"", ""house"": 6}], ""planet_profile"": {""planet_name"": ""Lord of 5"", ""state"": ""deep_exaltation""}, ""conjunction"": [{""planet_names"": [""Lord of 5"", ""Lord of 1""]}, {""planet_names"": [""Jupiter"", ""Benefic""]}]}]","['family_lineage', 'karma_past_life']","['Children & Descendants', 'Past Life Patterns']","['childbearing_potential', 'child_success', 'lineage_continuity', 'karmic_blessings']"
Nine will be the number of sons that one will beget if Jupiter is in deep exaltation as Rahu is with the 2nd lord and the 9th is occupied by its own lord.,"BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",yoga,Yoga for 9 sons,"[{""planet_profile"": {""planet_name"": ""Jupiter"", ""state"": ""deep_exaltation""}, ""conjunction"": {""planet_names"": [""Rahu"", ""Lord of 2""]}, ""lordship"": {""lord_of_house"": 9, ""placed_in_house"": 9}}]","['family_lineage', 'karma_past_life']","['Children & Descendants', 'Past Life Patterns']","['childbearing_potential', 'child_success', 'lineage_continuity', 'karmic_blessings']"
There will be eight sons if Jupiter is in the 5th/9th while the 5th lord is endowed with strength and the 2nd lord is in the 10th.,"BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",yoga,Yoga for 8 sons,"[{""placement"": {""planet_name"": ""Jupiter"", ""house"": 5}, ""planet_profile"": {""planet_name"": ""Lord of 5"", ""state"": ""strong""}, ""lordship"": {""lord_of_house"": 2, ""placed_in_house"": 10}}, {""placement"": {""planet_name"": ""Jupiter"", ""house"": 9}, ""planet_profile"": {""planet_name"": ""Lord of 5"", ""state"": ""strong""}, ""lordship"": {""lord_of_house"": 2, ""placed_in_house"": 10}}]","['family_lineage', 'karma_past_life']","['Children & Descendants', 'Past Life Patterns']","['childbearing_potential', 'child_success', 'lineage_continuity', 'karmic_blessings']"
"Saturn in the 9th from the ascendant while the 5th lord is in the 5th itself, will give 7 sons out of which twins will be born twice.","BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",yoga,Yoga for 7 sons with twins,"[{""placement"": {""planet_name"": ""Saturn"", ""house"": 9}, ""lordship"": {""lord_of_house"": 5, ""placed_in_house"": 5}}]",['family_lineage'],['Children & Descendants'],"['childbearing_potential', 'child_success', 'lineage_continuity']"
"If the 5th lord in the 5th is in conjunction with the 2nd lord, there will be birth of 7 sons out of which 3 will pass away.","BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",yoga,Yoga for 7 sons with loss of 3,"[{""conjunction"": {""planet_names"": [""Lord of 5"", ""Lord of 2""], ""house"": 5}}]","['family_lineage', 'karma_past_life']","['Children & Descendants', 'Past Life Patterns']","['childbearing_potential', 'lineage_continuity', 'karmic_debts_lessons']"
Only one son is denoted if there be a malefic in the 5th from the ascendant while Jupiter is in the 5th from Saturn or vice versa.,"BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",yoga,Yoga for one son,"[{""placement"": {""planet_name"": ""Malefic"", ""house"": 5}, ""unstructured"": {""text"": ""Jupiter is in the 5th house from Saturn""}}, {""placement"": {""planet_name"": ""Malefic"", ""house"": 5}, ""unstructured"": {""text"": ""Saturn is in the 5th house from Jupiter""}}]",['family_lineage'],['Children & Descendants'],"['childbearing_potential', 'lineage_continuity']"
"If the 5th house has a malefic in it or if Saturn is in the 5th from Jupiter, the native will beget offspring only through his 2nd or 3rd wife.","BPHS1, Chapter 14 - EFFECTS OF THE 5th HOUSE (Part 2)",dosha,Offspring through later marriage,"[{""placement"": {""planet_name"": ""Malefic"", ""house"": 5}}, {""unstructured"": {""text"": ""Saturn is in the 5th house from Jupiter""}}]","['family_lineage', 'karma_past_life', 'relationships']","['Children & Descendants', 'Past Life Patterns', 'Romantic & Marriage']","['childbearing_potential', 'marriage_spouse', 'karmic_debts_lessons']"
