chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"Mars in Prakasavastha in the 5th house will, however, cause loss of children and of wife.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Prakasavastha"", ""house"": 5}]","['family_lineage', 'health_risks_longevity', 'relationships']","['Children & Descendants', 'Longevity & Risks', 'Romantic & Marriage']","['childbearing_potential', 'marriage_spouse', 'other_longevity_risks']"
"If Mars is in the said state and be with Rahu, a severe (positional) fall will descend on the native.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Prakasavastha"", ""planet_names"": [""Mars"", ""Rahu""]}]","['career_public_life', 'wealth_assets_resources']","['Career Dynamics', 'Financial Dynamics', 'Prominence & Governance']","['public_image_reputation', 'sudden_gains_losses', 'career_stability_longevity']"
"Should Mars be in Gamanavastha the native will be always roaming, will have fear of multiple ulcers, will incur misunderstandings with females, will be afflicted by boils, itches etc. and will incur financial decline.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Gamanavastha""}]","['health_risks_longevity', 'home_property_vehicles', 'relationships', 'travel_dharma_spirituality']","['Physical Health', 'Public Interaction', 'Residence & Property', 'Romantic & Marriage', 'Travel & Journeys']","['short_travel_local', 'general_health', 'chronic_diseases', 'disputes_conflicts', 'love_relationships', 'debts_liabilities']"
"If Mars be in Agamanavastha, the native will be virtuous, endowed with precious gems, will adore a sharp sword, will walk with the (majestic) gait of an elephant (imparting surprise in the onlooker), will destroy his enemies and will remove the miseries of his people.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Agamanavastha""}]","['career_public_life', 'core_self_vitality', 'home_property_vehicles', 'relationships']","['Identity & Personality', 'Prominence & Governance', 'Public Interaction', 'Vehicles & Movables']","['self_identity_character', 'luxury_possessions', 'disputes_conflicts', 'authority_leadership', 'public_image_reputation']"
"If Mars be in Sabhavastha and be in exaltation the native will be skilful in conducting wars, will hold the flag of righteousness aloft and be wealthy.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sabhavastha"", ""condition"": ""in exaltation""}]","['career_public_life', 'core_self_vitality', 'wealth_assets_resources']","['Identity & Personality', 'Income & Earnings', 'Prominence & Governance']","['military_defense_security', 'authority_leadership', 'self_identity_character', 'income_primary']"
"if Mars be in the said state in the 5th or 9th, the native will be bereft of learning.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sabhavastha"", ""house"": 5}, {""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sabhavastha"", ""house"": 9}]",['learning_education_creativity'],"['Formal Education', 'Skills & Creativity']","['primary_education', 'higher_education', 'intellectual_skills']"
if in the 12th childlessness and no wife and no friends will result.,"BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sabhavastha"", ""house"": 12}]","['family_lineage', 'relationships']","['Children & Descendants', 'Romantic & Marriage', 'Social & Family Relations']","['childbearing_potential', 'marriage_spouse', 'friendships_social_circle']"
"if Mars be in other houses than these in the said Avastha, the native will be a scholar in a king's court (i.e. be a poet laureate), be very wealthy, honourable and charitable.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sabhavastha"", ""house"": [1, 2, 3, 4, 6, 7, 8, 10, 11]}]","['career_public_life', 'travel_dharma_spirituality', 'wealth_assets_resources']","['Dharma & Spiritual Path', 'Income & Earnings', 'Profession & Field', 'Prominence & Governance']","['education_academia_research', 'public_image_reputation', 'income_primary', 'charitable_service', 'politics_public_service']"
"If Mars be in Agamavastha, the native will be devoid of virtues and good deeds, will be distressed by diseases, will acquire diseases of the root of the ears, and severe gout pains, be timid and will befriend evil lot.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Agamavastha""}]","['core_self_vitality', 'health_risks_longevity', 'relationships']","['Identity & Personality', 'Physical Health', 'Social & Family Relations']","['self_identity_character', 'general_health', 'chronic_diseases', 'friendships_social_circle', 'confidence_charisma']"
"If Mars be with strength while in Bhojanavastha, the native will eat sweet-food and if be devoid of strength, the native will indulge in base acts and be dishonourable.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Bhojanavastha"", ""condition"": ""with strength""}, {""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Bhojanavastha"", ""condition"": ""devoid of strength""}]","['career_public_life', 'core_self_vitality', 'health_risks_longevity']","['Identity & Personality', 'Physical Health', 'Prominence & Governance']","['general_health', 'self_identity_character', 'public_image_reputation']"
"If Mars be Nrityalipsavastha, the native will earn wealth through king and will be endowed with fullness of gold, diamonds and corals in his house.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Nrityalipsavastha""}]","['career_public_life', 'home_property_vehicles', 'yogas']","['Career Dynamics', 'Prominence & Governance', 'Strength & Success Yogas', 'Vehicles & Movables']","['income_from_profession', 'politics_public_service', 'luxury_possessions', 'dhana_yogas']"
If Mars be in Kautukavastha the native will be curious in disposition and be endowed with friends and sons.,"BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Kautukavastha""}]","['core_self_vitality', 'family_lineage', 'relationships']","['Children & Descendants', 'Identity & Personality', 'Social & Family Relations']","['self_identity_character', 'friendships_social_circle', 'child_success']"
"if Mars be simultaneously exalted, the native will be honoured by the king and the virtuous and be himself virtuous.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Kautukavastha"", ""condition"": ""in exaltation""}]","['career_public_life', 'core_self_vitality']","['Identity & Personality', 'Prominence & Governance']","['public_image_reputation', 'politics_public_service', 'self_identity_character']"
"If Mars be in Nidravastha, the native will be short-tempered, devoid of intelligence and wealth, be wicked, fallen from virtuous path and troubled by diseases.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Nidravastha""}]","['core_self_vitality', 'health_risks_longevity', 'learning_education_creativity', 'wealth_assets_resources']","['Financial Dynamics', 'Identity & Personality', 'Physical Health', 'Skills & Creativity']","['self_identity_character', 'intellectual_skills', 'wealth_stability', 'general_health']"
"If Mars is in Sayanavastha at birth, the native will be libidinous, learned, intelligent and irritable.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sayanavastha""}]","['core_self_vitality', 'learning_education_creativity', 'relationships']","['Identity & Personality', 'Romantic & Marriage', 'Skills & Creativity']","['intimacy_sexuality', 'intellectual_skills', 'self_identity_character']"
"Should this Avastha in particular occur in the 5th or in the 7th, the native will lose his first wife and first child as well.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sayanavastha"", ""house"": 5}, {""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sayanavastha"", ""house"": 7}]","['family_lineage', 'health_risks_longevity', 'relationships']","['Children & Descendants', 'Longevity & Risks', 'Romantic & Marriage']","['marriage_spouse', 'childbearing_potential', 'other_longevity_risks']"
"If Mars in 5th being in Sayanavastha is related to Saturn or Rahu, the native's head will be severed.","BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sayanavastha"", ""house"": 5, ""planet_names"": [""Mars"", ""Saturn""]}, {""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sayanavastha"", ""house"": 5, ""planet_names"": [""Mars"", ""Rahu""]}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['accidents_injuries', 'lifespan_overview', 'sudden_endings']"
while with other malefics related to Mars in the said state ears/hand will be cut off.,"BPHS1, Chapter 45 - AVASTHAS OF PLANETS (Part 4)",avastha,,"[{""type"": ""avastha"", ""planet_name"": ""Mars"", ""state"": ""Sayanavastha"", ""house"": 5, ""condition"": ""related to other malefics""}]",['health_risks_longevity'],['Physical Health'],"['accidents_injuries', 'general_health']"
