chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"If the lord of the 2nd is in the 2nd or is in an angle or in a trine, he will promote one’s wealth (or monetary state). Should he be in the 6th/8th/l2th, financial conditions will decline. A benefic in the 2nd will give wealth while a malefic instead will destroy the same.","BPHS1, Chapter 13 - Effects of Second House",house_profile,,"[{""lordship"": {""lord_of_house"": 2, ""placed_in_house"": 2}}, {""lordship"": {""lord_of_house"": 2, ""placed_in_house"": [1, 4, 7, 10]}}, {""lordship"": {""lord_of_house"": 2, ""placed_in_house"": [5, 9]}}, {""lordship"": {""lord_of_house"": 2, ""placed_in_house"": [6, 8, 12]}}, {""placement"": {""planet_name"": ""Benefic"", ""house"": 2}}, {""placement"": {""planet_name"": ""Malefic"", ""house"": 2}}]","['wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Income & Earnings', 'Strength & Success Yogas']","['dhana_yogas', 'income_primary', 'wealth_stability', 'financial_risks']"
One will be wealthy if Jupiter is in the 2nd as the lord of the 2nd or is with Mars.,"BPHS1, Chapter 13 - Effects of Second House",yoga,Dhana Yoga,"[{""placement"": {""planet_name"": ""Jupiter"", ""house"": 2}, ""lordship"": {""planet_name"": ""Jupiter"", ""lord_of_house"": 2}}, {""conjunction"": {""planet_names"": [""Jupiter"", ""Mars""]}}]","['wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Income & Earnings', 'Strength & Success Yogas']","['dhana_yogas', 'income_primary', 'wealth_stability']"
"If the 2nd lord is in the 11th while the lord of the 11th is in the 2nd, wealth will be acquired by the native. Alternatively these two lords may join in an angle or in a trine.","BPHS1, Chapter 13 - Effects of Second House",yoga,Dhana Yoga,"[{""lordship"": [{""lord_of_house"": 2, ""placed_in_house"": 11}, {""lord_of_house"": 11, ""placed_in_house"": 2}]}, {""components"": [""conjunction of 2nd lord and 11th lord in an angle (1,4,7,10) or trine (5,9)""]}]","['wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Income & Earnings', 'Strength & Success Yogas']","['dhana_yogas', 'income_primary', 'income_secondary_sources', 'wealth_stability']"
"If the lord of the 2nd is in an angle while the 11th lord is in a trine thereof or is aspected by or conjunct by Jupiter and Venus, the subject will be wealthy.","BPHS1, Chapter 13 - Effects of Second House",yoga,Dhana Yoga,"[{""components"": [""lord of 2nd in an angle (1,4,7,10)"", ""lord of 11th in a trine (5,9) from the 2nd lord's position""]}, {""components"": [""lord of 2nd in an angle (1,4,7,10)"", ""lord of 2nd aspected by or conjunct Jupiter or Venus""]}]","['wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Income & Earnings', 'Strength & Success Yogas']","['dhana_yogas', 'income_primary', 'wealth_stability']"
YOGAS FOR POVERTY : One will be penniless if the lord of the 2nd is in an evil house while the 11th lord is also so placed and the 2nd is occupied by a malefic. There will be penury right from birth and the native will have to beg even for his food if the lords of the 2nd and the 11th are both combust or be with malefics.,"BPHS1, Chapter 13 - Effects of Second House",dosha,Daridra Yoga,"[{""components"": [""lord of 2nd in a dusthana (6,8,12)"", ""lord of 11th in a dusthana (6,8,12)"", ""malefic in 2nd house""]}, {""components"": [""lord of 2nd is combust"", ""lord of 11th is combust""]}, {""components"": [""lord of 2nd is with a malefic"", ""lord of 11th is with a malefic""]}]","['home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Residence & Property']","['debts_liabilities', 'sudden_gains_losses', 'financial_risks', 'wealth_stability']"
"LOSS OF WEALTH THROUGH THE KING : Should the lords of the 2nd and 11th be relegated to the 6th/8th/12th (jointly or separately) while Mars is in the 11th and Rahu is in the 2nd, the native will lose his wealth on account of royal punishments.","BPHS1, Chapter 13 - Effects of Second House",dosha,Wealth Loss Yoga,"[{""components"": [""lord of 2nd in a dusthana (6,8,12)"", ""lord of 11th in a dusthana (6,8,12)"", ""Mars in 11th house"", ""Rahu in 2nd house""]}]","['home_property_vehicles', 'relationships', 'wealth_assets_resources']","['Financial Dynamics', 'Public Interaction', 'Residence & Property']","['sudden_gains_losses', 'financial_risks', 'debts_liabilities', 'disputes_conflicts']"
"EXPENSES ON GOOD ACCOUNTS : Jupiter in the 11th, Venus in the 2nd, and a benefic in the 12th while the 2nd lord is conjunct a benefic there will be expenses on religious or charitable grounds.","BPHS1, Chapter 13 - Effects of Second House",yoga,Charitable Expenses Yoga,"[{""components"": [""Jupiter in 11th house"", ""Venus in 2nd house"", ""a benefic in 12th house"", ""2nd lord conjunct a benefic""]}]",['travel_dharma_spirituality'],['Dharma & Spiritual Path'],"['charitable_service', 'religious_alignment', 'spiritual_growth']"
"FAME ETC, : If the 2nd lord is in own sign or is exalted the native will look after his people, will help others and will become famous.","BPHS1, Chapter 13 - Effects of Second House",lordship,,"[{""lordship"": {""lord_of_house"": 2}, ""avastha"": {""planet_name"": ""lord_of_house_2"", ""state"": ""own_sign""}}, {""lordship"": {""lord_of_house"": 2}, ""avastha"": {""planet_name"": ""lord_of_house_2"", ""state"": ""exalted""}}]","['career_public_life', 'family_lineage', 'relationships']","['Extended Family Dynamics', 'Prominence & Governance', 'Public Interaction']","['public_image_reputation', 'social_influence_presence', 'family_support_conflicts']"
"EFFORTLESS ACQUISITION : If the 2nd lord is conjunct a benefic and be in a good division like Paravatamsa, there will be all kinds of wealth in his family effortlessly.","BPHS1, Chapter 13 - Effects of Second House",yoga,Effortless Wealth Yoga,"[{""components"": [""2nd lord conjunct a benefic"", ""2nd lord in a good varga (e.g., Paravatamsa)""]}]","['home_property_vehicles', 'wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Income & Earnings', 'Strength & Success Yogas', 'Vehicles & Movables']","['dhana_yogas', 'inheritance_unearned_income', 'wealth_stability', 'luxury_possessions']"
"EYES : If the 2nd lord is endowed with strength, the native will possess beautiful eyes. Should the said planet be in the 6th, 8th or 12th, there will be disease or deformity of eyes.","BPHS1, Chapter 13 - Effects of Second House",lordship,,"[{""lordship"": {""lord_of_house"": 2}, ""avastha"": {""planet_name"": ""lord_of_house_2"", ""state"": ""strong""}}, {""lordship"": {""lord_of_house"": 2, ""placed_in_house"": 6}}, {""lordship"": {""lord_of_house"": 2, ""placed_in_house"": 8}}, {""lordship"": {""lord_of_house"": 2, ""placed_in_house"": 12}}]","['core_self_vitality', 'health_risks_longevity']","['Identity & Personality', 'Physical Health']","['general_health', 'physical_appearance', 'chronic_diseases']"
