chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"If Dhwaja is in the 3rd, the native will be miserly, cruel in acts, thin-bodied, poor and will incur severe diseases.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 3}]","['core_self_vitality', 'health_risks_longevity', 'wealth_assets_resources']","['Financial Dynamics', 'Identity & Personality', 'Physical Health']","['self_identity_character', 'physical_appearance', 'wealth_stability', 'general_health']"
"If Dhwaja is in the 4th, the native will be charming, very virtuous, gentle, interested in Vedas and be always happy.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 4}]","['core_self_vitality', 'health_risks_longevity', 'travel_dharma_spirituality']","['Dharma & Spiritual Path', 'Identity & Personality', 'Mental & Emotional Health']","['physical_appearance', 'self_identity_character', 'spiritual_learning', 'emotional_resilience']"
"If Dhwaja is in the 5th, the native will be happy, will enjoy pleasures, be versed in arts, skilled in expedients, intelligent, eloquent and will respect elders.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 5}]","['core_self_vitality', 'health_risks_longevity', 'learning_education_creativity']","['Identity & Personality', 'Mental & Emotional Health', 'Skills & Creativity']","['emotional_resilience', 'arts_performance', 'intellectual_skills', 'writing_expression', 'self_identity_character']"
"If Dhwaja is in the 6th, the native will be ominous for maternal relatives, will win over his enemies, be endowed with many relatives, valiant, splendorous and skilful.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 6}]","['core_self_vitality', 'relationships']","['Identity & Personality', 'Public Interaction', 'Social & Family Relations']","['inlaws_extended_family', 'disputes_conflicts', 'self_identity_character', 'physical_appearance']"
"If Dhwaja is in the 7th, the native will be interested in gambling, be sensuous, will enjoy pleasures and will befriend prostitutes.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 7}]","['relationships', 'wealth_assets_resources']","['Income & Earnings', 'Romantic & Marriage']","['speculative_gains_losses', 'intimacy_sexuality', 'love_relationships']"
"If Dhwaja is in the 8th, the native will be interested in base acts, be sinful, shameless, will blame others, will lack in marital happiness and will take others' side.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 8}]","['core_self_vitality', 'relationships']","['Identity & Personality', 'Public Interaction', 'Romantic & Marriage']","['self_identity_character', 'marriage_spouse', 'disputes_conflicts']"
"If Dhwaja is in the 9th, the native will wear (religious) badges, be delighted, helpfully disposed to all and be skilled in religious deeds.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 9}]","['core_self_vitality', 'health_risks_longevity', 'travel_dharma_spirituality']","['Dharma & Spiritual Path', 'Identity & Personality', 'Mental & Emotional Health']","['religious_alignment', 'emotional_resilience', 'self_identity_character', 'charitable_service']"
"O Brahmin, if Dhwaja is in the 10th, the native will be endowed with happiness and fortunes, be fond of females, be charitable and will befriend Brahmins.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 10}]","['health_risks_longevity', 'relationships', 'travel_dharma_spirituality', 'wealth_assets_resources']","['Dharma & Spiritual Path', 'Income & Earnings', 'Mental & Emotional Health', 'Romantic & Marriage', 'Social & Family Relations']","['emotional_resilience', 'inheritance_unearned_income', 'love_relationships', 'charitable_service', 'friendships_social_circle']"
"If Dhwaja is in the 11th, the native will ever acquire gains, be very religious, honourable, fortunate, valiant, affluent and skilled in sacrificial rites.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 11}]","['career_public_life', 'core_self_vitality', 'travel_dharma_spirituality', 'wealth_assets_resources']","['Dharma & Spiritual Path', 'Financial Dynamics', 'Identity & Personality', 'Income & Earnings', 'Prominence & Governance']","['income_primary', 'religious_alignment', 'public_image_reputation', 'inheritance_unearned_income', 'self_identity_character', 'wealth_stability']"
"If Dhwaja is in the 12th, the native will be interested in sinful acts, be valiant, untrustworthy, unkind, interested in others' females and be short-tempered.","BPHS1, Chapter 23 - EFFECTS OF NON-LUMINOUS PLANETS (Part 3)",placement,,"[{""planet_name"": ""Dhwaja"", ""house"": 12}]","['core_self_vitality', 'relationships']","['Identity & Personality', 'Romantic & Marriage']","['self_identity_character', 'love_relationships']"
