fact_id,astrological_trigger_json,interpretation_summary_raw,interpretation_summary_ai,interpretation_text,theme,sub_theme,interpretation_group,source_name,source_type,source_reference,status,confidence_score,primary_fact_id,fallback_tags,embedding_vector,schema_version,conflict_status,last_updated,notes
79efe351158e4b21,"{""calculation_context"": {""type"": ""strength_dignity""}, ""components"": [{""planet"": ""jupiter"", ""strength"": {""type"": ""positive""}}]}","Academic success hinges on the strength of the two key planets: Mercury, which provides the intellectual acuity and learning ability, and Jupiter, which bestows the wisdom to synthesize and expand upon that learning.","Strong Jupiter bestows wisdom and the ability to synthesize and expand learning, contributing to academic success.","and Jupiter, which bestows the wisdom to synthesize and expand upon that learning.",learning_education_creativity,"intellectual_skills,research_academic_success",001425a20c379d25,Gemini,AI,Page 14,CLEANED,0.75,,[],,v2.0,NO_CONFLICT,2025-09-02T10:24:58.732921,JSON refined and scored by AI.
87a8c33a2c7ff042,"{""calculation_context"": {""type"": ""static_placement""}, ""components"": [{""planet"": ""Jupiter"", ""placement"": {""sign_num"": 2, ""house_num"": null}, ""conjunction_with"": [], ""aspect_by"": []}, {""planet"": ""Venus"", ""placement"": {""sign_num"": 4, ""house_num"": null}, ""conjunction_with"": [], ""aspect_by"": []}, {""planet"": ""Mercury"", ""placement"": {""sign_num"": 6, ""house_num"": null}, ""conjunction_with"": [], ""aspect_by"": []}]}",Saraswati Yoga,Saraswati Yoga is present.,Saraswati Yoga,yogas,saraswati_yoga,008d96a20cd0b7e2,Gemini,AI,Page 14,CLEANED,0.9,,[],,v2.0,NO_CONFLICT,2025-09-02T10:38:24.928471,JSON refined and scored by AI.
88daab71f6df11eb,"{""calculation_context"": {""type"": ""career_obstacles""}, ""components"": [{""planet"": ""undefined"", ""sign"": ""undefined"", ""house"": ""undefined"", ""aspect"": ""undefined"", ""yoga"": ""undefined"", ""strength"": ""undefined"", ""dignity"": ""undefined"", ""motion"": ""undefined"", ""relationship"": {""with"": ""undefined"", ""aspect_type"": ""undefined""}, ""special_positions"": ""undefined""}]}",These are the primary obstacles to your career.,Doshas are major career obstacles.,These are the primary obstacles to your career.,doshas,,00a0454e7b4ecd73,Gemini,AI,Page 33,CLEANED,0.75,,[],,v2.0,NO_CONFLICT,2025-09-02T11:01:01.358394,JSON refined and scored by AI.
b5151727ab276534,"{""calculation_context"": {""type"": ""static_placement""}, ""components"": [{""planet"": ""Sun"", ""sign_house"": {""house_number"": 9}, ""interpretation"": {""meaning"": ""paternal_lineage""}}, {""planet"": ""Moon"", ""sign_house"": {""house_number"": 4}, ""interpretation"": {""meaning"": ""maternal_lineage""}}]}","paternal lineage, while the Moon and the 4th House reflect the maternal side.","The Sun and 9th house signify paternal lineage, while the Moon and 4th house represent maternal lineage.","The Sun and the 9th House represent the paternal lineage, while the Moon and the 4th House reflect the maternal side.",family_lineage,ancestral_heritage,00f2f9b119d53d0b,Gemini,AI,Page 26,CLEANED,0.75,,[],,v2.0,NO_CONFLICT,2025-09-02T10:43:25.981213,JSON refined and scored by AI.
0931db6f3b3a72f4,"{""calculation_context"": {""type"": ""dosha_check"", ""dosha_type"": ""pitru_dosha""}, ""components"": [{""dosha_name"": ""Pitru Dosha"", ""description"": ""Presence of planetary combinations indicating Pitru Dosha""}]}",Specific combinations like 'Pitru Dosha' indicate inherited karmic debts from your ancestors that can influence your life's path.,Combinations like Pitru Dosha indicate inherited ancestral karmic debts influencing life.,Specific combinations like 'Pitru Dosha' indicate inherited karmic debts from your ancestors that can influence your life's path.,karma_past_life,family_lineage_debts,010f0b6ade406227,Gemini,AI,Page 26,CLEANED,0.9,,[],,v2.0,NO_CONFLICT,2025-09-02T10:29:36.834662,JSON refined and scored by AI.
12cb4453a1842960,"{""calculation_context"": {""type"": ""static_placement""}, ""components"": [{""type"": ""cusp"", ""house_index"": 10, ""sign"": [{""sign"": ""Cancer""}, {""sign"": ""Scorpio""}, {""sign"": ""Pisces""}]}]}","Watery Signs (Cancer, Scorpio, Pisces): Indicate compassionate, intuitive, or research-based fields like healing arts, creative arts, or psychology.","10th house in Cancer, Scorpio, or Pisces suggests compassionate or intuitive careers in healing arts, creative arts, or psychology.","Watery signs on the 10th house cusp suggest compassionate or intuitive careers in fields like healing arts, creative arts, or psychology.",career_public_life,other_career_related,01b8108c5eeda318,Gemini,AI,Page 2,CLEANED,0.75,,[],,v2.0,NO_CONFLICT,2025-09-02T10:20:14.037622,JSON refined and scored by AI.
066e7ed91a675f3c,"{""calculation_context"": {""type"": ""house_placement""}, ""components"": [{""planet"": null, ""house"": 7}]}","The 7th House (marriage, partnerships)",The 7th house signifies marriage and partnerships.,"The 7th House (marriage, partnerships)",relationships,marriage_spouse,0202eefb34e606a9,Gemini,AI,Page 6,CLEANED,0.9,,[],,v2.0,NO_CONFLICT,2025-09-02T10:21:35.664680,JSON refined and scored by AI.
cf159faf41685832,"{""calculation_context"": {""type"": ""general_interpretation""}, ""components"": [{""type"": ""concept"", ""concept"": ""health""}, {""type"": ""concept"", ""concept"": ""risks""}, {""type"": ""concept"", ""concept"": ""longevity""}, {""type"": ""relationship"", ""relationship"": ""fundamental_to"", ""subject"": [{""type"": ""concept"", ""concept"": ""health""}, {""type"": ""concept"", ""concept"": ""risks""}, {""type"": ""concept"", ""concept"": ""longevity""}], ""object"": {""type"": ""concept"", ""concept"": ""career""}}]}","Health, Risks & Longevity are fundamental to having a career.","Health, risks, and longevity are fundamental to the capacity to have a career.","Health, Risks & Longevity are fundamental to having a career.",health_risks_longevity,other_health_related,022d3c07ba67006d,Gemini,AI,Page 32,CLEANED,0.6,,[],,v2.0,NO_CONFLICT,2025-09-02T10:32:26.167798,JSON refined and scored by AI.
13037056a40313e4,"{""calculation_context"": {""type"": ""divisional_chart"", ""divisional_chart_type"": ""navamsa""}, ""components"": []}","The Navamsa (D-9) chart, which reveals the deeper karmic reality of the marriage.",The Navamsa (D-9) chart reveals the deeper karmic reality of marriage.,,relationships,marriage_spouse,025c5b4b10b03e23,Gemini,AI,Page 6,CLEANED,0.6,,[],,v2.0,NO_CONFLICT,2025-09-02T10:49:17.428578,JSON refined and scored by AI.
38af03be4daf2042,"{""calculation_context"": {""type"": ""affliction_and_weakness"", ""target"": ""house"", ""target_id"": 6}, ""components"": [{""house"": ""6"", ""strength"": ""weak"", ""affliction"": true}]}",,A weak and afflicted 6th house can make one vulnerable to enemies.,"A weak and afflicted 6th house, however, can make one vulnerable to being overcome by their enemies.",relationships,disputes_conflicts,02c755b63fdc8e03,Gemini,AI,Page 8,CLEANED,0.75,,[],,v2.0,NO_CONFLICT,2025-09-02T10:22:15.769979,JSON refined and scored by AI.
