chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"planets in the 4th, 2nd and the 11th (from a house or a planet) cause Argala while obstructors of the Argala will be those in the 10th, 12th and 3rd.","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_house"": 4, ""obstruction_house"": 10}, {""argala_house"": 2, ""obstruction_house"": 12}, {""argala_house"": 11, ""obstruction_house"": 3}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'general_principle']"
"If the Argala causing planet is stronger than the obstructing one, the former will prevail. Or if the number of Argalas are more than the obstructing planets, then also the Argala will prevail.","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""condition"": ""Argala planet is stronger than obstructing planet"", ""outcome"": ""Argala prevails""}, {""condition"": ""Number of Argala planets is greater than number of obstructing planets"", ""outcome"": ""Argala prevails""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
"If there are 3 or more malefics in the 3rd, they will cause vipareeta Argala (more effective intervention) which will also be harmless and be very favourable.","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",yoga,Vipareeta Argala,"[{""planet_count"": "">=3"", ""planet_nature"": ""malefic"", ""house"": 3, ""result"": ""Favourable Vipareeta Argala""}]","['Foundational Concepts', 'yogas']","['Astrological Principles', 'Miscellaneous Yogas']","['uncommon_special_yogas', 'general_principle']"
The 5th is also an Argala place while the planet in the 9th will counteract such Argala.,"BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_house"": 5, ""obstruction_house"": 9}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'general_principle']"
"As the nodes have retrograde motions, the Argalas and obstructions be also counted accordingly in a reverse manner.","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""planet_name"": [""Rahu"", ""Ketu""], ""calculation_method"": ""reverse count""}]","['Foundational Concepts', 'doshas']","['Astrological Principles', 'Malefic Influences']","['general_principle', 'rahu_ketu_affliction']"
"Sages say that the Argala caused by one planet will yield limited effects, by two medium and more than two excellent effects.","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""planet_count"": 1, ""effect_strength"": ""limited""}, {""planet_count"": 2, ""effect_strength"": ""medium""}, {""planet_count"": "">2"", ""effect_strength"": ""excellent""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
The Argala unobstructed will be fruitful while the one duly obstructed will go astray. The Argala effects will be derived in the Dasa periods of the Rasi or planet concerned.,"BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""condition"": ""Unobstructed Argala"", ""outcome"": ""Fruitful""}, {""condition"": ""Obstructed Argala"", ""outcome"": ""Ineffective""}, {""timing_trigger"": ""Dasha of Rasi or Planet involved in Argala""}]","['Foundational Concepts', 'timing_windows']","['Astrological Principles', 'Dashas & Sub-Dashas']","['general_principle', 'vimshottari_dasha']"
The Argala caused by placement of a planet in the first one fourth part of the Rasi is countered by another placed in the 4th quarter of the respective obstructive Rasi. Similarly 2nd quarter's Argala is eliminated by the 3rd quarter placement.,"BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_planet_position"": ""1st quarter (0 to 7.5 degrees)"", ""obstructing_planet_position"": ""4th quarter (22.5 to 30 degrees)"", ""outcome"": ""Obstruction is effective""}, {""argala_planet_position"": ""2nd quarter (7.5 to 15 degrees)"", ""obstructing_planet_position"": ""3rd quarter (15 to 22.5 degrees)"", ""outcome"": ""Obstruction is effective""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
"Should there be Argala for the Arudha Pada, for the natal ascendant, and for the 7th from both, the native will be famous and fortunate.","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on"": ""Arudha Pada"", ""result"": ""Famous and fortunate""}, {""argala_on"": ""Natal Ascendant"", ""result"": ""Famous and fortunate""}, {""argala_on"": ""7th from Arudha Pada"", ""result"": ""Famous and fortunate""}, {""argala_on"": ""7th from Natal Ascendant"", ""result"": ""Famous and fortunate""}]","['career_public_life', 'yogas']","['Prominence & Governance', 'Strength & Success Yogas']","['public_image_reputation', 'other_strength_success_yogas']"
A malefic or a benefic causing unobstructed Argala aspecting the ascendant will make one famous.,"BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 1, ""condition"": ""unobstructed"", ""result"": ""fame""}]","['career_public_life', 'core_self_vitality']","['Identity & Personality', 'Prominence & Governance']","['public_image_reputation', 'self_identity_character']"
Similarly aspecto n the 2nd house denotes acquisition of wealth and grains,"BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 2, ""condition"": ""unobstructed"", ""result"": ""acquisition of wealth and grains""}]","['wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Income & Earnings', 'Strength & Success Yogas']","['income_primary', 'dhana_yogas', 'wealth_stability']"
3rd house-happiness from co-born;,"BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 3, ""condition"": ""unobstructed"", ""result"": ""happiness from co-born""}]","['family_lineage', 'relationships']","['Extended Family Dynamics', 'Social & Family Relations']","['siblings_relations', 'siblings_influence']"
"the 4th house-residences, quadrupeds and relatives;","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 4, ""condition"": ""unobstructed"", ""result"": ""residences, quadrupeds and relatives""}]",['home_property_vehicles'],"['Domestic Environment', 'Residence & Property', 'Vehicles & Movables']","['property_acquisition', 'vehicle_ownership', 'home_comforts', 'domestic_harmony']"
"the 5th house-sons, grand sons and intelligence,","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 5, ""condition"": ""unobstructed"", ""result"": ""sons, grand sons and intelligence""}]","['family_lineage', 'learning_education_creativity']","['Children & Descendants', 'Skills & Creativity']","['childbearing_potential', 'child_success', 'intellectual_skills']"
the 6th house-fear from enemies;,"BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 6, ""condition"": ""unobstructed"", ""result"": ""fear from enemies""}]","['health_risks_longevity', 'relationships']","['Other', 'Public Interaction']","['disputes_conflicts', 'other_health_related']"
"the 7th house-abundant wealth and marital happiness,","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 7, ""condition"": ""unobstructed"", ""result"": ""abundant wealth and marital happiness""}]","['relationships', 'yogas']","['Public Interaction', 'Romantic & Marriage', 'Strength & Success Yogas']","['marriage_spouse', 'partnerships_collaborations', 'dhana_yogas']"
"the 8th house-difficulties,","BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 8, ""condition"": ""unobstructed"", ""result"": ""difficulties""}]",['health_risks_longevity'],['Longevity & Risks'],"['risk_periods', 'sudden_endings', 'other_longevity_risks']"
the 9th house-fortunes;,"BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 9, ""condition"": ""unobstructed"", ""result"": ""fortunes""}]","['karma_past_life', 'travel_dharma_spirituality']","['Dharma & Spiritual Path', 'Past Life Patterns']","['karmic_blessings', 'spiritual_growth', 'other_dharma_spirituality']"
the 10th house-royal honour;,"BPHS1, Chapter 31 - ARGALA OR PLANETARY INTERYENTION (Part 1)",unstructured,,"[{""argala_on_house"": 10, ""condition"": ""unobstructed"", ""result"": ""royal honour""}]",['career_public_life'],['Prominence & Governance'],"['public_image_reputation', 'authority_leadership', 'politics_public_service']"
