chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"If the 6th lord is in the 2nd, the native will be adventurous, famous among his racemen, will live in alien countries (or places), be happy, be a skilful speaker and be ever interested in his own work. The native will further be skilful in dealing with hoary lore. His financial position will be somewhat shaky. He will enjoy good health.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 2}]","['career_public_life', 'core_self_vitality', 'health_risks_longevity', 'learning_education_creativity', 'travel_dharma_spirituality', 'wealth_assets_resources']","['Dharma & Spiritual Path', 'Financial Dynamics', 'Physical Health', 'Prominence & Governance', 'Purpose & Direction', 'Skills & Creativity', 'Travel & Journeys']","['independence_autonomy', 'public_image_reputation', 'relocation_abroad', 'writing_expression', 'spiritual_learning', 'wealth_stability', 'general_health']"
"If the 6th lord is in the 3rd, the native will be given to anger, be bereft of courage, inimical to all of his co-born and will have disobedient servants. The 3rd house containing the 6th lord will not serve the native with intelligence at all times. To wit, he will be partly deprived of benefits due to his intelligence. He will also not be steady in disposition.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 3}]","['core_self_vitality', 'health_risks_longevity', 'learning_education_creativity', 'relationships']","['Identity & Personality', 'Mental & Emotional Health', 'Public Interaction', 'Skills & Creativity', 'Social & Family Relations']","['stress_anxiety', 'confidence_charisma', 'siblings_relations', 'disputes_conflicts', 'intellectual_skills', 'psychological_balance']"
"If the 6th lord is in the 4th, the native will be devoid of maternal happiness, be intelligent, be a talebearer, be jealous, fickle-minded and very rich.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 4}]","['health_risks_longevity', 'learning_education_creativity', 'relationships', 'wealth_assets_resources']","['Income & Earnings', 'Mental & Emotional Health', 'Public Interaction', 'Skills & Creativity', 'Social & Family Relations']","['parental_relations', 'intellectual_skills', 'disputes_conflicts', 'psychological_balance', 'income_primary']"
"If the 6th lord is in the 5th, the native will have fluctuating finances. He will incur enmity with his sons and friends. He will be happy, selfish and kind.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 5}]","['core_self_vitality', 'relationships', 'wealth_assets_resources']","['Financial Dynamics', 'Identity & Personality', 'Public Interaction', 'Social & Family Relations']","['wealth_stability', 'children_relations', 'friendships_social_circle', 'disputes_conflicts', 'self_identity_character']"
"If the 6th lord is in the 6th, the native will have enmity with the group of his kinsmen but be friendly to others and will enjoy mediocre happiness in matters like wealth. The native will enjoy happiness of conveyances and be free from diseases. His life span will also be considerably lengthy. These are additional effects for the 6th lord in the 6th itself.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 6}]","['family_lineage', 'health_risks_longevity', 'home_property_vehicles', 'relationships', 'wealth_assets_resources']","['Extended Family Dynamics', 'Financial Dynamics', 'Longevity & Risks', 'Physical Health', 'Social & Family Relations', 'Vehicles & Movables']","['family_support_conflicts', 'friendships_social_circle', 'wealth_stability', 'vehicle_ownership', 'general_health', 'lifespan_overview']"
"If the 6th lord is in the 7th, the native will be deprived of happiness through wedlock. He will be famous, virtuous, honourable, adventurous and wealthy. Apart from denying marital happiness, the 6th lord's occupancy of the 7th house will dissatisfy the native in the matter of progeny. His own spouse will be his sworn enemy.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 7}]","['career_public_life', 'core_self_vitality', 'family_lineage', 'relationships', 'wealth_assets_resources']","['Children & Descendants', 'Identity & Personality', 'Income & Earnings', 'Prominence & Governance', 'Public Interaction', 'Purpose & Direction', 'Romantic & Marriage']","['marriage_spouse', 'public_image_reputation', 'self_identity_character', 'independence_autonomy', 'income_primary', 'childbearing_potential', 'disputes_conflicts']"
"If the 6th lord is in the 8th, the native will be sickly, inimical, will desire others' wealth, be interested in others' wives and be impure (or degraded). It is not good for one's purity of character if the 8th house is occupied by the 6th lord. The native will be ever incurring enmity with others and be not happy. He will have a green eye on others' learning and an eye on others' wealth.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 8}]","['core_self_vitality', 'health_risks_longevity', 'relationships', 'wealth_assets_resources']","['Financial Dynamics', 'Identity & Personality', 'Mental & Emotional Health', 'Physical Health', 'Public Interaction', 'Romantic & Marriage']","['general_health', 'disputes_conflicts', 'financial_risks', 'intimacy_sexuality', 'self_identity_character', 'emotional_resilience']"
"If the 6th lord is in the 9th, the native will trade in wood and stones (crSFI also means poison), and will have fluctuating professional fortunes. The Maharshi seems to suggest that one will deal in building construction material by saying that one will sell wood and stones with the 6th lord in the 9th. It will further cause ups and downs in one's livelihood.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 9}]",['career_public_life'],"['Career Dynamics', 'Profession & Field']","['finance_trade_commerce', 'independent_business_entrepreneurship', 'career_stability_longevity']"
"If the 6th lord is in the 10th, the native will be well-known among his men, will not be respectfully disposed to his father and will be happy in foreign countries. He will be a gifted speaker. One will be greatly valorous and learned in Sastras (or ancient lore). There will be litigations on account of ancestral properties. Dutifulness and living in foreign place will also come to pass. These are in furtherance to the sage's views for the placement of the 6th lord in the 10th house.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 10}]","['career_public_life', 'core_self_vitality', 'learning_education_creativity', 'relationships', 'travel_dharma_spirituality', 'wealth_assets_resources']","['Dharma & Spiritual Path', 'Identity & Personality', 'Income & Earnings', 'Prominence & Governance', 'Public Interaction', 'Skills & Creativity', 'Social & Family Relations', 'Travel & Journeys']","['public_image_reputation', 'parental_relations', 'relocation_abroad', 'writing_expression', 'confidence_charisma', 'spiritual_learning', 'inheritance_unearned_income', 'disputes_conflicts']"
"If the 6th lord is in the 11th, the native will gain in wealth through his enemies, be virtuous, adventurous and be somewhat bereft of progenic happiness. One will, to some extent, be happy and to yet some extent be unhappy if the 6th lord occupies the 11th house. This is in regard to progeny. There is also a view that this position can wholly deny acquisition of a child.","BPHS1, Chapter 22 - EFFECTS OF THE BHAVA LORDS (Part 5)",lordship,,"[{""lord_of_house"": 6, ""placed_in_house"": 11}]","['core_self_vitality', 'family_lineage', 'wealth_assets_resources']","['Children & Descendants', 'Identity & Personality', 'Income & Earnings', 'Purpose & Direction']","['income_secondary_sources', 'self_identity_character', 'independence_autonomy', 'childbearing_potential']"
