fact_id,parent_fact_id,astrological_trigger_json,raw_text,interpretation_text,interpretation_summary_ai,topic,header,theme,theme_group,sub_theme,schema_type,is_conceptual_start,source_name,source_type,source_reference,status,notes,confidence_score,last_updated
4f90fd4f38d72c1f_fact_1,,"{""type"": ""unstructured"", ""text"": ""1. Prominence & Governance assesses the potential to achieve authority.""}","This area assesses the potential to achieve authority, influence, a strong public reputation, and leadership roles.",1. Prominence & Governance assesses the potential to achieve authority.,Prominence & Governance assesses potential for achieving authority. (Additional Context: This suggests a strong focus on leadership roles and public image in the relevant house or area of life signified by the planet's placement.),,1. Prominence & Governance,career_public_life,Prominence & Governance,authority_leadership,"[""unstructured""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135498
4f90fd4f38d72c1f_fact_2,,"{""type"": ""unstructured"", ""text"": ""1. Prominence & Governance assesses the potential to achieve influence.""}","This area assesses the potential to achieve authority, influence, a strong public reputation, and leadership roles.",1. Prominence & Governance assesses the potential to achieve influence.,Prominence & Governance assesses potential for influence. (Additional Context: This suggests the house's affairs related to prominence and public image will be significantly impacted by the individual's ability to exert influence and build networks.  The planet's nature will likely be connected to leadership qualities and public standing.),,1. Prominence & Governance,career_public_life,Prominence & Governance,"authority_leadership,networking_influence,public_image_reputation","[""unstructured""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135498
4f90fd4f38d72c1f_fact_3,,"{""type"": ""unstructured"", ""text"": ""1. Prominence & Governance assesses the potential to achieve a strong public reputation.""}","This area assesses the potential to achieve authority, influence, a strong public reputation, and leadership roles.",1. Prominence & Governance assesses the potential to achieve a strong public reputation.,"Prominence & Governance assesses potential for strong public reputation. (Additional Context: This suggests the house's affairs and the planet involved will significantly impact public perception and leadership capabilities.  A strong placement might indicate success in public life, while a weak placement could hinder reputation and authority.)",,1. Prominence & Governance,career_public_life,Prominence & Governance,"authority_leadership,public_image_reputation","[""unstructured""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135498
4f90fd4f38d72c1f_fact_4,,"{""type"": ""unstructured"", ""text"": ""1. Prominence & Governance assesses the potential to achieve leadership roles.""}","This area assesses the potential to achieve authority, influence, a strong public reputation, and leadership roles.",1. Prominence & Governance assesses the potential to achieve leadership roles.,"Prominence & Governance assesses leadership potential. (Additional Context: This suggests a strong potential for success in leadership roles and public life, depending on other chart factors.  The house placement of this assessment will indicate the area of life where this leadership will manifest.)",,1. Prominence & Governance,career_public_life,Prominence & Governance,"authority_leadership,politics_public_service","[""unstructured""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135498
ee79aa2f3edf1253_fact_1,,"{""type"": ""unstructured"", ""text"": ""1. Prominence & Governance is a measure of one's rise in the public sphere.""}",It is the measure of one's rise in the public sphere.,1. Prominence & Governance is a measure of one's rise in the public sphere.,"Prominence & Governance measures public sphere rise. (Additional Context: This suggests a strong focus on career and public image.  Planets associated with the 10th house (career) and 11th house (gains, public) will be significant in determining the level of prominence achieved.)",,1. Prominence & Governance,career_public_life,Prominence & Governance,"authority_leadership,networking_influence,politics_public_service,public_image_reputation","[""unstructured""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135548
f9dbeae382f0f79b_fact_1,,"{""type"": ""house_profile"", ""house"": 1, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": null, ""classifications"": [], ""karakas"": [], ""significations"": []}","Primary Houses: The 1st House (Lagna - the self and status) and the 10th House (Karma Sthana - public status, power).",The 1st house is a primary foundation point representing the self and status.,"The 1st house is a foundational point representing self and status. (Additional Context: The 1st house's foundation signifies the individual's personality, life path, and how they present themselves to the world.  Its strength or weakness impacts all other houses.)",,Foundation Points:,"Foundational Concepts,core_self_vitality","Astrological Principles,Identity & Personality","definition,general_principle,self_identity_character","[""house_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135570
f9dbeae382f0f79b_fact_2,,"{""type"": ""house_profile"", ""house"": 10, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": null, ""classifications"": [], ""karakas"": [], ""significations"": []}","Primary Houses: The 1st House (Lagna - the self and status) and the 10th House (Karma Sthana - public status, power).",The 10th house is a primary foundation point representing public status and power.,"The 10th house signifies public status and power. (Additional Context: The 10th house's focus on public status suggests the individual's career, reputation, and social standing are heavily influenced by its planetary placements and aspects.  A strong 10th house can indicate success and recognition, while a weak one may suggest challenges in these areas.)",,Foundation Points:,"Foundational Concepts,career_public_life","Astrological Principles,Prominence & Governance","authority_leadership,definition,general_principle,public_image_reputation","[""house_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135570
664e4e05b239e860_fact_1,,"{""type"": ""karaka"", ""karaka_type"": ""natural significator"", ""planet_name"": ""Sun"", ""signification"": ""authority""}","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","For Foundation Points, the Sun (Surya) is a key planet and the natural significator of authority.","The Sun is a key planet for Foundation Points, signifying authority. (Additional Context: The Sun's role as a significator of authority in Foundation Points suggests a strong emphasis on leadership and self-expression in matters related to the foundational aspects of one's life.)",,Foundation Points:,career_public_life,Prominence & Governance,authority_leadership,"[""karaka"", ""planet_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135588
664e4e05b239e860_fact_2,,"{""type"": ""karaka"", ""karaka_type"": ""planet"", ""planet_name"": ""Mars"", ""signification"": ""command""}","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","For Foundation Points, Mars (Mangala) is a key planet signifying command.",Mars signifies command in Foundation Points. (Additional Context: Mars's association with command suggests assertive energy and leadership potential within the house's affairs.  It implies a forceful and direct approach to matters related to the house.),,Foundation Points:,"Foundational Concepts,career_public_life","Astrological Principles,Prominence & Governance","authority_leadership,definition,general_principle","[""karaka"", ""planet_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135588
664e4e05b239e860_fact_3,,"{""type"": ""karaka"", ""karaka_type"": ""planet"", ""planet_name"": ""Saturn"", ""signification"": ""influence over the masses""}","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","For Foundation Points, Saturn (Shani) is a key planet signifying influence over the masses.","Saturn significantly influences the masses in Foundation Points. (Additional Context: Saturn's influence on the masses suggests a strong karmic weight related to societal structures and responsibilities within the house's affairs.  This could indicate challenges related to authority, public image, or widespread impact, depending on the house placement.)",,Foundation Points:,"career_public_life,doshas,relationships","Malefic Influences,Prominence & Governance,Public Interaction","authority_leadership,saturn_affliction,social_influence_presence","[""karaka"", ""planet_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135588
664e4e05b239e860_fact_4,,"{""type"": ""karaka"", ""karaka_type"": ""planet"", ""planet_name"": ""Moon"", ""signification"": ""public perception""}","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","For Foundation Points, the Moon (Chandra) is a key planet signifying public perception.","The Moon signifies public perception in Foundation Points. (Additional Context: This suggests the Moon's placement and aspects strongly influence how the individual is perceived publicly, impacting reputation and social standing.)",,Foundation Points:,"career_public_life,relationships","Prominence & Governance,Public Interaction","public_image_reputation,social_influence_presence","[""karaka"", ""planet_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135588
664e4e05b239e860_fact_5,,"{""type"": ""planet_profile"", ""planet_name"": ""Sun"", ""house"": null, ""aspects_house"": null, ""karaka_for"": [""authority""], ""state"": null, ""sign"": null, ""friends"": [], ""enemies"": [], ""neutral_to"": []}","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","For Foundation Points, the Sun (Surya) is a key planet and the natural significator of authority.",The Sun is a key planet for Foundation Points and signifies authority. (Additional Context: The Sun's role as a significator of authority in Foundation Points suggests a strong emphasis on leadership and self-expression in the individual's foundational life areas.  Its placement and aspects will significantly impact the individual's ability to assert themselves and take charge.),,Foundation Points:,"Foundational Concepts,career_public_life","Astrological Principles,Prominence & Governance","authority_leadership,definition,general_principle","[""karaka"", ""planet_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135588
664e4e05b239e860_fact_6,,"{""type"": ""planet_profile"", ""planet_name"": ""Mars"", ""house"": null, ""aspects_house"": null, ""karaka_for"": [""command""], ""state"": null, ""sign"": null, ""friends"": [], ""enemies"": [], ""neutral_to"": []}","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","For Foundation Points, Mars (Mangala) is a key planet signifying command.",Mars signifies command in Foundation Points. (Additional Context: Mars's association with command suggests a strong assertive energy influencing the foundational aspects of a chart.  This might indicate a forceful personality or a tendency towards taking charge in matters related to the house where this Foundation Point falls.),,Foundation Points:,"Foundational Concepts,career_public_life","Astrological Principles,Prominence & Governance","authority_leadership,general_principle","[""karaka"", ""planet_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135588
664e4e05b239e860_fact_7,,"{""type"": ""planet_profile"", ""planet_name"": ""Saturn"", ""house"": null, ""aspects_house"": null, ""karaka_for"": [""masses""], ""state"": null, ""sign"": null, ""friends"": [], ""enemies"": [], ""neutral_to"": []}","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","For Foundation Points, Saturn (Shani) is a key planet signifying influence over the masses.",Saturn significantly influences the masses in Foundation Points. (Additional Context: Saturn's influence over the masses suggests a strong karmic connection to societal structures and responsibilities.  Its placement in a chart might indicate a powerful role in public life or a heavy burden of societal expectations.),,Foundation Points:,"career_public_life,relationships","Prominence & Governance,Public Interaction","authority_leadership,social_influence_presence","[""karaka"", ""planet_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,VALIDATED,Reconciled via Decompose-Extract v6,0.95,2025-09-22T00:26:33.135588
