chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"Should the ascendant lord be a malefic or be in the 8th, 6th or 12th, physical felicity will diminish.","BPHS1, Chapter 12 - Effects Of First House",lordship,,"[{""lord_of_house"": 1, ""planet_nature"": ""malefic""}, {""lord_of_house"": 1, ""placed_in_house"": 6}, {""lord_of_house"": 1, ""placed_in_house"": 8}, {""lord_of_house"": 1, ""placed_in_house"": 12}]",['health_risks_longevity'],['Physical Health'],"['general_health', 'vitality_energy_levels']"
"If he, however, be a benefic, there will be at all times comforts of the body.","BPHS1, Chapter 12 - Effects Of First House",lordship,,"[{""lord_of_house"": 1, ""planet_nature"": ""benefic""}]",['health_risks_longevity'],['Physical Health'],"['general_health', 'vitality_energy_levels']"
"If the ascendant lord is in an inimical sign, there will be different diseases.","BPHS1, Chapter 12 - Effects Of First House",avastha,,"[{""planet_name"": ""Ascendant Lord"", ""state"": ""in inimical sign""}]",['health_risks_longevity'],['Physical Health'],"['general_health', 'chronic_diseases']"
"In an angle or trine, all diseases will disappear.","BPHS1, Chapter 12 - Effects Of First House",lordship,,"[{""lord_of_house"": 1, ""placed_in_house"": 1}, {""lord_of_house"": 1, ""placed_in_house"": 4}, {""lord_of_house"": 1, ""placed_in_house"": 5}, {""lord_of_house"": 1, ""placed_in_house"": 7}, {""lord_of_house"": 1, ""placed_in_house"": 9}, {""lord_of_house"": 1, ""placed_in_house"": 10}]",['health_risks_longevity'],['Physical Health'],"['general_health', 'immunity_strength']"
"The ascendant's angles (i.e. 4th, 7th or the 10th) or its trine (5th/9th) containing a benefic is a powerful remedy for all ills related to health.","BPHS1, Chapter 12 - Effects Of First House",placement,,"[{""planet_nature"": ""benefic"", ""house"": 4}, {""planet_nature"": ""benefic"", ""house"": 7}, {""planet_nature"": ""benefic"", ""house"": 10}, {""planet_nature"": ""benefic"", ""house"": 5}, {""planet_nature"": ""benefic"", ""house"": 9}]",['health_risks_longevity'],['Physical Health'],"['general_health', 'immunity_strength']"
"There will not be bodily health if the ascendant or the Moon be aspected by or conjunct a malefic, being devoid of a benefic's aspect.","BPHS1, Chapter 12 - Effects Of First House",dosha,Affliction to Ascendant or Moon,"[{""target"": ""Ascendant"", ""affliction_type"": ""aspect"", ""afflicting_planet_nature"": ""malefic"", ""mitigation_absent"": ""benefic aspect""}, {""target"": ""Ascendant"", ""affliction_type"": ""conjunction"", ""afflicting_planet_nature"": ""malefic"", ""mitigation_absent"": ""benefic aspect""}, {""target"": ""Moon"", ""affliction_type"": ""aspect"", ""afflicting_planet_nature"": ""malefic"", ""mitigation_absent"": ""benefic aspect""}, {""target"": ""Moon"", ""affliction_type"": ""conjunction"", ""afflicting_planet_nature"": ""malefic"", ""mitigation_absent"": ""benefic aspect""}]",['health_risks_longevity'],['Physical Health'],"['general_health', 'vitality_energy_levels', 'malefic_influences']"
"A benefic in the ascendant will give a pleasing appearance, while a malefic will make one bereft of good appearance.","BPHS1, Chapter 12 - Effects Of First House",placement,,"[{""planet_nature"": ""benefic"", ""house"": 1}, {""planet_nature"": ""malefic"", ""house"": 1}]",['core_self_vitality'],['Identity & Personality'],"['physical_appearance', 'self_identity_character']"
Felicity of the body will be enjoyed if the ascendant is aspected by or conjunct a benefic.,"BPHS1, Chapter 12 - Effects Of First House",house_profile,,"[{""house"": 1, ""aspected_by_planet"": ""benefic""}, {""house"": 1, ""planet_in_house"": ""benefic""}]",['health_risks_longevity'],['Physical Health'],"['general_health', 'vitality_energy_levels']"
"If the ascendant lord, Mercury, Jupiter or Venus be in an angle or in a trine, the native will be longlived, wealthy, intelligent and liked by the king.","BPHS1, Chapter 12 - Effects Of First House",yoga,Benefics or Lagna Lord in Kendra or Trikona,"[{""planet_name"": ""Ascendant Lord"", ""house_group"": ""Kendra""}, {""planet_name"": ""Ascendant Lord"", ""house_group"": ""Trikona""}, {""planet_name"": ""Mercury"", ""house_group"": ""Kendra""}, {""planet_name"": ""Mercury"", ""house_group"": ""Trikona""}, {""planet_name"": ""Jupiter"", ""house_group"": ""Kendra""}, {""planet_name"": ""Jupiter"", ""house_group"": ""Trikona""}, {""planet_name"": ""Venus"", ""house_group"": ""Kendra""}, {""planet_name"": ""Venus"", ""house_group"": ""Trikona""}]","['career_public_life', 'health_risks_longevity', 'learning_education_creativity', 'yogas']","['Longevity & Risks', 'Prominence & Governance', 'Skills & Creativity', 'Strength & Success Yogas']","['lifespan_overview', 'dhana_yogas', 'intellectual_skills', 'authority_leadership', 'raja_yogas']"
"Fame, wealth, abundant pleasures and comforts of the body will be acquired if the ascendant lord is in a movable sign and be aspected by a benefic planet.","BPHS1, Chapter 12 - Effects Of First House",yoga,Ascendant Lord in Movable Sign with Benefic Aspect,"[{""planet_name"": ""Ascendant Lord"", ""sign_modality"": ""movable"", ""aspected_by_nature"": ""benefic""}]","['career_public_life', 'health_risks_longevity', 'home_property_vehicles', 'wealth_assets_resources']","['Income & Earnings', 'Physical Health', 'Prominence & Governance', 'Vehicles & Movables']","['public_image_reputation', 'income_primary', 'luxury_possessions', 'general_health']"
