chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
Now I narrate the benefic and evil tendencies of the planets based on which the Dasa effects-good or bad-can be decided.,"BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",prose,,,"['Foundational Concepts', 'timing_windows']","['Astrological Principles', 'Dashas & Sub-Dashas']","['vimshottari_dasha', 'general_principle']"
"EXALTATION RAYS: Deduct the planet's debilitation point from its actual position. If the sum exceeds 6 signs, deduct from 12 signs. The said sum should then be increased by 1 Rasi. The degrees etc. to be multiplied by 2 which when considered along with Rasis will indicate the Uchcha Rasmi of the planet.","BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['general_principle', 'definition']"
"CHESHTA RASMI: Cheshta Rasmis are to be calculated from Cheshta Kendra similar to Uchcha Rasmi computations. The Cheshta Kendras of planets from Mars to Saturn have already been explained. Add 3 Rasis to Sayana Sun (i.e. Sun with Ayanamsa), which will be the Cheshta Kendra for the Sun. The sidereal longitude of the Sun should be deducted from the Moon to get the Moon's Cheshta Kendra. If the Cheshta Kendra (for any planet) is in excess of 6 signs, deduct it from 12 signs. Add 1 sign and multiply the degrees etc. by 2 which will indicate the Cheshta Rasmi of the planet.","BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['general_principle', 'definition']"
BENEFICIAL AND MALEFIC RAYS: Add the Uchcha Rasmis and Cheshta Rasmis together and divide by two. The result will be auspicious rays (Subha Rasmis). Deduct from 8 the Subha Rasmis to obtain inauspicious rays (or Asubha Rasmis).,"BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['general_principle', 'definition']"
ISHTA AND KASHTA (BENEFIC AND MALEFIC TENDENCIES): Reduce 1 from each of Cheshta Rasmi and Uchcha Rasmi. Then multiply the products by 10 and add together. Half of the sum will represent the Ishta phala (benefic tendency) of the planet. Reduce Ishta Phala from 60 to obtain the planet's Kashta Phala (or malefic tendency).,"BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['general_principle', 'definition']"
"ISHTA KASHTA SAPTAVARGAJA PHALA: 60, 45, 30, 22, 15, 8, 4, 2 and 0 are the Subhankas (or Subha Griha Pankthis or benefic points) due to a planet's placement respectively in exaltation, Moolatrikona, own sign, extreme friend's sign, friend's sign, equal's sign, enemy's sign, bitter enemy's sign and debilitation sign. If Subhanka is deducted from 60, Asubhanka (or Asubha Pankthi or inauspicious points) will emerge. O Brahmin, in other Vargas, these are halved.","BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['general_principle', 'definition']"
"A planet is considered auspicious in the first five of the said places. In the sixth place it is equal, i.e. neither good nor bad. And in the other three places it is inauspicious.","BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['general_principle', 'classification']"
"NATURE OF EFFECTS DUE TO DIGBALA ETC: The directional strength of planet is itself representative of the effects due to the direction and Dinabala itself is indicative of effects due to day. Whatever quantum of Digbala etc. are obtained by a planet will be the extent of auspicious effects acquirable on account of that strength. Deducting those figures from 60, the extent of inauspiciousness is known. If auspiciousness is more in the case of planet's strength, the Dasa and Bhavas related to that planet will be auspicious. And these are converse if inauspiciousness is predominant.","BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",unstructured,,,"['Foundational Concepts', 'timing_windows']","['Astrological Principles', 'Dashas & Sub-Dashas']","['general_principle', 'vimshottari_dasha']"
SAPTAVARGAJA BALA AND ISHTA KASHTA (Continued): The various strengths (i.e. the other 6 vargas vide slokas 7-9 supra) be multiplied by the respective planet's shadbala pinda which will indicate the auspiciousness of the varga concerned. Auspicious or inauspicious aspect will be obtained by multiplying the Subha or Asubha Pankthi. Similarly auspicious or inauspicious effects will be known by multiplying the auspicious or inauspicious strength by the respective Pankthi.,"BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",unstructured,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"EFFECTS OF A BHAVA: The strength of a Bhava and its lord have already been explained. The actual effects will be a combination of bhava strength and its lord's strength. If there is a benefic in the bhava add the same to the auspicious effects and deduct from inauspicious effects, which will denote the net auspicious or inauspicious effects. If a malefic is in the bhava, reverse the process, i.e. add inauspicious effects and deduct auspicious effects. Similarly aspects and strengths. If a planet is exalted or with such a dignity, add auspicious effects and reduce inauspicious effects. For debilitation etc. it is converse. In AshtakaVarga, add Bindus (auspicious points) and deduct Karanas (inauspicious points). If a bhava extends to two Rasis, the rectification will be done as per both the lords. In that case whichever Rasi has more Bindus that Rasi will yield more favourable results concerning that Bhava. If both the Rasis have more auspicious Bindus take the average. Thus the auspicious and inauspicious effects of a bhava be understood.","BPHS1, Chapter 28 - ISHTA AND KASHTA BALAS",house_profile,,"[{""state"": ""The actual effects of a Bhava are a combination of the Bhava's strength and its lord's strength.""}, {""planet_in_house"": ""benefic"", ""state"": ""Add to the auspicious effects and deduct from the inauspicious effects of the Bhava.""}, {""planet_in_house"": ""malefic"", ""state"": ""Add to the inauspicious effects and deduct from the auspicious effects of the Bhava.""}, {""aspected_by_planet"": ""benefic"", ""state"": ""Add to the auspicious effects and deduct from the inauspicious effects of the Bhava.""}, {""aspected_by_planet"": ""malefic"", ""state"": ""Add to the inauspicious effects and deduct from the auspicious effects of the Bhava.""}, {""state"": ""If a planet in the house is exalted or has high dignity, add to auspicious effects and reduce inauspicious effects.""}, {""state"": ""If a planet in the house is debilitated or has low dignity, add to inauspicious effects and reduce auspicious effects.""}, {""state"": ""In Ashtakavarga, the net effect is determined by adding Bindus (auspicious points) and deducting Karanas (inauspicious points).""}, {""state"": ""If a bhava extends across two Rasis, consider both lords. The Rasi with more Bindus will yield more favourable results. If both have high auspicious Bindus, take the average.""}]",['Foundational Concepts'],['Astrological Principles'],"['general_principle', 'definition']"
