chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"If the Sun, being with strength,is in the 3rd house from the ascendant, one will obtain his death due to a king (or legal punishments).","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",placement,,"[{""type"": ""placement"", ""planet_name"": ""Sun"", ""house"": 3}]","['health_risks_longevity', 'relationships']","['Longevity & Risks', 'Public Interaction']","['lifespan_overview', 'sudden_endings', 'disputes_conflicts']"
The Moon in the 3rd will cause death due to tuberculosis.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",placement,,"[{""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 3}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['lifespan_overview', 'chronic_diseases', 'general_health']"
"wounds, weapons, fire and thirst will cause death through Mars in the 3rd.","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",placement,,"[{""type"": ""placement"", ""planet_name"": ""Mars"", ""house"": 3}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['lifespan_overview', 'accidents_injuries', 'sudden_endings']"
"If the 3rd be aspected or occupied by Saturn and Rahu, death will be through poison, water or fire, or fall from heights or confinement.","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",house_profile,,"[{""type"": ""placement"", ""planet_name"": ""Saturn"", ""house"": 3}, {""type"": ""aspect"", ""source_planet"": ""Saturn"", ""target_house"": 3}, {""type"": ""placement"", ""planet_name"": ""Rahu"", ""house"": 3}, {""type"": ""aspect"", ""source_planet"": ""Rahu"", ""target_house"": 3}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['lifespan_overview', 'sudden_endings', 'accidents_injuries']"
Death will surely come to descend through insects or leprosy if the Moon and Gulika occupy or aspect the 3rd house.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",yoga,Untimely Death Yoga,"[{""type"": ""conjunction"", ""planet_names"": [""Moon"", ""Gulika""], ""house"": 3}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['lifespan_overview', 'chronic_diseases', 'general_health']"
Mercury aspecting or occupying the 3rd will bring death followed by fever.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",house_profile,,"[{""type"": ""placement"", ""planet_name"": ""Mercury"", ""house"": 3}, {""type"": ""aspect"", ""source_planet"": ""Mercury"", ""target_house"": 3}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['lifespan_overview', 'chronic_diseases', 'general_health']"
Jupiter in the 3rd or aspecting the 3rd will cause death by swelling or tumour.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",house_profile,,"[{""type"": ""placement"", ""planet_name"": ""Jupiter"", ""house"": 3}, {""type"": ""aspect"", ""source_planet"": ""Jupiter"", ""target_house"": 3}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['lifespan_overview', 'chronic_diseases', 'general_health']"
Urinary diseases will cause death if Venus is in the 3rd or aspects the 3rd.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",house_profile,,"[{""type"": ""placement"", ""planet_name"": ""Venus"", ""house"": 3}, {""type"": ""aspect"", ""source_planet"": ""Venus"", ""target_house"": 3}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['lifespan_overview', 'chronic_diseases', 'general_health']"
Many planets aspecting or occupying will bring death through many diseases.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",house_profile,,"[{""type"": ""house_profile"", ""house"": 3, ""state"": ""Occupied or aspected by many planets""}]",['health_risks_longevity'],"['Longevity & Risks', 'Physical Health']","['lifespan_overview', 'chronic_diseases', 'general_health']"
"If the 3rd house is occupied by a benefic, death will be in an auspicious place (like a shrine).","BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",placement,,"[{""type"": ""placement"", ""planet_name"": ""Benefic"", ""house"": 3}]","['health_risks_longevity', 'travel_dharma_spirituality']","['Dharma & Spiritual Path', 'Longevity & Risks', 'Travel & Journeys']","['lifespan_overview', 'pilgrimage_spiritual_travel', 'spiritual_growth']"
and if by a malefic in sinful places.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",placement,,"[{""type"": ""placement"", ""planet_name"": ""Malefic"", ""house"": 3}]",['health_risks_longevity'],['Longevity & Risks'],"['lifespan_overview', 'other_longevity_risks']"
Mixed occupation will yield mixed results in this regard.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",placement,,"[{""type"": ""placement"", ""planet_name"": ""Mixed"", ""house"": 3}]",['health_risks_longevity'],['Longevity & Risks'],"['lifespan_overview', 'other_longevity_risks']"
Consciousness will prevail at the time of death if Jupiter or Venus be in the 3rd.,"BPHS1, Chapter 44 - MARAKA ( KILLER) PLANETS (Part 2)-a",placement,,"[{""type"": ""placement"", ""planet_name"": ""Jupiter"", ""house"": 3}, {""type"": ""placement"", ""planet_name"": ""Venus"", ""house"": 3}]","['health_risks_longevity', 'travel_dharma_spirituality']","['Dharma & Spiritual Path', 'Longevity & Risks', 'Mental & Emotional Health']","['lifespan_overview', 'psychological_balance', 'spiritual_growth']"
