Fact_ID,Theme,Fact_Group,Sub_Themes,Foundation_Point,Interpretation_Text,AI_Astro_Summary,Chart_Refs_JSON,Source_Name,Source_Type,Source_Reference,Confidence_Score,Status,Conflict_Tag,Primary_Fact_ID,Last_Updated,Notes
af4f095fdb6391e4,career_public_life,Prominence & Governance,authority_leadership,Lagna in 1st House,A strong 1st house (Lagna) provides the personal drive and charisma to achieve high status.,"A strong 1st house indicates strong personal drive and charisma, which are important for leadership.","{""houses"": [1]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
790f9affd9d9f2b5,career_public_life,Prominence & Governance,authority_leadership,10th House,The 10th House (Karma Sthana) represents public status and power.,"The 10th house is the primary indicator of career, public status, and power.","{""houses"": [10]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
4af68527a6a58132,career_public_life,Prominence & Governance,authority_leadership,Lagna Lord conjunct 10th Lord,"When the Lagna Lord is conjunct the 10th lord, the individual's entire identity becomes synonymous with their public role and authority.",Lagna Lord conjunct the 10th Lord indicates that the individual's identity is strongly tied to their public role and authority.,"{""houses"": [1], ""planets"": [""10th Lord"", ""Lagna Lord""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
d49dcbbc18b759fc,career_public_life,Prominence & Governance,authority_leadership,Lagna Lord in 10th House,"When the Lagna Lord is placed in the 10th house, the individual's entire identity becomes synonymous with their public role and authority.",Lagna Lord in the 10th house indicates that the individual's identity is strongly tied to their public role and authority.,"{""houses"": [1, 10], ""planets"": [""Lagna Lord""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
1d7acb79a868b268,career_public_life,Prominence & Governance,authority_leadership,Mars in 10th House,"A strong Mars influencing the 10th house provides the executive ability and courage needed for military, defense, or management roles.","Mars influencing the 10th house indicates courage and executive ability, suitable for military, defense, or management roles.","{""houses"": [10], ""planets"": [""Mars""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
a2df09e476078306,career_public_life,Prominence & Governance,authority_leadership,Mars in 3rd House,"A strong Mars influencing the 3rd house provides the executive ability and courage needed for military, defense, or management roles.","Mars influencing the 3rd house indicates courage and executive ability, suitable for military, defense, or management roles.","{""houses"": [3], ""planets"": [""Mars""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
6f177172cc8543e6,career_public_life,Prominence & Governance,authority_leadership,Saturn in 10th House,A strong Saturn can bestow immense influence over the masses and success in democratic politics.,A strong Saturn suggests influence over the masses and success in democratic politics.,"{""houses"": [10], ""planets"": [""Saturn""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
d00d63bd0bd525f1,career_public_life,Prominence & Governance,authority_leadership,Sun in 10th House,"Sun in the 10th house is a powerful signature for a career in governance, politics, or a high-level executive position.","Sun in the 10th house suggests a career in government, politics, or high-level executive roles.","{""houses"": [10], ""planets"": [""Sun""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
66703955f921f2fd,career_public_life,Prominence & Governance,authority_leadership,Atmakaraka,"The Atmakaraka (AK), the planet at the highest degree, signifies the soul's desire for authority or recognition.",The Atmakaraka indicates the soul's desire for authority or recognition.,"{""special"": [""Atmakaraka""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
4dfba32b7cc659c2,career_public_life,Prominence & Governance,authority_leadership,Raja Yoga,"Raja Yogas, formed by the connection of Kendra lords (1, 4, 7, 10) and Trikona lords (1, 5, 9), grant true prominence, promising positions of significant power and influence.","Raja Yogas indicate significant power, influence, and leadership potential.","{""yogas"": [""Raja Yoga""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
eddff646c7a73882,career_public_life,Prominence & Governance,networking_influence,11th House,"A strong 11th house (network) and its lord, especially when connected to the 10th or 1st lords, indicates success in networking.",A strong 11th house suggests success in networking and building professional connections.,"{""houses"": [11]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
ec77bbf191fcbef8,career_public_life,Prominence & Governance,public_image_reputation,Malefic influence on 10th House,Malefic influences on the 10th house can create a controversial or hard-won reputation.,Malefic influences on the 10th house suggest a potentially controversial or difficult public image.,"{""houses"": [10]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
7d3b97a697787434,career_public_life,Prominence & Governance,public_image_reputation,"Moon’s sign, nakshatra, and phase","A bright and well-placed Moon is crucial for a positive public image, ensuring popularity and favor from the public.",A well-placed Moon indicates a positive public image and popularity.,"{""planets"": [""Moon""], ""nakshatras"": [""Moon Nakshatra""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
148127a6b8d3f79c,career_public_life,Prominence & Governance,public_image_reputation,Malefic influence on Moon,Malefic influences on the Moon can create a controversial or hard-won reputation.,Malefic influences on the Moon suggest a potentially controversial or difficult public image.,"{""planets"": [""Moon""]}",Gemini AI,AI,Page 1,0.50,RAW,,,2025-08-31T16:51:01Z,Automated processing from AI.
