chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"physique, appearance, intellect (or the organ of intelligence, i.e. brain), complexion of the body, vigour, weakness, happiness, grief and innate nature are all to be guessed through the ascending sign.","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 1}]","['core_self_vitality', 'health_risks_longevity']","['Identity & Personality', 'Mental & Emotional Health', 'Physical Health']","['self_identity_character', 'vitality_energy_levels', 'physical_appearance', 'psychological_balance', 'general_health']"
"Wealth, grains (food etc.), family, death, enemies, metals, precious stones etc. are to be understood through the 2nd house.","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 2}]","['family_lineage', 'health_risks_longevity', 'home_property_vehicles', 'relationships', 'wealth_assets_resources']","['Extended Family Dynamics', 'Income & Earnings', 'Longevity & Risks', 'Public Interaction', 'Vehicles & Movables']","['income_primary', 'movable_assets', 'family_support_conflicts', 'lifespan_overview', 'disputes_conflicts']"
"From the 3rd house, know of the following : valour, servants (attendants etc.), brothers, sisters etc. initiatory instructions (upadesa), journey, and parent's death.","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 3}]","['career_public_life', 'core_self_vitality', 'relationships', 'travel_dharma_spirituality']","['Dharma & Spiritual Path', 'Profession & Field', 'Purpose & Direction', 'Social & Family Relations', 'Travel & Journeys']","['resilience_adaptability', 'service_employment', 'siblings_relations', 'spiritual_learning', 'short_travel_local', 'parental_relations']"
"Conveyances, relatives, mother, happiness, treasure, lands and houses are to be consulted through the 4th house.","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 4}]","['family_lineage', 'health_risks_longevity', 'home_property_vehicles', 'relationships', 'wealth_assets_resources']","['Assets & Property', 'Mental & Emotional Health', 'Parents & Ancestors', 'Residence & Property', 'Social & Family Relations', 'Vehicles & Movables']","['vehicle_ownership', 'inlaws_extended_family', 'mother_status_influence', 'emotional_resilience', 'property_real_estate', 'home_comforts']"
"The learned should deduce from the 5th house amulets, sacred spells, learning, knowledge, sons, royalty (or authority), fall of position etc.","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 5}]","['career_public_life', 'family_lineage', 'learning_education_creativity', 'travel_dharma_spirituality']","['Career Dynamics', 'Children & Descendants', 'Dharma & Spiritual Path', 'Formal Education', 'Prominence & Governance']","['spiritual_learning', 'higher_education', 'childbearing_potential', 'authority_leadership', 'career_mobility_changes']"
"Maternal uncle, doubts about death, enemies, ulcers, step mother etc. are to be estimated from the 6th house.","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 6}]","['health_risks_longevity', 'relationships']","['Longevity & Risks', 'Physical Health', 'Public Interaction', 'Social & Family Relations']","['inlaws_extended_family', 'lifespan_overview', 'disputes_conflicts', 'chronic_diseases', 'parental_relations']"
"Wife, travel, trade, loss of sight, death etc. be known from the 7th house.","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 7}]","['career_public_life', 'health_risks_longevity', 'relationships', 'travel_dharma_spirituality']","['Longevity & Risks', 'Physical Health', 'Profession & Field', 'Romantic & Marriage', 'Travel & Journeys']","['marriage_spouse', 'long_travel_foreign', 'finance_trade_commerce', 'general_health', 'lifespan_overview']"
"The 8th house indicates longevity, battle, enemies, forts, wealth of the dead and things that have happened and are to happen (in the past and future births).","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 8}]","['health_risks_longevity', 'karma_past_life', 'relationships', 'wealth_assets_resources']","['Income & Earnings', 'Longevity & Risks', 'Past Life Patterns', 'Public Interaction']","['lifespan_overview', 'disputes_conflicts', 'inheritance_unearned_income', 'karmic_debts_lessons', 'past_life_patterns']"
"Fortunes, wife's brother, religion, brother's wife, visits to shrines etc. be known from the 9th house.","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 9}]","['karma_past_life', 'relationships', 'travel_dharma_spirituality']","['Dharma & Spiritual Path', 'Past Life Patterns', 'Social & Family Relations', 'Travel & Journeys']","['karmic_blessings', 'inlaws_extended_family', 'religious_alignment', 'pilgrimage_spiritual_travel']"
"Royalty (authority), place, profession (livelihood), honour, father, living in foreign lands and debts are to be understood from the 10th house.","BPHS1, Chapter 9 - JUDGEMENT OF HOUSES (Part 1)",house_profile,,"[{""house"": 10}]","['career_public_life', 'family_lineage', 'home_property_vehicles']","['Career Dynamics', 'Parents & Ancestors', 'Profession & Field', 'Prominence & Governance', 'Residence & Property']","['authority_leadership', 'public_image_reputation', 'service_employment', 'father_status_influence', 'foreign_career_relocation', 'debts_liabilities']"
