chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"If the Moon with reference to the Sun is in an angle, Panaphara or Apoklima, one's wealth, intelligence and skill will be respectivelly little, meddling and excellent.","BPHS1, Chapter 37 - LANARYOGAS",prose,,,"['learning_education_creativity', 'wealth_assets_resources']","['Financial Dynamics', 'Knowledge & Wisdom', 'Skills & Creativity']","['wealth_stability', 'intellectual_skills', 'practical_skills']"
"In the case of a day birth if the Moon, placed in own Navamsa or in a friendly Navamsa, is aspected by Jupiter, one will be endowed with wealth and happiness.","BPHS1, Chapter 37 - LANARYOGAS",yoga,Wealth and Happiness Yoga (Day Birth),,"['wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Strength & Success Yogas']","['dhana_yogas', 'wealth_stability', 'other_strength_success_yogas']"
One born in night time will enjoy. similar effects if the Moon is in own Navamsa or in friendly Navamsa in aspect to Venus.,"BPHS1, Chapter 37 - LANARYOGAS",yoga,Wealth and Happiness Yoga (Night Birth),,"['wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Strength & Success Yogas']","['dhana_yogas', 'wealth_stability', 'other_strength_success_yogas']"
"In a contrary situation, the aspect of Jupiter or of Venus on the Moon will make one go with little wealth or even without that.","BPHS1, Chapter 37 - LANARYOGAS",yoga,Poverty Yoga (Moon Aspect),,"['home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Residence & Property']","['debts_liabilities', 'financial_risks']"
"ADHI YOGA FROM THE MOON : lf benefics occupy the 8th, 6th and 7th counted from the Moon, Adhi yoga obtains. According to the strength of the participating planets, the native concerned will be either a king or a minister or an army chief.","BPHS1, Chapter 37 - LANARYOGAS",yoga,Adhi Yoga,,"['career_public_life', 'yogas']","['Prominence & Governance', 'Strength & Success Yogas']","['raja_yogas', 'authority_leadership', 'public_image_reputation', 'politics_public_service', 'military_defense_security']"
"DHANA YOGA : Should all the (three) benefics be in Upachaya (i.e. 3rd, 6th, 10th and 11th) counted from the Moon, one will be very affluent; with two benefics so placed he will have medium effects in regard to wealth. If a single benefic is there, the wealth will be negligible.","BPHS1, Chapter 37 - LANARYOGAS",yoga,Dhana Yoga (from Moon),,"['wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Income & Earnings', 'Strength & Success Yogas']","['dhana_yogas', 'income_primary', 'wealth_stability']"
"If there is a planet, other than the Sun, in the 2nd from the Moon Sunapha yoga... is caused. One with Sunapha yoga will be a king or equal to a king. endowed with intelligence, wealth, fame and self earned wealth.","BPHS1, Chapter 37 - LANARYOGAS",yoga,Sunapha Yoga,,"['career_public_life', 'learning_education_creativity', 'wealth_assets_resources', 'yogas']","['Income & Earnings', 'Prominence & Governance', 'Skills & Creativity', 'Strength & Success Yogas']","['raja_yogas', 'authority_leadership', 'public_image_reputation', 'dhana_yogas', 'income_primary', 'intellectual_skills']"
"If there is a planet, other than the Sun... in the 12th Anapha yoga... is caused. One born in Anapha yoga will be a king, be free from diseases, virtuous, famous charming and happy.","BPHS1, Chapter 37 - LANARYOGAS",yoga,Anapha Yoga,,"['career_public_life', 'core_self_vitality', 'health_risks_longevity', 'yogas']","['Identity & Personality', 'Physical Health', 'Prominence & Governance', 'Strength & Success Yogas']","['raja_yogas', 'authority_leadership', 'general_health', 'public_image_reputation', 'confidence_charisma']"
"If there is a planet, other than the Sun... in the 2nd from the Moon... and planets in both places Duradhara yoga are caused. One born in Duradhara yoga will enjoy pleasures, be charitable and endowed with wealth, conveyances and excellent serving force.","BPHS1, Chapter 37 - LANARYOGAS",yoga,Duradhara Yoga,,"['career_public_life', 'home_property_vehicles', 'travel_dharma_spirituality', 'yogas']","['Dharma & Spiritual Path', 'Profession & Field', 'Strength & Success Yogas', 'Vehicles & Movables']","['dhana_yogas', 'luxury_possessions', 'vehicle_ownership', 'charitable_service', 'service_employment']"
"KEMADRAMA YOGA : Excluding the Sun, should there be no planet with the Moon or in the 2nd/12th from the Moon or in an angle from the ascendant, Kemadruma yoga is formed. One born in Kemadruma yoga will be very much reproached, be bereft of intelligence and learning and reduced to penury and perils.","BPHS1, Chapter 37 - LANARYOGAS",dosha,Kemadruma Yoga,,"['career_public_life', 'doshas', 'health_risks_longevity', 'home_property_vehicles', 'learning_education_creativity', 'relationships']","['Affliction Doshas', 'Formal Education', 'Longevity & Risks', 'Prominence & Governance', 'Public Interaction', 'Residence & Property', 'Skills & Creativity']","['other_affliction_doshas', 'public_image_reputation', 'disputes_conflicts', 'intellectual_skills', 'primary_education', 'debts_liabilities', 'risk_periods']"
"YESI, YOSI AND UBHAYACHARI YOGAS : Barring the Moon, if a planet among Mars etc. be in the 2nd from the Sun Vesi yoga, in the 12th Vosi yoga and planets in both the 2nd and the 12th Ubhayachari yoga are caused.","BPHS1, Chapter 37 - LANARYOGAS",yoga,"Vesi, Vosi, and Ubhayachari Yogas",,"['Foundational Concepts', 'yogas']","['Astrological Principles', 'Strength & Success Yogas']","['other_strength_success_yogas', 'definition']"
"EFFECTS OF THESE YOGAS : One born in Vesi yoga will be even sighted, truthful, long-bodied, indolent, happy","BPHS1, Chapter 37 - LANARYOGAS",yoga,Vesi Yoga,,"['core_self_vitality', 'health_risks_longevity']","['Identity & Personality', 'Physical Health']","['physical_appearance', 'self_identity_character', 'vitality_energy_levels']"
