chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"If the 10th lord from the ascendant is conjunct or aspected by the dispositor of Amatyakaraka or even conjunct or aspected by Amatya karaka himself, the native will be a chief in the king's court. Notes : Amatya karaka is the immediate successor of Atma karaka as we have seen earlier. The lord of the sign occupied by Amatya Karaka should aspect or join the 10th lord counted from the ascendant; the native will then enjoy a high governmental position. The Amatya karaka taking the role of his dispositor in the above case will as well yield similar effects.","BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",yoga,Royal Association Yoga,"[{""type"": ""lordship"", ""lord_of_house"": 10, ""relationship"": ""conjunction with Amatyakaraka""}, {""type"": ""lordship"", ""lord_of_house"": 10, ""relationship"": ""aspected by Amatyakaraka""}, {""type"": ""lordship"", ""lord_of_house"": 10, ""relationship"": ""conjunction with dispositor of Amatyakaraka""}, {""type"": ""lordship"", ""lord_of_house"": 10, ""relationship"": ""aspected by dispositor of Amatyakaraka""}]",['career_public_life'],['Prominence & Governance'],"['authority_leadership', 'public_image_reputation', 'politics_public_service']"
"If the 10th and 11th are devoid of malefic occupation/aspect while the 11th is aspected by its own lord, the native will be a chief in the king's court. Notes : This verse is open to another interpretation thus : the 11th be devoid of malefic aspect/occupation and be aspected by own lord while the 10th house should also be aspected by its lord and the 10th is also disposed in the same manner. That is, the 10th house should also be aspected by its lord and should be free from malefic aspect/occupation.","BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",yoga,Royal Association Yoga,"[{""type"": ""house_profile"", ""house"": 10, ""state"": ""devoid of malefic occupation/aspect""}, {""type"": ""house_profile"", ""house"": 11, ""state"": ""devoid of malefic occupation/aspect""}, {""type"": ""aspect"", ""source_planet"": ""Lord of House 11"", ""target_house"": 11}]",['career_public_life'],['Prominence & Governance'],"['authority_leadership', 'public_image_reputation', 'politics_public_service']"
Should Amatya karaka and the dispositor of Atma karaka be together the native will be endowed with great intelligence and be a king's minister.,"BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",yoga,Minister Yoga,"[{""type"": ""conjunction"", ""planet_names"": [""Amatyakaraka"", ""Dispositor of Atmakaraka""]}]","['career_public_life', 'learning_education_creativity']","['Prominence & Governance', 'Skills & Creativity']","['authority_leadership', 'politics_public_service', 'intellectual_skills']"
"If Amatya karaka is strong and be with a benefic or if Amatya karaka is in own house or in exaltation, one will surely become a king's minister.","BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",yoga,Minister Yoga,"[{""type"": ""planet_profile"", ""planet_name"": ""Amatyakaraka"", ""state"": ""strong""}, {""type"": ""conjunction"", ""planet_names"": [""Amatyakaraka"", ""Benefic Planet""]}, {""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""state"": ""own house""}, {""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""state"": ""exaltation""}]",['career_public_life'],['Prominence & Governance'],"['authority_leadership', 'politics_public_service']"
There is no doubt in one's becoming a king's minister and famous if Amatya karaka is in the ascendant or the 5th or the 9th.,"BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",placement,,"[{""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""house"": 1}, {""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""house"": 5}, {""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""house"": 9}]",['career_public_life'],['Prominence & Governance'],"['authority_leadership', 'politics_public_service', 'public_image_reputation']"
"If Amatya karaka or Amatya karaka be in an angle or in a trine from the ascendant the native will beget royal mercy, royal patronage and happiness thereof.","BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",placement,,"[{""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""house"": 1}, {""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""house"": 4}, {""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""house"": 5}, {""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""house"": 7}, {""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""house"": 9}, {""type"": ""placement"", ""planet_name"": ""Amatyakaraka"", ""house"": 10}]",['career_public_life'],['Prominence & Governance'],"['authority_leadership', 'politics_public_service', 'networking_influence']"
"Should malefics be in the 3rd and 6th from Atma karaka or Arudha lagna or the natal ascendant, one will become an army chief.","BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",yoga,Army Chief Yoga,"[{""type"": ""placement"", ""planet_name"": ""Malefic"", ""house"": 3, ""reference_point"": ""Atmakaraka""}, {""type"": ""placement"", ""planet_name"": ""Malefic"", ""house"": 6, ""reference_point"": ""Atmakaraka""}, {""type"": ""placement"", ""planet_name"": ""Malefic"", ""house"": 3, ""reference_point"": ""Arudha Lagna""}, {""type"": ""placement"", ""planet_name"": ""Malefic"", ""house"": 6, ""reference_point"": ""Arudha Lagna""}, {""type"": ""placement"", ""planet_name"": ""Malefic"", ""house"": 3}, {""type"": ""placement"", ""planet_name"": ""Malefic"", ""house"": 6}]",['career_public_life'],['Prominence & Governance'],"['military_defense_security', 'authority_leadership']"
"If Atma karaka is in an angle or in a trine or in exaltation or in own house and be in aspect to the 9th lord, the native will be a king's minister.","BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",yoga,Minister Yoga,"[{""type"": ""placement"", ""planet_name"": ""Atmakaraka"", ""house"": [1, 4, 5, 7, 9, 10], ""relationship"": ""aspected by Lord of House 9""}, {""type"": ""placement"", ""planet_name"": ""Atmakaraka"", ""state"": ""exaltation"", ""relationship"": ""aspected by Lord of House 9""}, {""type"": ""placement"", ""planet_name"": ""Atmakaraka"", ""state"": ""own house"", ""relationship"": ""aspected by Lord of House 9""}]",['career_public_life'],['Prominence & Governance'],"['authority_leadership', 'politics_public_service']"
"Should the Moon sign lord become Atma karaka and be in the natal ascendant along with a benefic, the native will become a king's minister at his advanced age.","BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",yoga,Late-life Minister Yoga,"[{""type"": ""karaka"", ""planet_name"": ""Lord of Moon Sign"", ""karaka_type"": ""Atmakaraka""}, {""type"": ""placement"", ""planet_name"": ""Atmakaraka"", ""house"": 1}, {""type"": ""conjunction"", ""planet_names"": [""Atmakaraka"", ""Benefic Planet""], ""house"": 1}]",['career_public_life'],"['Career Dynamics', 'Prominence & Governance']","['authority_leadership', 'politics_public_service', 'career_peak_timing']"
"Should the Atmakaraka be in the 5th, 7th, 10th or the 9th and be with a benefic, one will earn wealth through royal patronage.","BPHS1, Chapter 40 - YOGAS FOR ROYAL ASSOCIATION",yoga,Royal Patronage Wealth Yoga,"[{""type"": ""conjunction"", ""planet_names"": [""Atmakaraka"", ""Benefic Planet""], ""house"": 5}, {""type"": ""conjunction"", ""planet_names"": [""Atmakaraka"", ""Benefic Planet""], ""house"": 7}, {""type"": ""conjunction"", ""planet_names"": [""Atmakaraka"", ""Benefic Planet""], ""house"": 10}, {""type"": ""conjunction"", ""planet_names"": [""Atmakaraka"", ""Benefic Planet""], ""house"": 9}]",['career_public_life'],"['Career Dynamics', 'Prominence & Governance']","['income_from_profession', 'networking_influence', 'politics_public_service']"
