chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
The native will be penniless if the ascendant lord is in the 12th as the 12th lord is in the ascendant along with a Maraka lord (death inflicting planet) or be in aspect to such a planet.,"BPHS1, Chapter 42",yoga,Daridra Yoga,"[{""lordship"": [{""lord_of_house"": 1, ""placed_in_house"": 12}, {""lord_of_house"": 12, ""placed_in_house"": 1}], ""conjunction"": {""planet_names"": [""12th_lord"", ""maraka_lord""], ""house"": 1}}, {""lordship"": [{""lord_of_house"": 1, ""placed_in_house"": 12}, {""lord_of_house"": 12, ""placed_in_house"": 1}], ""aspect"": {""source_planet"": ""maraka_lord"", ""target_house"": 1}}]","['home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses']"
The native will be penniless if the ascendant lord is in the 6th while the 6th lord is in the ascendant with conjunction or aspect of a Maraka lord.,"BPHS1, Chapter 42",yoga,Daridra Yoga,"[{""lordship"": [{""lord_of_house"": 1, ""placed_in_house"": 6}, {""lord_of_house"": 6, ""placed_in_house"": 1}], ""conjunction"": {""planet_names"": [""6th_lord"", ""maraka_lord""], ""house"": 1}}, {""lordship"": [{""lord_of_house"": 1, ""placed_in_house"": 6}, {""lord_of_house"": 6, ""placed_in_house"": 1}], ""aspect"": {""source_planet"": ""maraka_lord"", ""target_house"": 1}}]","['home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses']"
"Should the ascendant or the Moon be with Ketu while the ascendant lord is in the 8th, the person concerned will be penniless.","BPHS1, Chapter 42",yoga,Daridra Yoga,"[{""conjunction"": {""planet_names"": [""Ketu""], ""house"": 1}, ""lordship"": {""lord_of_house"": 1, ""placed_in_house"": 8}}, {""conjunction"": {""planet_names"": [""Moon"", ""Ketu""]}, ""lordship"": {""lord_of_house"": 1, ""placed_in_house"": 8}}]","['core_self_vitality', 'home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Identity & Personality', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses', 'self_identity_character']"
"If the ascendant lord along with a malefic is in the 6th, 8th or 12th while the 2nd lord is in an enemy's sign or in debilitation, even a native of royal scion will become penniless.","BPHS1, Chapter 42",yoga,Daridra Yoga,"[{""lordship"": {""lord_of_house"": 1, ""placed_in_house"": [6, 8, 12]}, ""conjunction"": {""planet_names"": [""1st_lord"", ""malefic""]}, ""planet_profile"": {""planet_name"": ""2nd_lord"", ""state"": [""in_enemy_sign"", ""debilitated""]}}]","['home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Income & Earnings', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses', 'inheritance_unearned_income']"
"If the ascendant lord is conjunct an evil house lord (one of the 6th, 8th and 12th lords) or Saturn and be devoid of benefic aspect the native will be penniless.","BPHS1, Chapter 42",yoga,Daridra Yoga,"[{""conjunction"": {""planet_names"": [""1st_lord"", ""6th_lord""]}, ""aspect"": {""planet_nature"": ""benefic"", ""strength"": ""devoid""}}, {""conjunction"": {""planet_names"": [""1st_lord"", ""8th_lord""]}, ""aspect"": {""planet_nature"": ""benefic"", ""strength"": ""devoid""}}, {""conjunction"": {""planet_names"": [""1st_lord"", ""12th_lord""]}, ""aspect"": {""planet_nature"": ""benefic"", ""strength"": ""devoid""}}, {""conjunction"": {""planet_names"": [""1st_lord"", ""Saturn""]}, ""aspect"": {""planet_nature"": ""benefic"", ""strength"": ""devoid""}}]","['home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses']"
Should the 5th and 9th lords be respectively found in the 6th and 12th and be in aspect to Maraka planets the native will be penniless.,"BPHS1, Chapter 42",yoga,Daridra Yoga,"[{""lordship"": [{""lord_of_house"": 5, ""placed_in_house"": 6}, {""lord_of_house"": 9, ""placed_in_house"": 12}], ""aspect"": [{""source_planet"": ""maraka_lord"", ""target_house"": 6}, {""source_planet"": ""maraka_lord"", ""target_house"": 12}]}]","['home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Income & Earnings', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses', 'speculative_gains_losses', 'inheritance_unearned_income']"
"If malefics, excepting the lords of the 10th and 9th, be in the ascendant in association with or aspect to Maraka planets, one will become penniless.","BPHS1, Chapter 42",placement,,"[{""placement"": {""planet_name"": ""malefic"", ""house"": 1}, ""conjunction"": {""planet_names"": [""malefic"", ""maraka_lord""], ""house"": 1}}, {""placement"": {""planet_name"": ""malefic"", ""house"": 1}, ""aspect"": {""source_planet"": ""maraka_lord"", ""target_house"": 1}}]","['health_risks_longevity', 'home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Physical Health', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses', 'vitality_energy_levels']"
"Note the planets ruling the signs occupied by the lords of 6th, 8th and 12th. If the said dispositors are in such evil houses in turn and be associated with or aspected by malefics, the native will be miserable and indigent.","BPHS1, Chapter 42",yoga,Daridra Yoga,"[{""lordship"": {""planet_name"": ""dispositor_of_dusthana_lord"", ""placed_in_house"": [6, 8, 12]}, ""conjunction"": {""planet_names"": [""dispositor_of_dusthana_lord"", ""malefic""]}}, {""lordship"": {""planet_name"": ""dispositor_of_dusthana_lord"", ""placed_in_house"": [6, 8, 12]}, ""aspect"": {""source_planet"": ""malefic""}}]","['home_property_vehicles', 'karma_past_life', 'wealth_assets_resources']","['Financial Dynamics', 'Past Life Patterns', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses', 'karmic_debts_lessons']"
The lord of the Navamsa occupied by the Moon joining a Maraka planet or occupying a Maraka house will make one penniless.,"BPHS1, Chapter 42",varga,,"[{""conjunction"": {""planet_names"": [""navamsa_dispositor_of_Moon"", ""maraka_lord""]}}, {""placement"": {""planet_name"": ""navamsa_dispositor_of_Moon"", ""house"": [2, 7]}}]","['home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses']"
"Should the lord of natal ascendant and that of Navamsa ascendant be conjunct or be aspected by Maraka planets, one will be penniless.","BPHS1, Chapter 42",yoga,Daridra Yoga,"[{""conjunction"": {""planet_names"": [""lord_of_natal_ascendant"", ""lord_of_navamsa_ascendant""]}}, {""aspect"": {""source_planet"": ""maraka_lord"", ""target_planet"": [""lord_of_natal_ascendant"", ""lord_of_navamsa_ascendant""]}}]","['core_self_vitality', 'home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Identity & Personality', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'sudden_gains_losses', 'self_identity_character']"
