chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"O Glorious, it is said that aspects (of planets) and strengths are to be known in deciding the effects. How many kinds are these? Please clarify my doubts.","BPHS1, Chapter 26 - Evaluation of Planetary Aspects",prose,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"O Brahmin, I have earlier stated aspects based on signs. The other kind is between planets which I detail below.","BPHS1, Chapter 26 - Evaluation of Planetary Aspects",prose,,,['Foundational Concepts'],['Astrological Principles'],"['classification', 'general_principle']"
"3rd and 10th, 5th and 9th, 4th and 8th and lastly 7th-on these places the aspects increase gradually in slabs of quarters i.e 1/4, 1/2, 3/4th and full. The effects (due to such aspects) will also be proportionate. All planets aspect the 7th fully. Saturn, Jupiter and Mars have special aspects respectively on 3rd and 10th, 5th and 9th, and 4th and 8th.","BPHS1, Chapter 26 - Evaluation of Planetary Aspects",aspect,,"[{""relative_aspect_number"": 3, ""strength"": ""1/4""}, {""relative_aspect_number"": 10, ""strength"": ""1/4""}, {""relative_aspect_number"": 5, ""strength"": ""1/2""}, {""relative_aspect_number"": 9, ""strength"": ""1/2""}, {""relative_aspect_number"": 4, ""strength"": ""3/4""}, {""relative_aspect_number"": 8, ""strength"": ""3/4""}, {""relative_aspect_number"": 7, ""strength"": ""full""}, {""source_planet"": ""Saturn"", ""relative_aspect_number"": 3, ""strength"": ""special""}, {""source_planet"": ""Saturn"", ""relative_aspect_number"": 10, ""strength"": ""special""}, {""source_planet"": ""Jupiter"", ""relative_aspect_number"": 5, ""strength"": ""special""}, {""source_planet"": ""Jupiter"", ""relative_aspect_number"": 9, ""strength"": ""special""}, {""source_planet"": ""Mars"", ""relative_aspect_number"": 4, ""strength"": ""special""}, {""source_planet"": ""Mars"", ""relative_aspect_number"": 8, ""strength"": ""special""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
The planet that aspects is Drishti Graha or the aspector. The planet that is aspected is known as Drisya Graha or the aspected.,"BPHS1, Chapter 26 - Evaluation of Planetary Aspects",prose,,,['Foundational Concepts'],['Astrological Principles'],"['definition', 'general_principle']"
"When aspectual angle is between 30 and 60 degrees, reduce 30 degrees from the resultant aspectual angle and divide by 2 to get aspectual value.","BPHS1, Chapter 26 - Evaluation of Planetary Aspects",unstructured,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"If the aspectual angle is above 60 but below 90 degrees, reduce 60 from the aspectual angle and add 15 to get aspectual value.","BPHS1, Chapter 26 - Evaluation of Planetary Aspects",unstructured,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"In case the aspectual angle is above 90 but less than 120 degrees the aspectual angle be reduced from 120, then halved and then increased by 30, to get aspectual value.","BPHS1, Chapter 26 - Evaluation of Planetary Aspects",unstructured,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"If the aspectual angle is between 120 and 150 degrees, reduce the angle of aspect from 150 to get aspectual value.","BPHS1, Chapter 26 - Evaluation of Planetary Aspects",unstructured,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
If the aspectual angle is between 150 and 180 degrees reduce 150 from aspectual angle and double the resultant sum to get aspectual value.,"BPHS1, Chapter 26 - Evaluation of Planetary Aspects",unstructured,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"When the aspectual angle is above 180 but below 300 degrees deduct the aspectual angle from 300 and halve the resultant sum, to get aspectual value.","BPHS1, Chapter 26 - Evaluation of Planetary Aspects",unstructured,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
Needless to mention there is no aspectual value if the angle is between 300 and 30 degrees.,"BPHS1, Chapter 26 - Evaluation of Planetary Aspects",unstructured,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"Mars : When the aspect angle is 90-120 degrees or 210-240 degrees, add 15 Virupas to the value obtained from the speculum.","BPHS1, Chapter 26 - Evaluation of Planetary Aspects",aspect,,"[{""source_planet"": ""Mars"", ""condition"": ""aspect angle between 90 and 120 degrees"", ""strength_modification"": ""add 15 Virupas""}, {""source_planet"": ""Mars"", ""condition"": ""aspect angle between 210 and 240 degrees"", ""strength_modification"": ""add 15 Virupas""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
Jupiter : When the aspect angle is 120-150 degrees or 240-270 degrees increase the speculum value by 30 Virupas.,"BPHS1, Chapter 26 - Evaluation of Planetary Aspects",aspect,,"[{""source_planet"": ""Jupiter"", ""condition"": ""aspect angle between 120 and 150 degrees"", ""strength_modification"": ""add 30 Virupas""}, {""source_planet"": ""Jupiter"", ""condition"": ""aspect angle between 240 and 270 degrees"", ""strength_modification"": ""add 30 Virupas""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
Saturn : When the aspect angle is 60-90 degrees or 270-300 degrees add 45 Virupas to the value obtained from the speculum.,"BPHS1, Chapter 26 - Evaluation of Planetary Aspects",aspect,,"[{""source_planet"": ""Saturn"", ""condition"": ""aspect angle between 60 and 90 degrees"", ""strength_modification"": ""add 45 Virupas""}, {""source_planet"": ""Saturn"", ""condition"": ""aspect angle between 270 and 300 degrees"", ""strength_modification"": ""add 45 Virupas""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
