chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"I explain below again some special ascendants, viz. Bhava lagna, Hora lagna and Ghatika Lagna.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",prose,,,['Foundational Concepts'],['Astrological Principles'],['definition']
"BHAVA LAGNA: From Sunrise to the time of birth every 5 ghatis (or 120 minutes) constitute one Bhava lagna. Divide the time of birth (in ghatis, vighatis etc.) from Sun-rise by 5 and add the quotient etc. to the Sun's longitude as at Sun rise. This is called Bhava Lagna.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['definition', 'general_principle']"
"HORA LAGNA: Again from Sun-rise till the time of birth, Hora Lagna repeats itself every 2.5 ghatis (i.e. 60 minutes). Divide the time past upto birth from the Sunrise by 2.5 and add the quotient etc. in signs, degrees and so on to the longitude of the Sun as at the Sunrise. This will yield Hora Lagna in Rasi, degrees etc.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['definition', 'general_principle']"
"GHATI LAGNA (GHATIKA LAGNA): This Lagna changes along with every Ghatika (24 minutes) from the Sunrise. Note the birth time in Ghati and vighatis. Consider the number of ghatis past as number of Rasis or Ghatika Lagnas. The Vighatis be divided by 2 to arrive at degrees and minutes of arc past in the said Ghatika Lagna. The product so arrived in Rasis, degrees and minutes be added to the Sun's longitude as at Sunrise to get the exact location of Ghatika Lagna.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['definition', 'general_principle']"
"USE OF SPECIAL ASCENDANTS: Keeping the planets at birth as it is, prepare various Bhava charts with respect to each special ascendant and analyse as done for the natal ascendant.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",prose,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"If a planet remains in the same bhava in all the four bhava charts, it will specially reveal the bhava effects due to it. Otherwise, its effects are proportionately altered in respect of that bhava.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",prose,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"The planet on the cusp of a house will give full effects due to the bhava concerned. The one in Bhava Sandhi (end of house) gives no results due to that bhava. If a planet is ahead of the Bhava sphuta (longitude) but within 15°, its effects due to the Bhava concerned start diminishing. Conversely if it is prior to the cusp but not beyond 15°, the effects proportionately increase.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",prose,,,['Foundational Concepts'],['Astrological Principles'],['general_principle']
"VARNADA DASA: I now detail Varnada Dasa just by knowing which, one can deal with the longevity of a native.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",dasha,,"[{""system"": ""Varnada Dasa""}]","['Foundational Concepts', 'health_risks_longevity', 'timing_windows']","['Astrological Principles', 'Dashas & Sub-Dashas', 'Longevity & Risks']","['definition', 'lifespan_overview', 'other_dashas']"
"If the natal ascendant is an odd sign count directly from Aries to natal ascendant. If the natal ascendant is an even sign, count from Pisces to the natal ascendant, in the reverse order. Similarly, if the Hora Lagna is an odd one, count from Aries to Hora Lagna in direct order. If the Hora Lagna is an even one, count from Pisces to Hora Lagna in the reverse order. If both the products are odd signs or even signs, then add both the figures. If one is odd and the other is even, then know the difference between the two products. If the latest product, in this process, is an odd one, count so many signs from Aries in a direct manner; if an even one, count so many signs from Pisces in reverse order. The sign so known will be the Varnada for the ascendant.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",unstructured,,,['Foundational Concepts'],['Astrological Principles'],"['definition', 'general_principle']"
"Out of the two, viz. natal ascendant and Hora Lagna, whichever is stronger, from there Varnada starts. If the natal ascendant is an odd sign, the counting of Dasas is clockwise. Otherwise anti-clockwise. The Lagna dasa years will equal the number of signs intervening between the natal ascendant and Varnada, Similarly for other houses.","BPHS1, Chapter 3 - SPECIAL ASCENDANTS (Part 1)",dasha,,"[{""system"": ""Varnada Dasa"", ""condition"": ""Dasha starts from the stronger of Natal Ascendant or Hora Lagna.""}, {""system"": ""Varnada Dasa"", ""condition"": ""Counting is clockwise if Natal Ascendant is in an odd sign.""}, {""system"": ""Varnada Dasa"", ""condition"": ""Counting is anti-clockwise if Natal Ascendant is in an even sign.""}, {""system"": ""Varnada Dasa"", ""condition"": ""Lagna dasha duration (years) = number of signs between Natal Ascendant and Varnada sign.""}]","['health_risks_longevity', 'timing_windows']","['Dashas & Sub-Dashas', 'Longevity & Risks']","['other_dashas', 'lifespan_overview']"
