chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"Benefics owning angles will not give benefic effects. This blemish goes to natural benefics by virtue of angular lordship. In revealing maleficence due to angular rulership, the Moon, Mercury, Jupiter and Venus are significant in the ascending order.","BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",dosha,Kendradhipatya Dosha,"[{""planet_nature"": ""benefic"", ""lord_of_house_group"": ""Kendra""}]","['Foundational Concepts', 'doshas']","['Affliction Doshas', 'Astrological Principles']","['other_affliction_doshas', 'general_principle']"
"Malefics owning angles will not remain inauspicious. If a malefic owns an angle he will not be inauspicious. This does not mean that he will become auspicious. If he does not own a trine, he will be neutral by mere angular lordship; neither he will be disadvantageous.","BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",lordship,,"[{""planet_nature"": ""malefic"", ""lord_of_house_group"": ""Kendra"", ""condition"": ""does not simultaneously own a trine"", ""effect"": ""neutral""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
The lord of a trine will give auspicious results.,"BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",lordship,,"[{""lord_of_house_group"": ""Trikona"", ""effect"": ""auspicious""}]","['Foundational Concepts', 'yogas']","['Astrological Principles', 'Strength & Success Yogas']","['general_principle', 'dhana_yogas']"
The lord of the ascendant is specially auspicious as the ascendant is an angle as well as trine.,"BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",lordship,,"[{""lord_of_house"": 1, ""effect"": ""specially auspicious""}]","['Foundational Concepts', 'core_self_vitality', 'health_risks_longevity']","['Astrological Principles', 'Identity & Personality', 'Physical Health']","['general_principle', 'self_identity_character', 'vitality_energy_levels']"
"The 5th, and 9th houses are specially for wealth while the 7th and 10th are specially for happiness.","BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",house_profile,,"[{""lord_of_house"": 5, ""signification"": ""wealth""}, {""lord_of_house"": 9, ""signification"": ""wealth""}, {""lord_of_house"": 7, ""signification"": ""happiness""}, {""lord_of_house"": 10, ""signification"": ""happiness""}]","['career_public_life', 'relationships', 'wealth_assets_resources', 'yogas']","['Income & Earnings', 'Prominence & Governance', 'Romantic & Marriage', 'Strength & Success Yogas']","['income_primary', 'dhana_yogas', 'public_image_reputation', 'marriage_spouse']"
"Any planet owning the 3rd, 6th, or the 11th will give evil effects.","BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",lordship,,"[{""lord_of_house"": 3, ""effect"": ""evil""}, {""lord_of_house"": 6, ""effect"": ""evil""}, {""lord_of_house"": 11, ""effect"": ""evil""}]","['Foundational Concepts', 'doshas']","['Astrological Principles', 'Malefic Influences']","['general_principle', 'other_malefic_influences']"
"The effects due to the lords of the 12th, and 8th will depend on their association. The lords of 2nd, 12th and 8th will act according to association.","BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",lordship,,"[{""lord_of_house"": 2, ""effect"": ""dependent on association""}, {""lord_of_house"": 8, ""effect"": ""dependent on association""}, {""lord_of_house"": 12, ""effect"": ""dependent on association""}]","['Foundational Concepts', 'doshas']","['Astrological Principles', 'Malefic Influences']","['general_principle', 'other_malefic_influences']"
"The 8th lord is not auspicious as he owns the 12th from the 9th. If the lord of the 8th simultaneously owns the 3rd, 7th or 11th, he will prove specifically harmful while his simultaneous ownership of a trine will bestow auspicious effects.","BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",lordship,,"[{""lord_of_house"": 8, ""effect"": ""not auspicious""}, {""lord_of_house"": 8, ""also_lord_of_house"": 3, ""effect"": ""specifically harmful""}, {""lord_of_house"": 8, ""also_lord_of_house"": 7, ""effect"": ""specifically harmful""}, {""lord_of_house"": 8, ""also_lord_of_house"": 11, ""effect"": ""specifically harmful""}, {""lord_of_house"": 8, ""also_lord_of_house_group"": ""Trikona"", ""effect"": ""auspicious""}]","['Foundational Concepts', 'doshas', 'health_risks_longevity']","['Astrological Principles', 'Longevity & Risks', 'Malefic Influences']","['general_principle', 'other_malefic_influences', 'lifespan_overview']"
The 8th lordship of the Sun and the Moon is not evil.,"BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",lordship,,"[{""planet_name"": ""Sun"", ""lord_of_house"": 8, ""effect"": ""not evil""}, {""planet_name"": ""Moon"", ""lord_of_house"": 8, ""effect"": ""not evil""}]","['Foundational Concepts', 'doshas']","['Astrological Principles', 'Malefic Influences']","['general_principle', 'other_malefic_influences']"
"In each group, the significance will be in the ascending order. For good houses (1st, 4th, 7th, 10th and 5th, 9th), the benefic disposition will ascend from house to house. For evil houses (3rd, 6th, 11th and 12th, 2nd, 8th), the maleficence will move in the ascending order. The 11th lord is the most evil in his group while the 8th lord is so in his group.","BPHS1, Chapter 34 - YOGA KARAKAS (Part 1)",house_group_definition,,"[{""group_name"": ""Kendra"", ""houses"": [1, 4, 7, 10], ""strength_order"": ""ascending"", ""description"": ""Benefic power increases from 1st to 10th.""}, {""group_name"": ""Trikona"", ""houses"": [5, 9], ""strength_order"": ""ascending"", ""description"": ""9th lord is more benefic than 5th lord.""}, {""group_name"": ""Upachaya (malefic subset)"", ""houses"": [3, 6, 11], ""strength_order"": ""ascending"", ""description"": ""Maleficence increases from 3rd to 11th.""}, {""group_name"": ""Dusthana (subset)"", ""houses"": [2, 8, 12], ""strength_order"": ""ascending"", ""description"": ""Maleficence increases, with 8th being most malefic in this group.""}]",['Foundational Concepts'],['Astrological Principles'],"['general_principle', 'classification']"
