chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"LAGNADHI YOGA .. Should benefics be in the 7th and the 8th counted from the ascendant and be devoid of conjunction/aspect of malefics, Lagnadhi yoga is produced making one a great person, learned in Sastras and happy.","BPHS1, Chapter 36 - MANY OTHER YOGAS (Part 4)",yoga,Lagnadhi Yoga,"[{""type"": ""placement"", ""planet_name"": ""Benefic"", ""house"": 7}, {""type"": ""placement"", ""planet_name"": ""Benefic"", ""house"": 8}]","['career_public_life', 'core_self_vitality', 'learning_education_creativity']","['Other', 'Prominence & Governance', 'Skills & Creativity']","['public_image_reputation', 'intellectual_skills', 'other_core_self_related']"
"The 6th, 7th and 8th be occupied by benefics in any manner, i.e. the three benefics, viz, Jupiter, Mercury and Venus may be disposed in one, two or three houses in 6th, 7th and 8th. No other malefic should be in these houses nor aspect the occupants. The 4th from the ascendant or from the Moon. as the case may be, should remain unoccupied. Then Adhi yoga is obtained. The benefics mentioned should also be free from combustion and debilitation. If the yoga is formed in the above conditions, the native will be highly learned, wealthy and be among the most supreme men on the earth.","BPHS1, Chapter 36 - MANY OTHER YOGAS (Part 4)",yoga,Adhi Yoga,"[{""type"": ""placement"", ""planet_name"": ""Benefic"", ""house"": 6}, {""type"": ""placement"", ""planet_name"": ""Benefic"", ""house"": 7}, {""type"": ""placement"", ""planet_name"": ""Benefic"", ""house"": 8}, {""type"": ""house_profile"", ""house"": 4, ""state"": ""vacant""}]","['career_public_life', 'learning_education_creativity', 'yogas']","['Prominence & Governance', 'Skills & Creativity', 'Strength & Success Yogas']","['intellectual_skills', 'dhana_yogas', 'public_image_reputation', 'authority_leadership', 'raja_yogas']"
"The best Adhi yoga is, however, with Mercury in the 6th, Jupiter in the 7th and Venus in the 8th house.","BPHS1, Chapter 36 - MANY OTHER YOGAS (Part 4)",yoga,Adhi Yoga (Optimal Configuration),"[{""type"": ""placement"", ""planet_name"": ""Mercury"", ""house"": 6}, {""type"": ""placement"", ""planet_name"": ""Jupiter"", ""house"": 7}, {""type"": ""placement"", ""planet_name"": ""Venus"", ""house"": 8}]",['yogas'],['Strength & Success Yogas'],"['other_strength_success_yogas', 'dhana_yogas', 'raja_yogas']"
"EFFECTS OF ASCENDANT LORD'S DIVISIONAL DIGNITIES. The ascendant lord in parijathamsa will make one happy, in Vargothama immune to diseases, in Gopuramsa rich with wealth and grains, in Sinrhasanamsa a king, in paravathamsa a scholar, in Devalokamsa opulent and endowed with conveyances, and in Iravatamsa famous and honoured by kings.","BPHS1, Chapter 36 - MANY OTHER YOGAS (Part 4)",varga,,"[{""type"": ""varga"", ""planet_name"": ""Ascendant Lord"", ""varga_name"": ""Parijathamsa""}, {""type"": ""varga"", ""planet_name"": ""Ascendant Lord"", ""varga_name"": ""Vargothama""}, {""type"": ""varga"", ""planet_name"": ""Ascendant Lord"", ""varga_name"": ""Gopuramsa""}, {""type"": ""varga"", ""planet_name"": ""Ascendant Lord"", ""varga_name"": ""Simhasanamsa""}, {""type"": ""varga"", ""planet_name"": ""Ascendant Lord"", ""varga_name"": ""Paravathamsa""}, {""type"": ""varga"", ""planet_name"": ""Ascendant Lord"", ""varga_name"": ""Devalokamsa""}, {""type"": ""varga"", ""planet_name"": ""Ascendant Lord"", ""varga_name"": ""Iravatamsa""}]","['career_public_life', 'core_self_vitality', 'health_risks_longevity', 'home_property_vehicles', 'learning_education_creativity', 'wealth_assets_resources']","['Financial Dynamics', 'Other', 'Physical Health', 'Prominence & Governance', 'Skills & Creativity', 'Vehicles & Movables']","['other_core_self_related', 'general_health', 'wealth_stability', 'authority_leadership', 'intellectual_skills', 'luxury_possessions', 'public_image_reputation']"
"If the Moon with reference to the Sun is in an angle, one's wealth, intelligence and skill will be little.","BPHS1, Chapter 37 - Lunar Yogas",placement,,"[{""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 1}, {""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 4}, {""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 7}, {""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 10}]","['learning_education_creativity', 'wealth_assets_resources']","['Financial Dynamics', 'Knowledge & Wisdom', 'Skills & Creativity']","['wealth_stability', 'intellectual_skills', 'practical_skills']"
"If the Moon with reference to the Sun is in a Panaphara, one's wealth, intelligence and skill will be meddling.","BPHS1, Chapter 37 - Lunar Yogas",placement,,"[{""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 2}, {""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 5}, {""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 8}, {""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 11}]","['learning_education_creativity', 'wealth_assets_resources']","['Financial Dynamics', 'Knowledge & Wisdom', 'Skills & Creativity']","['wealth_stability', 'intellectual_skills', 'practical_skills']"
"If the Moon with reference to the Sun is in an Apoklima, one's wealth, intelligence and skill will be excellent.","BPHS1, Chapter 37 - Lunar Yogas",placement,,"[{""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 3}, {""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 6}, {""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 9}, {""type"": ""placement"", ""planet_name"": ""Moon"", ""house"": 12}]","['learning_education_creativity', 'wealth_assets_resources']","['Financial Dynamics', 'Knowledge & Wisdom', 'Skills & Creativity']","['wealth_stability', 'intellectual_skills', 'practical_skills']"
"In the case of a day birth if the Moon, placed in own Navamsa or in a friendly Navamsa, is aspected by Jupiter, one will be endowed with wealth and happiness.","BPHS1, Chapter 37 - Lunar Yogas",yoga,Wealth and Happiness Yoga (Day Birth),"[{""type"": ""varga"", ""varga"": ""D9"", ""planet_name"": ""Moon""}, {""type"": ""aspect"", ""source_planet"": ""Jupiter""}]","['core_self_vitality', 'wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Other', 'Strength & Success Yogas']","['dhana_yogas', 'other_core_self_related', 'wealth_stability']"
One born in night time will enjoy similar effects if the Moon is in own Navamsa or in friendly Navamsa in aspect to Venus.,"BPHS1, Chapter 37 - Lunar Yogas",yoga,Wealth and Happiness Yoga (Night Birth),"[{""type"": ""varga"", ""varga"": ""D9"", ""planet_name"": ""Moon""}, {""type"": ""aspect"", ""source_planet"": ""Venus""}]","['core_self_vitality', 'wealth_assets_resources', 'yogas']","['Financial Dynamics', 'Other', 'Strength & Success Yogas']","['dhana_yogas', 'other_core_self_related', 'wealth_stability']"
"In a contrary situation, the aspect of Jupiter or of Venus on the Moon will make one go with little wealth or even without that.","BPHS1, Chapter 37 - Lunar Yogas",yoga,Poverty Yoga (Moon Aspect),"[{""type"": ""varga"", ""varga"": ""D9"", ""planet_name"": ""Moon""}, {""type"": ""aspect"", ""source_planet"": ""Jupiter""}, {""type"": ""aspect"", ""source_planet"": ""Venus""}]","['home_property_vehicles', 'wealth_assets_resources']","['Financial Dynamics', 'Residence & Property']","['debts_liabilities', 'wealth_stability', 'other_financial_dynamics']"
