chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"Maitreya, explained now are the sum effects of classifications of different divisions (or Vargas so far narrated). These are four kinds, viz. Shad Varga (6 divisions considered), Saptha Varga (7 divisions considered), Dasa Varga (10 divisions considered) and Shodasa Varga (all the 16 divisions considered).","BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",prose,,"[{""scheme_name"": ""Shad Varga"", ""division_count"": 6}, {""scheme_name"": ""Saptha Varga"", ""division_count"": 7}, {""scheme_name"": ""Dasa Varga"", ""division_count"": 10}, {""scheme_name"": ""Shodasa Varga"", ""division_count"": 16}]",['Foundational Concepts'],['Astrological Principles'],"['classification', 'definition']"
"Shadvarga (considering six Vargas) viz. Rasi, Hora, Decanate, Navamsa, Dvadasamsa and Trimsamsa.","BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",varga_group_definition,,"[{""group_name"": ""Shadvarga"", ""varga_count"": 6, ""included_vargas"": [""Rasi"", ""Hora"", ""Drekkana"", ""Navamsa"", ""Dvadasamsa"", ""Trimsamsa""]}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'classification']"
Sapta Varga (seven Vargas) adding Saptamamsa to the Shad Varga.,"BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",varga_group_definition,,"[{""group_name"": ""Saptavarga"", ""varga_count"": 7, ""included_vargas"": [""Rasi"", ""Hora"", ""Drekkana"", ""Navamsa"", ""Dvadasamsa"", ""Trimsamsa"", ""Saptamsa""]}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'classification']"
"Dasa Varga (ten Vargas) adding Shodasamsa, Dasamamsa and Shashtiamsa divisions to the Sapta Varga.","BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",varga_group_definition,,"[{""group_name"": ""Dasavarga"", ""varga_count"": 10, ""included_vargas"": [""Rasi"", ""Hora"", ""Drekkana"", ""Navamsa"", ""Dvadasamsa"", ""Trimsamsa"", ""Saptamsa"", ""Shodasamsa"", ""Dasamsa"", ""Shashtyamsa""]}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'classification']"
Shodasa Varga (all the 16 Vargas so far narrated by the sage).,"BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",varga_group_definition,,"[{""group_name"": ""Shodasavarga"", ""varga_count"": 16}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'classification']"
"In these divisions, the divisions falling in the planet's exaltation sign, Moolatrikona sign, own sign, and the signs owned by the lord of an angle from the Arudha ascendant are all to be considered (as good Vargas).","BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",prose,,"[{""condition"": ""Planet is in its exaltation sign in the varga.""}, {""condition"": ""Planet is in its Moolatrikona sign in the varga.""}, {""condition"": ""Planet is in its own sign in the varga.""}, {""condition"": ""Planet is in a sign owned by the lord of a Kendra (1, 4, 7, 10) from the Arudha Lagna.""}]",['Foundational Concepts'],['Astrological Principles'],"['definition', 'general_principle']"
"The divisions of a combust planet, defeated planet, weak planet and a planet in bad Avasthas like Sayana be all ignored to be auspicious, for these destroy the good yogas.","BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",prose,,"[{""condition"": ""Planet is combust"", ""effect"": ""Good varga status is ignored.""}, {""condition"": ""Planet is defeated in planetary war"", ""effect"": ""Good varga status is ignored.""}, {""condition"": ""Planet is weak"", ""effect"": ""Good varga status is ignored.""}, {""condition"": ""Planet is in a bad Avastha (e.g., Sayana)"", ""effect"": ""Good varga status is ignored.""}]",['Foundational Concepts'],['Astrological Principles'],['general_principle']
"In the Shadvarga classification, the Varga designations are Kimsuka, Vyanjana, Chaamara, Chatra and Kundala according to a planet being in 2 to 6 combinations of good Vargas. Next is the Sapta varga in which these classifications continue in the same manner upto six combinations of good Vargas, the 7th additional Varga getting classified as Mukuta.","BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",prose,,"[{""varga_scheme"": ""Shadvarga/Saptavarga"", ""good_varga_count"": 2, ""designation"": ""Kimsuka""}, {""varga_scheme"": ""Shadvarga/Saptavarga"", ""good_varga_count"": 3, ""designation"": ""Vyanjana""}, {""varga_scheme"": ""Shadvarga/Saptavarga"", ""good_varga_count"": 4, ""designation"": ""Chaamara""}, {""varga_scheme"": ""Shadvarga/Saptavarga"", ""good_varga_count"": 5, ""designation"": ""Chatra""}, {""varga_scheme"": ""Shadvarga/Saptavarga"", ""good_varga_count"": 6, ""designation"": ""Kundala""}, {""varga_scheme"": ""Saptavarga"", ""good_varga_count"": 7, ""designation"": ""Mukuta""}]",['Foundational Concepts'],['Astrological Principles'],"['classification', 'definition']"
"In the Dasa Varga scheme, the designations commence from Parijata etc. such as 2 good Vargas-parijatha. 3. Uttama, 4. Gopura, 5. Simhasana, 6. paaravata, 7. Devaloka, 8. Brahmaloka, 9. Sakravahana and 10. Vargas-Sridhama.","BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",prose,,"[{""varga_scheme"": ""Dasavarga"", ""good_varga_count"": 2, ""designation"": ""Parijata""}, {""varga_scheme"": ""Dasavarga"", ""good_varga_count"": 3, ""designation"": ""Uttama""}, {""varga_scheme"": ""Dasavarga"", ""good_varga_count"": 4, ""designation"": ""Gopura""}, {""varga_scheme"": ""Dasavarga"", ""good_varga_count"": 5, ""designation"": ""Simhasana""}, {""varga_scheme"": ""Dasavarga"", ""good_varga_count"": 6, ""designation"": ""Paaravata""}, {""varga_scheme"": ""Dasavarga"", ""good_varga_count"": 7, ""designation"": ""Devaloka""}, {""varga_scheme"": ""Dasavarga"", ""good_varga_count"": 8, ""designation"": ""Brahmaloka""}, {""varga_scheme"": ""Dasavarga"", ""good_varga_count"": 9, ""designation"": ""Sakravahana""}, {""varga_scheme"": ""Dasavarga"", ""good_varga_count"": 10, ""designation"": ""Sridhama""}]",['Foundational Concepts'],['Astrological Principles'],"['classification', 'definition']"
"In the Shodasa Varga scheme the combinations of Vargas go with designations thus : two good Vargas-Bhedaka, 3. Kusuma, 4. Nagapushpa, 5. Kanduka, 6. Kerala, 7. Kalpavriksha, 8. Chandana Vana, 9. Poornachandra, 10. Uchchaisrava, 11. Dhanvantari, 12. Suryakanta, 13. Vidruma, 14. Sakrasimhasana, 15. Goloka and 16. Vargas-Sri Vallabha.","BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",prose,,"[{""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 2, ""designation"": ""Bhedaka""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 3, ""designation"": ""Kusuma""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 4, ""designation"": ""Nagapushpa""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 5, ""designation"": ""Kanduka""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 6, ""designation"": ""Kerala""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 7, ""designation"": ""Kalpavriksha""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 8, ""designation"": ""Chandana Vana""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 9, ""designation"": ""Poornachandra""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 10, ""designation"": ""Uchchaisrava""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 11, ""designation"": ""Dhanvantari""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 12, ""designation"": ""Suryakanta""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 13, ""designation"": ""Vidruma""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 14, ""designation"": ""Sakrasimhasana""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 15, ""designation"": ""Goloka""}, {""varga_scheme"": ""Shodasavarga"", ""good_varga_count"": 16, ""designation"": ""Sri Vallabha""}]",['Foundational Concepts'],['Astrological Principles'],"['classification', 'definition']"
"As far as Hora or half of a sign is concerned, 'good Vargas' should be flexibly used... Jupiter, Sun and Mars give effects if in Sun's Hora (as far as Hora is concerned) and the rest of the planets except Mercury in Moon's Hora. Mercury is good in both the Horas. So to say, these are good Horas for the concerned planets. It follows that Jupiter and Mercury are good in any Hora for Varga classification.","BPHS1, Chapter 4 - THE SIXTEEN DIYISIONS OF A SIGN (Part 5)",prose,,"[{""varga"": ""Hora"", ""planet_name"": ""Jupiter"", ""good_hora"": ""Sun's Hora""}, {""varga"": ""Hora"", ""planet_name"": ""Sun"", ""good_hora"": ""Sun's Hora""}, {""varga"": ""Hora"", ""planet_name"": ""Mars"", ""good_hora"": ""Sun's Hora""}, {""varga"": ""Hora"", ""planet_name"": ""Moon"", ""good_hora"": ""Moon's Hora""}, {""varga"": ""Hora"", ""planet_name"": ""Venus"", ""good_hora"": ""Moon's Hora""}, {""varga"": ""Hora"", ""planet_name"": ""Saturn"", ""good_hora"": ""Moon's Hora""}, {""varga"": ""Hora"", ""planet_name"": ""Mercury"", ""good_hora"": ""Sun's Hora and Moon's Hora""}]",['Foundational Concepts'],['Astrological Principles'],"['general_principle', 'definition']"
