fact_id,status,theme,theme_group,sub_theme,raw_text,astrological_trigger_json,interpretation_text,interpretation_summary_ai,confidence_score,source_name,source_reference,last_updated,notes
5d9255421e70282d_fact_1,Passed,"Foundational Concepts,career_public_life,core_self_vitality,relationships","Astrological Principles,Identity & Personality,Prominence & Governance,Public Interaction","authority_leadership,general_principle,other_public_interaction,public_image_reputation,self_identity_character","When the Lagna Lord is placed in the 10th house,or conjunct the 10th lord,the individual's entire identity becomes synonymous with their public role and authority.","{""type"": ""conjunction"", ""planet_names"": [], ""house"": 10}","When the Lagna Lord is positioned in the 10th house, or when it forms a conjunction with the 10th lord, the individual's sense of self becomes deeply intertwined with their public image, career, and authority. Their personal identity is largely defined by their professional life and the role they play in the public sphere. This signifies a strong connection between their inner self and their outward projection, creating a consistent and impactful public persona where career and public life are central to their identity","The Lagna Lord in or conjunct the 10th house merges personal identity with public role and authority, making career central to one's sense of self",0.95,Gemini,Page 1,2025-09-22T00:26:33.135687,
5af0ad743dcd7673_fact_2,Passed,"Foundational Concepts,yogas","Astrological Principles,Strength & Success Yogas","definition,general_principle,raja_yogas","Ultimately, true prominence is granted by Raja Yogas, formed by the connection of Kendra lords (1, 4, 7, 10) and Trikona lords (1, 5, 9).","{""type"": ""house_group_definition"", ""group_name"": ""Kendra"", ""houses"": [1, 4, 7, 10], ""description"": ""Raja Yogas are formed by the connection of Kendra lords.""}",Interpretation at Source: Raja Yogas are formed by the connection of Kendra lords,"Raja Yogas form from the connection of Kendra house lords. (Additional Context: This suggests strong potential for success and leadership, particularly in areas of life represented by the Kendra houses (career, home, relationships, public image",0.95,Gemini,Page 1,2025-09-22T00:26:33.135790,
5af0ad743dcd7673_fact_3,Passed,Foundational Concepts,Astrological Principles,"definition,general_principle","Ultimately, true prominence is granted by Raja Yogas, formed by the connection of Kendra lords (1, 4, 7, 10) and Trikona lords (1, 5, 9).","{""type"": ""house_group_definition"", ""group_name"": ""Kendra"", ""houses"": [1, 4, 7, 10], ""description"": ""The Kendra lords are the lords of the 1st, 4th, 7th, and 10th houses.""}","Interpretation at Source: Kendra lords are the lords of the 1st, 4th, 7th, and 10th houses","Kendra lords rule the 1st, 4th, 7th, and 10th houses. (Additional Context: This highlights the importance of these houses (self, home, partnerships, career) and their rulers in shaping a person's life. The nature of the Kendra lords indicates the overall strength and stability in these areas",0.95,Gemini,Page 1,2025-09-22T00:26:33.135790,
5af0ad743dcd7673_fact_4,Passed,"Foundational Concepts,yogas","Astrological Principles,Strength & Success Yogas","definition,general_principle,raja_yogas","Ultimately, true prominence is granted by Raja Yogas, formed by the connection of Kendra lords (1, 4, 7, 10) and Trikona lords (1, 5, 9).","{""type"": ""house_group_definition"", ""group_name"": ""Trikona"", ""houses"": [1, 5, 9], ""description"": ""Houses 1, 5, and 9 are considered Trikona houses in Vedic astrology.""}",Interpretation at Source: Raja Yogas are formed by the connection of Trikona lords,"Raja Yogas are formed by connecting Trikona house lords. (Additional Context: The formation of Raja Yogas through Trikona lords suggests auspiciousness and potential for significant gains in areas governed by these houses (self, creativity, and fortune",0.95,Gemini,Page 1,2025-09-22T00:26:33.135790,
5af0ad743dcd7673_fact_5,Passed,Foundational Concepts,Astrological Principles,definition,"Ultimately, true prominence is granted by Raja Yogas, formed by the connection of Kendra lords (1, 4, 7, 10) and Trikona lords (1, 5, 9).","{""type"": ""house_group_definition"", ""group_name"": ""Trikona"", ""houses"": [1, 5, 9], ""description"": ""The Trikona lords are the lords of the 1st, 5th, and 9th houses.""}","Interpretation at Source: Trikona lords are the lords of the 1st, 5th, and 9th houses","Trikona houses are the 1st, 5th, and 9th houses. (Additional Context: The Trikona houses represent fortune, dharma, and spiritual pursuits. Their lordships suggest a strong influence on these areas of life",0.95,Gemini,Page 1,2025-09-22T00:26:33.135790,
5af0ad743dcd7673_fact_1,Passed,yogas,Strength & Success Yogas,raja_yogas,"Ultimately, true prominence is granted by Raja Yogas, formed by the connection of Kendra lords (1, 4, 7, 10) and Trikona lords (1, 5, 9).","{""type"": ""house_group_definition"", ""group_name"": ""string"", ""houses"": [], ""description"": ""string""}",Interpretation at Source: True prominence is granted by Raja Yogas,"Raja Yogas grant true prominence. (Additional Context: The presence of Raja Yogas suggests significant potential for achievement and influence in the native's life, potentially impacting their career and public standing",0.95,Gemini,Page 1,2025-09-22T00:26:33.135790,
f9dbeae382f0f79b_fact_1,Passed,"Foundational Concepts,core_self_vitality","Astrological Principles,Identity & Personality","definition,general_principle,self_identity_character","Primary Houses: The 1st House (Lagna - the self and status) and the 10th House (Karma Sthana - public status, power).","{""type"": ""house_profile"", ""house"": 1, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": """", ""classifications"": [], ""karakas"": [], ""significations"": []}",The 1st house is a primary foundation point representing the self and status,"The 1st house is a foundational point representing self and status. (Additional Context: The 1st house's foundation signifies the individual's personality, life path, and how they present themselves to the world. Its strength or weakness impacts all other houses",0.95,Gemini,Page 1,2025-09-22T00:26:33.135570,AI_CORRECTED: JSON passed validation after AI fix.
5d9255421e70282d_fact_3,Passed,"career_public_life,core_self_vitality","Identity & Personality,Prominence & Governance","authority_leadership,public_image_reputation,self_identity_character","When the Lagna Lord is placed in the 10th house, or conjunct the 10th lord, the individual's entire identity becomes synonymous with their public role and authority.","{""type"": ""house_profile"", ""house"": 10, ""planet_in_house"": ""Lagna Lord"", ""aspected_by_planet"": null, ""state"": """", ""classifications"": [], ""karakas"": [], ""significations"": []}","In the interpretation at source, if the Lagna Lord is in the 10th house, the individual's identity is synonymous with their public role and authority","Lagna Lord in the 10th house equates personal identity with public role and authority. (Additional Context: This suggests a strong connection between one's inner self and their public persona. The individual's career and public life are likely to be central to their sense of self, and their success in these areas will significantly impact their overall well-being and self-esteem",0.95,Gemini,Page 1,2025-09-22T00:26:33.135687,AI_CORRECTED: JSON passed validation after AI fix.
4c0f87ec937c62b7_fact_7,Passed,career_public_life,Prominence & Governance,,"The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","{""type"": ""house_profile"", ""house"": 10, ""planet_in_house"": ""Mars"", ""aspected_by_planet"": null, ""state"": """", ""classifications"": [], ""karakas"": [], ""significations"": []}",Interpretation at Source: Mars's influence on the 10th house enhances career prospects,"Mars in the 10th house improves career prospects. (Additional Context: This suggests a strong drive and ambition in career matters, potentially leading to leadership roles and public recognition. Mars's energy might manifest as assertive career moves",0.95,Gemini,Page 1,2025-09-22T00:26:33.135732,AI_CORRECTED: JSON passed validation after AI fix.
06b0bfb13db3cee8_fact_1,Passed,"career_public_life,doshas","Malefic Influences,Prominence & Governance","other_malefic_influences,public_image_reputation",Malefic influences on the 10th house or the Moon can create a controversial or hard-won reputation.,"{""type"": ""house_profile"", ""house"": 10, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": ""malefic_influence"", ""classifications"": [], ""karakas"": [], ""significations"": []}","When the 10th house, the house of career, public image, and reputation, is afflicted by malefic influences, it suggests that recognition and success may not come easily. Such a placement can lead to a reputation that is hard-won, requiring significant effort and perseverance to overcome obstacles and achieve professional goals. Furthermore, these malefic influences can also manifest as a controversial reputation, potentially leading to public scrutiny, disagreements, or a need to navigate complex interpersonal dynamics in the professional sphere","Malefic influences on the 10th house indicate a reputation earned through struggle and potentially marked by controversy, requiring careful navigation of public image",0.95,Gemini,Page 1,2025-09-22T00:26:33.135775,
