fact_id,raw_text,source_page,source_name,last_updated,schema_type,topic,theme,theme_group,sub_theme,astrological_trigger_json,ai_summary
0d1aca45b52ea3a700e911fafee1539438845be963053cba71806e1209255cda,"10th Aspect: Karmic, public, related to one's actions and career.",p62-64,BPHS_GCS,2025-09-23T10:47:26.985688,aspect,,"career_public_life,karma_past_life",Other,other,"{""type"": ""aspect"", ""source_planet"": null, ""target_house"": null, ""relative_aspect_number"": 10, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}","The 10th aspect in astrology relates to karma, public image, and career. (Additional Context: The 10th aspect is often considered an important indicator of one's professional achievements and social standing.  Planets involved in this aspect can reveal potential challenges and opportunities in these areas.)"
cd78161df149df787277e8c3441d6079db753353c4a6197c6a287ad1a198efbf,"3rd Aspect: Effort-based, requiring initiative and perseverance.",p62-64,BPHS_GCS,2025-09-23T10:47:26.985940,aspect,,Foundational Concepts,Astrological Principles,general_principle,"{""type"": ""aspect"", ""source_planet"": null, ""target_house"": null, ""relative_aspect_number"": 3, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}","The 3rd aspect in a chart signifies an area of life that requires effort, initiative, and perseverance to achieve results. (Additional Context: This aspect suggests the need for self-assertion and proactive engagement.  Depending on the planets and houses involved, it can indicate areas where consistent work and focused energy are essential for growth and success.  It can also highlight potential challenges related to communication, courage, and siblings.)"
c8f3abc31699308fc643b680bc23a2021dc2f729bc9b0a41801295165fa4da96,"4th Aspect: Protective, focused on security and home. Can cause domestic
conflict.",p62-64,BPHS_GCS,2025-09-23T10:47:26.986161,aspect,,home_property_vehicles,"Domestic Environment,Residence & Property","domestic_harmony,family_security,home_comforts","{""type"": ""aspect"", ""source_planet"": null, ""target_house"": 4, ""relative_aspect_number"": 4, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}","The 4th aspect in astrology relates to security, home, and protection, but it can also bring about domestic conflicts. (Additional Context: The astrological house receiving this aspect, along with the planets involved, would determine the specific manifestations and potential challenges related to security and domestic life.)"
3ec9724a06194456c5b263f607fa90a61d637b30e4c7a249fd81b4aaf99225ba,"4th Aspect: Protective, focused on security and home. Can cause domestic conflict.",p62-64,BPHS_GCS,2025-09-23T10:47:26.986387,aspect,,home_property_vehicles,"Domestic Environment,Residence & Property","domestic_harmony,family_security,home_comforts","{""type"": ""aspect"", ""source_planet"": null, ""target_house"": 4, ""relative_aspect_number"": 4, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}","The 4th aspect in astrology relates to security, home, and protection, but it can also potentially lead to domestic conflicts. (Additional Context: While the text doesn't specify, the 4th aspect is generally considered a challenging one, often bringing up issues related to family and emotional security.  Planets involved in a 4th aspect can indicate the specific nature of these challenges and how they might manifest.)"
607f47d7a90969215ff8c8ea759a4486033685daec8a31065b2cb024d943ab6b,"7th Aspect: Direct, confrontational, competitive.",p62-64,BPHS_GCS,2025-09-23T10:47:26.986557,aspect,,relationships,Public Interaction,disputes_conflicts,"{""type"": ""aspect"", ""source_planet"": null, ""target_house"": null, ""relative_aspect_number"": 7, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": ""Direct""}","The 7th aspect is characterized by directness, confrontation, and a competitive nature. (Additional Context: In astrology, the 7th aspect often signifies interactions with others, suggesting potential for open communication but also conflict.  The emphasis on competition may relate to themes of partnerships, rivalry, or the need to assert oneself in interpersonal dynamics.)"
b84bf80e59952db21ebe01214a0b56cd04833dc9efb0ec949500a378a092dd40,"7th Aspect: Direct, relational, bringing responsibility and realism.",p62-64,BPHS_GCS,2025-09-23T10:47:26.986743,aspect,,relationships,Romantic & Marriage,"love_relationships,marriage_spouse","{""type"": ""aspect"", ""source_planet"": null, ""target_house"": null, ""relative_aspect_number"": 7, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": ""direct""}","The 7th aspect is a direct aspect that influences relationships, bringing responsibility and a sense of realism. (Additional Context: In astrology, the 7th aspect typically signifies partnerships, marriage, and other one-on-one relationships.  A direct aspect suggests a straightforward and open influence.  The added emphasis on responsibility and realism suggests that this aspect may bring a practical and grounded approach to relationships.)"
1f46c19e1b4d23a71891a04f121446a896b97c45b53c22ab36b79663924134f5,"8th Aspect: Hidden, transformative, sudden. Can indicate crises or deep
research.",p62-64,BPHS_GCS,2025-09-23T10:47:26.986944,aspect,,Foundational Concepts,Astrological Principles,general_principle,"{""type"": ""aspect"", ""source_planet"": null, ""target_house"": null, ""relative_aspect_number"": 8, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}","The 8th aspect in astrology relates to hidden matters, transformation, and sudden events. It can signify crises or research into profound subjects. (Additional Context: The 8th aspect is often associated with the occult, psychology, and uncovering secrets.  Planets forming this aspect can bring about sudden changes and upheavals, but also opportunities for deep personal growth and understanding.)"
a8a98f2c5f3cc76c4bcfd1912d5514691c6488e16198778a353215a4b7ea0ff6,"8th Aspect: Hidden, transformative, sudden. Can indicate crises or deep research.",p62-64,BPHS_GCS,2025-09-23T10:47:26.987145,aspect,,Foundational Concepts,Astrological Principles,general_principle,"{""type"": ""aspect"", ""source_planet"": null, ""target_house"": null, ""relative_aspect_number"": 8, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}","The 8th aspect in astrology relates to hidden matters, transformation, and sudden events. It can signify crises or research into profound subjects. (Additional Context: The 8th aspect is often associated with the planet Mars and the sign of Scorpio.  It can bring about sudden changes and upheavals, but also opportunities for growth and rebirth.  It is a powerful aspect that can lead to deep understanding of the hidden aspects of life.)"
12296cd724e6a1c7dd20db21a44278b9fc018cd1d64f8e48cba3cd93467255cd,"Aspects (Parashari View): Both nodes cast aspects on the 5th, 7th, and 9th houses
from their positions, similar to Jupiter.",p62-64,BPHS_GCS,2025-09-23T10:47:26.987484,aspect,,Foundational Concepts,Astrological Principles,general_principle,"{""type"": ""aspect"", ""source_planet"": ""Nodes"", ""target_house"": [""5"", ""7"", ""9""], ""relative_aspect_number"": null, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}","The North and South Nodes aspect the 5th, 7th, and 9th houses from their positions, similar to Jupiter's aspects. (Additional Context: The nodes' aspects can influence themes related to the houses they impact.  The 5th house is linked to creativity, children, and past life credit. The 7th house deals with partnerships and marriage. The 9th house pertains to luck, higher learning, and spiritual growth.  Since the nodes act similarly to Jupiter, their aspects can be considered expansive, but their ultimate effect depends on the node's specific placement and dignity.)"
5d523f09f56cf72e9f6c0f874e51b4d6b3197020e7c6525ca57136f3c3f89164,"Aspects (Parashari View): Both nodes cast aspects on the 5th, 7th, and 9th houses
from their positions, similar to Jupiter.",p62-64,BPHS_GCS,2025-09-23T10:47:26.987489,house_profile,,Foundational Concepts,Astrological Principles,general_principle,"{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": null, ""aspected_by_planet"": ""Nodes"", ""state"": null, ""classifications"": null, ""karakas"": null, ""significations"": [""5th house"", ""7th house"", ""9th house""]}","The North and South Nodes aspect the 5th, 7th, and 9th houses from their position, similar to Jupiter's aspect. (Additional Context: The nodes' aspects on these houses can indicate karmic influences related to children, relationships, and higher learning/philosophy (5th, 7th, and 9th houses respectively).  The similarity to Jupiter's aspect suggests a blend of karmic lessons and opportunities for growth and expansion in these areas.)"
